batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
425	0.0085	0.0001	77.9493	0.0001	0.0159	0.8330	129.0125	0.0490	-0.0592	-0.0565	0.0516	0.0003	0.0539	79.9862	0.0001	0.0001	0.0000	129.0000	0.5148	-0.7378	-0.7682	0.5462	0.1676	0.1872	0.2133	0.4958	0.2198	0.5007	0.2140	0.4902	0.2114	0.4933	0.2132	0.4981	0.2199	0.4941
850	0.0068	0.0002	77.9520	0.0001	0.0120	0.8352	129.2418	-0.0303	-0.0583	-0.0740	-0.0218	0.0721	-0.0175	79.9890	0.0001	0.0001	0.0000	129.2157	-0.3075	-0.6599	-0.7007	0.0732	-0.1478	-0.2087	0.2409	0.5332	0.2103	0.4966	0.2073	0.4909	0.2301	0.5233	0.2389	0.5202	0.2775	0.5477
1275	0.0472	0.0090	77.9240	0.0005	0.0346	0.8764	102.3065	0.2476	0.2603	0.2273	0.1529	0.1392	0.1672	79.9640	0.0002	0.0002	0.0000	104.9224	-0.5706	-0.5529	-0.5841	-0.1371	-0.3187	-0.3431	0.2736	0.5984	0.2834	0.6127	0.2806	0.6033	0.2590	0.5514	0.2860	0.5885	0.3022	0.6108
1700	0.0625	0.0329	77.8809	0.0008	0.0550	0.8193	58.4151	0.3329	0.2827	0.1866	0.2572	-0.0670	0.0231	79.9334	0.0004	0.0004	0.0000	64.6179	-0.1530	-0.1297	-0.1966	0.0044	-0.3506	-0.3725	0.3109	0.6285	0.3076	0.6360	0.3035	0.6259	0.3113	0.6293	0.2540	0.5324	0.2817	0.5712
2125	0.1503	0.0952	77.7990	0.0013	0.1014	0.8520	45.1108	0.2910	0.3473	0.3114	0.2182	0.0480	0.2161	79.8763	0.0008	0.0008	0.0000	58.2490	-0.5703	-0.6009	-0.5079	-0.3500	0.0281	-0.2300	0.2877	0.6190	0.3572	0.6925	0.3650	0.7110	0.2548	0.5715	0.3059	0.6414	0.3743	0.7102
2550	0.3045	0.2066	77.6989	0.0018	0.1608	0.8591	31.3736	0.4516	0.4323	0.3322	0.3927	0.1044	0.2513	79.8275	0.0011	0.0011	0.0000	46.6522	-0.5086	-0.7031	-0.6544	-0.3054	0.0544	-0.1955	0.3749	0.7027	0.4237	0.7543	0.4173	0.7577	0.3316	0.6701	0.3002	0.6355	0.3889	0.7395
2975	0.3795	0.2791	77.6276	0.0019	0.1732	0.8585	24.3562	0.4872	0.4634	0.3529	0.4112	0.2026	0.3454	79.7798	0.0015	0.0015	0.0000	38.7601	-0.5866	-0.7359	-0.6928	-0.3880	-0.0205	-0.3486	0.3611	0.6962	0.4284	0.7488	0.4419	0.7603	0.3423	0.6821	0.3327	0.6931	0.4290	0.7621
3400	0.4219	0.3129	77.5910	0.0018	0.1756	0.8619	21.5168	0.5261	0.5052	0.3821	0.4930	0.2207	0.3616	79.7762	0.0015	0.0015	0.0000	38.8579	-0.5794	-0.6989	-0.6654	-0.3821	-0.0374	-0.3860	0.3975	0.7388	0.4816	0.7981	0.5104	0.8219	0.3833	0.7281	0.3641	0.7156	0.5013	0.8109
3825	0.4767	0.3620	77.5829	0.0019	0.1790	0.8651	22.3514	0.5817	0.5529	0.4219	0.5655	0.1993	0.4015	79.7928	0.0014	0.0014	0.0000	40.7268	-0.5416	-0.6865	-0.6824	-0.3682	-0.0096	-0.3521	0.4558	0.7673	0.5008	0.8036	0.5098	0.8216	0.4240	0.7646	0.3022	0.6465	0.4927	0.7955
4250	0.5151	0.4036	77.5811	0.0019	0.1760	0.8639	22.2040	0.5939	0.5593	0.4294	0.5670	0.2466	0.4092	79.7874	0.0014	0.0014	0.0000	40.4768	-0.5477	-0.6592	-0.6192	-0.3971	-0.0426	-0.4340	0.4497	0.7662	0.5173	0.8110	0.5260	0.8294	0.4122	0.7588	0.3602	0.7159	0.5219	0.8160
4675	0.5284	0.4164	77.6069	0.0019	0.1772	0.8702	24.4443	0.6328	0.5992	0.4514	0.5565	0.2081	0.4276	79.8134	0.0012	0.0012	0.0000	42.2853	-0.5192	-0.6319	-0.6226	-0.3136	0.0113	-0.3763	0.4830	0.7854	0.4999	0.8223	0.5045	0.8322	0.4374	0.7786	0.3426	0.6961	0.5428	0.8315
5100	0.5324	0.4090	77.6197	0.0021	0.1955	0.8733	26.8568	0.6148	0.5709	0.4330	0.5621	0.1629	0.3900	79.8242	0.0012	0.0012	0.0000	46.4153	-0.4425	-0.5698	-0.5658	-0.2796	0.0217	-0.3526	0.4767	0.7926	0.5277	0.8392	0.5451	0.8481	0.4382	0.7735	0.3132	0.6733	0.5371	0.8363
