batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
425	0.0176	0.0029	77.9440	0.0002	0.0202	0.8497	129.1793	0.0450	0.0529	0.0548	0.0552	-0.0135	-0.0107	79.9812	0.0001	0.0001	0.0000	129.2429	-0.5875	-0.6280	-0.6466	-0.5087	0.5541	0.5440	0.2472	0.5593	0.2479	0.5532	0.2493	0.5603	0.2592	0.5785	0.2167	0.4908	0.2205	0.4954
850	0.1045	0.0577	77.8831	0.0009	0.0683	0.8824	85.0355	0.3300	0.3124	0.2412	0.2398	-0.2566	-0.1598	79.9445	0.0004	0.0004	0.0000	94.0312	-0.3764	-0.4880	-0.4421	-0.1641	0.2588	0.1344	0.2756	0.6316	0.2992	0.6737	0.3033	0.6875	0.2491	0.5701	0.1708	0.4011	0.1932	0.4667
1275	0.5071	0.3920	77.6278	0.0022	0.2035	0.8815	34.8185	0.6190	0.6060	0.4902	0.5832	0.0889	0.3893	79.8226	0.0012	0.0012	0.0000	53.5454	-0.4827	-0.5430	-0.5239	-0.3868	0.3547	-0.1280	0.4658	0.7942	0.5124	0.8285	0.5205	0.8359	0.4191	0.7718	0.2616	0.5879	0.4786	0.7929
1700	0.6511	0.4972	77.4435	0.0018	0.1860	0.8844	20.2443	0.7100	0.7232	0.6314	0.6864	0.4374	0.5985	79.7928	0.0014	0.0014	0.0000	45.8720	-0.4936	-0.5634	-0.5538	-0.3947	0.2751	-0.2225	0.6239	0.8727	0.6568	0.8862	0.6531	0.8893	0.5534	0.8571	0.3418	0.6962	0.6199	0.8705
2125	0.7114	0.5539	77.3611	0.0015	0.1749	0.8810	14.5571	0.7167	0.7389	0.6555	0.6924	0.5609	0.6608	79.7620	0.0015	0.0016	0.0000	38.7188	-0.5449	-0.6157	-0.5930	-0.4400	0.2921	-0.2749	0.6374	0.8779	0.6667	0.8951	0.6690	0.8989	0.6020	0.8721	0.3846	0.7457	0.6351	0.8864
2550	0.7355	0.5831	77.3545	0.0015	0.1759	0.8835	15.4642	0.7092	0.7331	0.6873	0.6872	0.5621	0.6896	79.7678	0.0015	0.0015	0.0000	40.8317	-0.4752	-0.5357	-0.5493	-0.4053	0.3095	-0.2015	0.6645	0.8920	0.6863	0.9046	0.6903	0.9068	0.6166	0.8834	0.3932	0.7489	0.6576	0.8919
2975	0.7554	0.6114	77.3178	0.0014	0.1564	0.8830	13.0801	0.7386	0.7582	0.7009	0.7192	0.6309	0.7263	79.7598	0.0015	0.0016	0.0000	40.5706	-0.5304	-0.5927	-0.5832	-0.4610	0.2998	-0.2177	0.6863	0.8992	0.7248	0.9121	0.7383	0.9175	0.6440	0.8891	0.3634	0.7382	0.6463	0.8958
3400	0.7685	0.6147	77.2673	0.0011	0.1399	0.8801	11.1312	0.7377	0.7566	0.7098	0.7196	0.6903	0.7603	79.7426	0.0016	0.0017	0.0000	37.3246	-0.5664	-0.6242	-0.6167	-0.4940	0.2621	-0.2934	0.6927	0.9004	0.7256	0.9136	0.7324	0.9180	0.6506	0.8939	0.4362	0.7960	0.7085	0.9121
3825	0.7608	0.6017	77.3126	0.0014	0.1551	0.8810	14.0307	0.7371	0.7567	0.7147	0.7229	0.6350	0.7506	79.7584	0.0016	0.0016	0.0000	40.8135	-0.5051	-0.5372	-0.5242	-0.4397	0.2748	-0.2290	0.6769	0.8982	0.7049	0.9081	0.7086	0.9126	0.6505	0.8944	0.3726	0.7427	0.6483	0.8946
4250	0.7770	0.6365	77.2739	0.0012	0.1367	0.8830	12.4202	0.7291	0.7519	0.7310	0.7141	0.6730	0.7559	79.7526	0.0016	0.0016	0.0000	42.4405	-0.5514	-0.6031	-0.6028	-0.4717	0.2627	-0.2740	0.7211	0.9075	0.7439	0.9173	0.7489	0.9211	0.6726	0.9005	0.3945	0.7657	0.6793	0.9065
