batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
425	0.7358	0.6003	77.3857	0.0020	0.1991	0.9355	50.6384	0.7054	0.6441	0.5593	0.6779	0.3474	0.4328	79.7672	0.0015	0.0015	0.4002	87.1129	-0.5588	-0.6285	-0.6018	-0.4697	0.2594	-0.2294	0.6904	0.8856	0.7208	0.9002	0.7153	0.8977	0.6328	0.8705	0.2232	0.5383	0.4624	0.8125
850	0.7446	0.6005	77.3256	0.0015	0.1663	0.8929	28.5830	0.7482	0.7040	0.5664	0.7225	0.4653	0.5237	79.7254	0.0018	0.0018	0.0544	63.3347	-0.6755	-0.7738	-0.7663	-0.5476	0.1292	-0.3593	0.6560	0.8687	0.6785	0.8860	0.6761	0.8857	0.6031	0.8605	0.2605	0.6384	0.5180	0.8352
1275	0.7466	0.6117	77.2957	0.0014	0.1541	0.8869	26.6918	0.7553	0.7255	0.6145	0.7380	0.5309	0.5736	79.7205	0.0018	0.0018	0.0202	63.6331	-0.6746	-0.7798	-0.7576	-0.5643	0.1786	-0.3567	0.6695	0.8830	0.7141	0.9021	0.7227	0.9048	0.6037	0.8708	0.2691	0.6562	0.5212	0.8440
1700	0.7656	0.6159	77.2907	0.0014	0.1517	0.8969	34.1866	0.7442	0.7220	0.6243	0.7182	0.5201	0.5703	79.7249	0.0018	0.0018	0.2470	75.5786	-0.6902	-0.7874	-0.7602	-0.6062	0.2456	-0.3301	0.6833	0.8849	0.7105	0.9033	0.7185	0.9083	0.6079	0.8731	0.2671	0.6498	0.5180	0.8417
2125	0.7662	0.6103	77.3403	0.0017	0.1793	0.9259	48.9412	0.7517	0.7169	0.6330	0.7235	0.5135	0.5880	79.7602	0.0016	0.0016	0.6099	84.6482	-0.6947	-0.7898	-0.7739	-0.5481	0.2917	-0.3831	0.6905	0.8896	0.7152	0.9050	0.7229	0.9119	0.6377	0.8790	0.2720	0.6501	0.5806	0.8675
2550	0.7676	0.6159	77.4080	0.0020	0.2040	0.9679	70.0080	0.7481	0.7182	0.6531	0.7262	0.4443	0.5832	79.8207	0.0012	0.0012	0.9456	97.5726	-0.6379	-0.7470	-0.7259	-0.5138	0.3647	-0.2991	0.7213	0.9107	0.7461	0.9231	0.7297	0.9237	0.6618	0.8974	0.2189	0.5545	0.5232	0.8502
2975	0.7648	0.6026	77.6449	0.0033	0.3235	0.9994	107.9528	0.7230	0.6597	0.5841	0.6881	0.1706	0.5049	79.8884	0.0007	0.0007	1.0000	116.3034	-0.5974	-0.7076	-0.6817	-0.4588	0.4024	-0.3017	0.6873	0.8976	0.6927	0.9067	0.6879	0.9065	0.6303	0.8852	0.1721	0.3976	0.5088	0.8347
3400	0.7457	0.5988	77.8987	0.0046	0.4244	0.9997	130.8455	0.6766	0.5431	0.4692	0.6119	-0.0792	0.3280	79.9698	0.0002	0.0002	1.0000	132.3518	-0.3793	-0.4300	-0.4255	-0.2023	0.0995	-0.1148	0.6814	0.8953	0.6467	0.8800	0.5852	0.8479	0.5785	0.8709	0.1748	0.4167	0.4279	0.7581
3825	0.5946	0.5245	77.9460	0.0038	0.3215	0.9997	139.0455	0.5615	0.4223	0.3727	0.4775	-0.0045	0.1741	79.9874	0.0001	0.0001	1.0000	139.7994	-0.3517	-0.3443	-0.4127	-0.1903	0.0360	-0.0502	0.5296	0.8189	0.4859	0.7766	0.4611	0.7575	0.4461	0.7803	0.2396	0.5330	0.3142	0.6270
4250	0.2554	0.2094	77.9498	0.0016	0.1385	0.9991	139.3514	0.3047	0.2945	0.2364	0.1711	0.1638	0.1863	79.9875	0.0001	0.0001	1.0000	139.1976	0.0522	-0.0370	0.0031	0.0984	-0.0539	-0.0624	0.2812	0.6112	0.2649	0.5888	0.2466	0.5708	0.2465	0.5514	0.2297	0.5099	0.2254	0.5192
