batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap
425	0.0216	0.0035	77.9564	0.0002	0.0162	0.9418	144.0000	0.0346	0.0418	0.0236	0.0222	79.9933	0.0000	0.0000	0.9123	144.0000	-0.0883	-0.3855	-0.4124	0.0703	0.2448	0.5473	0.2268	0.5134	0.2336	0.5229	0.2173	0.4851
850	0.0972	0.0530	77.9559	0.0007	0.0385	0.9847	144.0000	0.2976	0.3356	0.2754	0.2494	79.9930	0.0000	0.0000	0.7016	144.0000	-0.2514	-0.5061	-0.5855	-0.0709	0.3007	0.6285	0.3486	0.6923	0.3537	0.7014	0.2736	0.5989
1275	0.3611	0.2689	77.9525	0.0024	0.1844	1.0000	144.0000	0.3643	0.3837	0.3243	0.3568	79.9907	0.0001	0.0001	1.0000	144.0000	-0.7407	-0.8069	-0.6779	-0.6009	0.3431	0.6561	0.3792	0.6912	0.3823	0.7122	0.3274	0.6631
1700	0.5389	0.4200	77.9503	0.0035	0.2883	0.9997	144.0000	0.5565	0.5527	0.4765	0.5387	79.9891	0.0001	0.0001	1.0000	144.0000	-0.7834	-0.8233	-0.6357	-0.6779	0.3421	0.6778	0.3561	0.7054	0.3451	0.6961	0.3419	0.6851
2125	0.6301	0.4957	77.9493	0.0041	0.3511	0.9997	144.0000	0.6571	0.6459	0.5343	0.6341	79.9890	0.0001	0.0001	1.0000	144.0000	-0.7983	-0.8367	-0.6624	-0.7103	0.3974	0.7475	0.4336	0.7747	0.4336	0.7825	0.3866	0.7456
2550	0.6188	0.4924	77.9490	0.0040	0.3526	0.9994	144.0000	0.6248	0.6303	0.5547	0.6124	79.9885	0.0001	0.0001	1.0000	144.0000	-0.7939	-0.8373	-0.6892	-0.7295	0.3908	0.7237	0.4127	0.7444	0.4085	0.7418	0.3706	0.7203
2975	0.6781	0.5349	77.9485	0.0044	0.3692	1.0000	144.0000	0.7090	0.7088	0.6241	0.6897	79.9889	0.0001	0.0001	1.0000	144.0000	-0.8089	-0.8577	-0.7259	-0.7167	0.5091	0.7976	0.5273	0.8172	0.5193	0.8237	0.4805	0.7976
3400	0.6776	0.5513	77.9486	0.0044	0.3858	1.0000	144.0000	0.6905	0.6875	0.5979	0.6814	79.9887	0.0001	0.0001	1.0000	144.0000	-0.7649	-0.8212	-0.6998	-0.6844	0.4560	0.7855	0.4675	0.8013	0.4600	0.8024	0.4639	0.7873
3825	0.7028	0.5821	77.9481	0.0046	0.3800	0.9994	144.0000	0.7079	0.7070	0.6195	0.6935	79.9885	0.0001	0.0001	1.0000	144.0000	-0.7847	-0.8333	-0.7089	-0.7041	0.4880	0.7950	0.5272	0.8173	0.5413	0.8319	0.4699	0.7944
4250	0.6747	0.5634	77.9482	0.0044	0.3670	1.0000	144.0000	0.6798	0.6768	0.5962	0.6672	79.9874	0.0001	0.0001	1.0000	144.0000	-0.8411	-0.8674	-0.7469	-0.8001	0.3835	0.7180	0.4124	0.7370	0.4380	0.7578	0.3722	0.7166
4675	0.7267	0.5794	77.9477	0.0047	0.3942	1.0000	144.0000	0.7533	0.7486	0.6560	0.7389	79.9884	0.0001	0.0001	1.0000	144.0000	-0.7918	-0.8477	-0.7561	-0.7121	0.5309	0.8156	0.5662	0.8341	0.5866	0.8511	0.5109	0.8120
