batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
425	0.0080	0.0004	77.9564	0.0002	0.0038	0.9580	144.0000	-0.0110	-0.0018	-0.0315	-0.0021	-0.0528	-0.0078	79.9933	0.0000	0.0000	1.0000	144.0000	-0.1851	0.0348	-0.1427	0.1052	0.1060	0.0656	0.2357	0.5432	0.2141	0.4839	0.1978	0.4514	0.2068	0.4522	0.2677	0.6242	0.2189	0.4970
850	0.0026	0.0003	77.9564	0.0001	0.0073	0.9571	144.0000	-0.0409	-0.0203	0.0029	-0.0555	0.0322	0.0019	79.9933	0.0000	0.0000	1.0000	144.0000	-0.0726	-0.0168	0.0580	-0.0777	-0.0113	-0.0364	0.1863	0.4432	0.2259	0.5141	0.1923	0.4449	0.2089	0.4739	0.2123	0.5136	0.2201	0.5010
1275	0.0034	0.0014	77.9564	0.0001	0.0063	0.9511	144.0000	0.0387	-0.0299	-0.0369	-0.0284	0.0057	0.0156	79.9933	0.0000	0.0000	1.0000	144.0000	-0.0509	-0.0103	-0.0429	-0.0827	-0.0181	-0.0620	0.2335	0.5164	0.2113	0.4797	0.2307	0.5369	0.2108	0.4808	0.2093	0.4423	0.2240	0.5112
1700	0.0125	0.0056	77.9564	0.0001	0.0080	0.9776	144.0000	0.0014	-0.0276	0.0415	0.0104	0.0880	0.0674	79.9933	0.0000	0.0000	1.0000	144.0000	-0.0505	-0.0059	-0.0286	-0.0246	0.0026	0.0487	0.1741	0.3795	0.2126	0.4829	0.1784	0.4205	0.1898	0.4286	0.2202	0.4914	0.2220	0.5033
2125	0.0145	0.0039	77.9564	0.0001	0.0075	0.9815	144.0000	0.0216	-0.0020	0.0049	0.0045	0.0389	0.0020	79.9933	0.0000	0.0000	1.0000	144.0000	0.0067	-0.0023	-0.0043	0.0344	0.0280	-0.0148	0.1791	0.4160	0.2147	0.4799	0.1857	0.4162	0.1720	0.3610	0.2182	0.5035	0.2094	0.4758
2550	0.0173	0.0050	77.9564	0.0001	0.0078	0.9807	144.0000	-0.0270	-0.0048	0.0199	0.0041	0.0188	0.0264	79.9933	0.0000	0.0000	0.9960	144.0000	-0.0004	-0.0636	-0.0533	-0.0214	0.0541	-0.0020	0.1758	0.3921	0.1937	0.4255	0.2345	0.4973	0.2186	0.4872	0.2412	0.5407	0.2045	0.4566
2975	0.0261	0.0124	77.9564	0.0001	0.0083	0.9778	144.0000	-0.0342	-0.0422	-0.0037	-0.0126	0.0059	0.0133	79.9933	0.0000	0.0000	0.9829	144.0000	0.0605	-0.0212	-0.0031	-0.0090	-0.0068	-0.0370	0.2207	0.5069	0.2305	0.5056	0.2032	0.4742	0.1790	0.3997	0.1883	0.4345	0.2132	0.4711
3400	0.0153	0.0045	77.9564	0.0002	0.0127	0.9736	144.0000	0.0239	-0.0770	-0.0226	0.0011	0.0003	-0.0043	79.9933	0.0000	0.0000	0.9728	144.0000	0.0335	0.0238	0.0725	-0.0466	0.0621	0.0008	0.2490	0.5113	0.1947	0.4291	0.2567	0.5715	0.2063	0.4738	0.1988	0.4688	0.2367	0.5066
3825	0.0173	0.0096	77.9564	0.0001	0.0135	0.9849	144.0000	-0.0186	-0.0789	-0.0007	-0.0191	0.0497	0.0502	79.9933	0.0000	0.0000	0.9758	144.0000	-0.0237	0.0241	0.0039	0.0287	-0.0587	0.0091	0.2046	0.4408	0.2073	0.4617	0.2983	0.5616	0.2080	0.4746	0.1866	0.4362	0.2372	0.4910
4250	0.0111	0.0103	77.9564	0.0001	0.0133	0.9753	144.0000	-0.0150	0.0287	0.0518	0.0053	0.0048	0.0614	79.9933	0.0000	0.0000	0.9415	144.0000	0.0165	0.0407	0.0508	-0.0328	0.0632	0.0244	0.2044	0.4523	0.2253	0.4849	0.2174	0.5369	0.2028	0.4634	0.2335	0.5313	0.2394	0.5327
