batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap
425	0.3244	0.2316	77.9602	0.0000	0.0004	0.9963	27144.6276	0.2260	0.2260	0.2260	0.2260	79.9979	0.0000	0.0000	1.0000	27102.5837	-0.0606	-0.0606	-0.0606	-0.0606	0.2421	0.5601	0.2421	0.5601	0.2421	0.5601	0.2421	0.5601
850	0.6861	0.5405	77.2443	0.0000	0.0008	0.8832	1093.8582	0.6714	0.6714	0.6714	0.6714	79.5677	0.0000	0.0000	0.2944	6821.2802	-0.8896	-0.8896	-0.8896	-0.8896	0.5933	0.8535	0.5933	0.8535	0.5933	0.8535	0.5933	0.8535
1275	0.7526	0.5974	77.1085	0.0000	0.0006	0.8426	58.6327	0.8161	0.8161	0.8161	0.8161	79.4355	0.0000	0.0000	0.0161	543.6694	-0.8843	-0.8843	-0.8843	-0.8843	0.6017	0.8499	0.6017	0.8499	0.6017	0.8499	0.6017	0.8499
1700	0.7642	0.6123	77.0791	0.0000	0.0006	0.8332	16.7429	0.8219	0.8219	0.8219	0.8219	79.3809	0.0000	0.0000	0.0060	146.1835	-0.8819	-0.8819	-0.8819	-0.8819	0.5767	0.8450	0.5767	0.8450	0.5767	0.8450	0.5767	0.8450
2125	0.7636	0.6299	77.0690	0.0000	0.0006	0.8332	32.2071	0.8335	0.8335	0.8335	0.8335	79.3687	0.0000	0.0000	0.0020	187.0474	-0.8838	-0.8838	-0.8838	-0.8838	0.5845	0.8549	0.5845	0.8549	0.5845	0.8549	0.5845	0.8549
2550	0.7838	0.6303	77.0494	0.0000	0.0006	0.8273	2.6139	0.8526	0.8526	0.8526	0.8526	79.3318	0.0000	0.0000	0.0000	40.3891	-0.8799	-0.8799	-0.8799	-0.8799	0.5715	0.8623	0.5715	0.8623	0.5715	0.8623	0.5715	0.8623
2975	0.7798	0.6213	77.0436	0.0000	0.0006	0.8278	8.9511	0.8466	0.8466	0.8466	0.8466	79.3151	0.0000	0.0000	0.0000	20.5696	-0.8826	-0.8826	-0.8826	-0.8826	0.5741	0.8598	0.5741	0.8598	0.5741	0.8598	0.5741	0.8598
3400	0.7656	0.6122	77.0535	0.0000	0.0006	0.8210	5.3969	0.8333	0.8333	0.8333	0.8333	79.3272	0.0000	0.0000	0.0000	10.2450	-0.8881	-0.8881	-0.8881	-0.8881	0.5450	0.8470	0.5450	0.8470	0.5450	0.8470	0.5450	0.8470
3825	0.7830	0.6204	77.0389	0.0000	0.0005	0.8256	7.0994	0.8481	0.8481	0.8481	0.8481	79.3218	0.0000	0.0000	0.0000	4.8649	-0.8838	-0.8838	-0.8838	-0.8838	0.5844	0.8675	0.5844	0.8675	0.5844	0.8675	0.5844	0.8675
4250	0.7855	0.6257	77.0298	0.0000	0.0006	0.8241	1.5915	0.8552	0.8552	0.8552	0.8552	79.3022	0.0000	0.0000	0.0000	5.6008	-0.8874	-0.8874	-0.8874	-0.8874	0.6097	0.8680	0.6097	0.8680	0.6097	0.8680	0.6097	0.8680
4675	0.7912	0.6361	77.0311	0.0000	0.0006	0.8276	1.6293	0.8472	0.8472	0.8472	0.8472	79.3273	0.0000	0.0000	0.0000	7.3478	-0.8964	-0.8964	-0.8964	-0.8964	0.6315	0.8756	0.6315	0.8756	0.6315	0.8756	0.6315	0.8756
5100	0.7801	0.6228	77.0332	0.0000	0.0006	0.8227	1.6804	0.8507	0.8507	0.8507	0.8507	79.3116	0.0000	0.0000	0.0000	4.7964	-0.8852	-0.8852	-0.8852	-0.8852	0.5965	0.8706	0.5965	0.8706	0.5965	0.8706	0.5965	0.8706
