batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap
136	0.9026	0.0798	17.2183	0.0413	0.0858	1.0000	19.0000	0.2497	-0.1758	-0.1672	0.2341	-0.1777	-0.1570	0.1597	-0.1493	-0.1508	0.2412	-0.1764	-0.1807	17.2038	0.0416	0.0741	0.9996	19.0000	0.2624	-0.1219	-0.2039	0.2441	-0.1820	-0.2013	0.1734	-0.1254	-0.2070	0.2477	0.0329	-0.2096	0.1569	0.5501	0.1837	0.5827	0.2666	0.7141	0.1598	0.5498
272	0.9217	0.0880	17.1965	0.0412	0.0926	0.9998	19.0000	0.2868	-0.1993	-0.2108	0.2835	-0.2116	-0.2069	0.2463	-0.1975	-0.1972	0.2823	-0.1935	-0.1809	17.1817	0.0417	0.0821	1.0000	19.0000	0.2967	-0.1342	-0.2140	0.2902	-0.2281	-0.2219	0.2651	-0.1601	-0.2180	0.2968	-0.1346	-0.1895	0.1697	0.5594	0.1634	0.5500	0.2221	0.6255	0.1501	0.5204
408	0.9008	0.1101	17.1959	0.0400	0.0923	1.0000	19.0000	0.3525	-0.1637	-0.1648	0.3449	-0.1820	-0.1825	0.3010	-0.1801	-0.1899	0.3498	-0.1898	-0.1755	17.1785	0.0407	0.0781	1.0000	19.0000	0.3489	-0.1206	-0.2123	0.3463	-0.1882	-0.2193	0.3025	-0.1693	-0.2136	0.3467	-0.0846	-0.2031	0.1167	0.4010	0.1183	0.4061	0.1356	0.4773	0.1148	0.3890
544	0.9051	0.1103	17.1900	0.0399	0.1052	0.9999	19.0000	0.3957	-0.2055	-0.2226	0.3881	-0.2107	-0.2211	0.3351	-0.2232	-0.2171	0.3922	-0.2061	-0.2219	17.1729	0.0406	0.0838	1.0000	19.0000	0.3819	-0.1298	-0.2044	0.3743	-0.1680	-0.2211	0.3253	-0.1842	-0.2171	0.3793	-0.1360	-0.2066	0.1157	0.3965	0.1166	0.3999	0.1314	0.4624	0.1139	0.3864
680	0.9145	0.1245	17.1858	0.0401	0.0965	0.9997	19.0000	0.4202	-0.1963	-0.1685	0.4160	-0.1927	-0.1656	0.3648	-0.1900	-0.1698	0.4182	-0.2015	-0.1704	17.1682	0.0410	0.0828	0.9996	19.0000	0.4097	-0.1592	-0.2325	0.4045	-0.1412	-0.2452	0.3455	-0.1522	-0.2491	0.4070	-0.1303	-0.2237	0.1019	0.3078	0.1005	0.2965	0.1070	0.3432	0.0999	0.2919
816	0.9228	0.1371	17.1834	0.0404	0.1008	0.9997	19.0000	0.4340	-0.2069	-0.2009	0.4307	-0.2064	-0.2000	0.3740	-0.1978	-0.1848	0.4313	-0.2058	-0.2002	17.1666	0.0410	0.0827	1.0000	19.0000	0.4279	-0.1035	-0.2035	0.4241	-0.1263	-0.2417	0.3595	-0.1272	-0.2232	0.4251	-0.1000	-0.2013	0.1124	0.3736	0.1105	0.3632	0.1172	0.3970	0.1115	0.3681
952	0.9242	0.1402	17.1822	0.0405	0.1003	0.9995	19.0000	0.4498	-0.2065	-0.1989	0.4470	-0.2002	-0.2005	0.3867	-0.1979	-0.1919	0.4464	-0.1908	-0.1931	17.1657	0.0411	0.0836	0.9985	19.0000	0.4430	-0.1294	-0.2232	0.4396	-0.1395	-0.2303	0.3776	-0.1360	-0.2430	0.4399	-0.1285	-0.2118	0.1142	0.3868	0.1118	0.3715	0.1184	0.4016	0.1130	0.3796
1088	0.9306	0.1492	17.1812	0.0408	0.0978	0.9995	19.0000	0.4510	-0.2269	-0.2192	0.4487	-0.2193	-0.2194	0.3886	-0.2146	-0.2073	0.4477	-0.2201	-0.2158	17.1650	0.0411	0.0826	0.9988	19.0000	0.4467	-0.1412	-0.2263	0.4452	-0.1447	-0.2333	0.3850	-0.1816	-0.2412	0.4445	-0.1368	-0.2149	0.1250	0.4270	0.1206	0.4094	0.1264	0.4346	0.1212	0.4103
1224	0.9262	0.1551	17.1826	0.0405	0.1072	0.9993	19.0000	0.4569	-0.2207	-0.1992	0.4542	-0.2203	-0.1970	0.3954	-0.2212	-0.1970	0.4534	-0.2177	-0.1953	17.1658	0.0409	0.0808	0.9973	19.0000	0.4452	-0.1548	-0.2004	0.4432	-0.1776	-0.2070	0.3825	-0.2031	-0.2215	0.4428	-0.1399	-0.1904	0.1102	0.3556	0.1079	0.3428	0.1128	0.3651	0.1085	0.3454
1360	0.9320	0.1503	17.1805	0.0408	0.1086	0.9992	19.0000	0.4718	-0.2598	-0.2498	0.4699	-0.2628	-0.2554	0.3984	-0.2693	-0.2604	0.4670	-0.2466	-0.2466	17.1645	0.0411	0.0815	0.9969	19.0000	0.4562	-0.1596	-0.1943	0.4546	-0.1632	-0.2031	0.3893	-0.1539	-0.2004	0.4530	-0.1496	-0.1961	0.1303	0.4447	0.1270	0.4300	0.1379	0.4624	0.1266	0.4272
