batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_token	id_variance_kendalls_tau_max_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_token	id_mutual_information_kendalls_tau_max_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_token	ood_variance_kendalls_tau_max_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_token	ood_mutual_information_kendalls_tau_max_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
136	0.8818	0.1366	16.6786	0.0139	0.1848	0.9970	7.3760	0.4703	-0.2244	-0.1552	0.4239	-0.2332	-0.1652	0.3718	-0.2358	-0.1845	0.4654	-0.2005	-0.1481	0.2487	-0.2313	-0.2224	0.2135	-0.2595	-0.2545	16.6400	0.0137	0.1306	0.9965	7.1727	0.4483	-0.1614	-0.1487	0.4164	-0.1610	-0.1596	0.3733	-0.1649	-0.1781	0.4449	-0.1351	-0.1461	0.2706	-0.1425	-0.1785	0.2441	-0.1654	-0.2096	0.1210	0.4255	0.1231	0.4335	0.1291	0.4609	0.1206	0.4233	0.1570	0.5427	0.1670	0.5704
272	0.9398	0.2012	16.3914	0.0032	0.2279	0.9852	2.1277	0.4428	-0.2353	-0.2425	0.4414	-0.2394	-0.2475	0.3975	-0.2491	-0.2651	0.4398	-0.2346	-0.2436	0.4431	-0.2057	-0.2525	0.4250	-0.2432	-0.2731	16.3721	0.0034	0.1540	0.9784	2.0951	0.4267	-0.1307	-0.1868	0.4254	-0.1491	-0.2114	0.3835	-0.2004	-0.2355	0.4260	-0.1382	-0.1833	0.4374	-0.1671	-0.1886	0.4215	-0.2158	-0.2136	0.1461	0.5209	0.1427	0.5107	0.1596	0.5530	0.1430	0.5104	0.1451	0.5243	0.1496	0.5370
408	0.9427	0.2389	16.3719	0.0025	0.2212	0.9802	1.7492	0.4180	-0.2464	-0.2537	0.4177	-0.2463	-0.2583	0.3669	-0.2616	-0.2731	0.4159	-0.2373	-0.2500	0.4591	-0.2255	-0.2712	0.4504	-0.2462	-0.2875	16.3496	0.0023	0.1561	0.9710	1.7032	0.4020	-0.0864	-0.1583	0.4019	-0.1101	-0.1759	0.3527	-0.1522	-0.1991	0.4016	-0.0912	-0.1504	0.4496	-0.1754	-0.2211	0.4436	-0.1364	-0.2338	0.1453	0.5109	0.1412	0.4975	0.1618	0.5457	0.1415	0.4985	0.1422	0.5140	0.1463	0.5269
544	0.9395	0.2374	16.3812	0.0028	0.2164	0.9791	1.7653	0.4080	-0.1991	-0.1910	0.4072	-0.2078	-0.2068	0.3449	-0.2379	-0.2391	0.4058	-0.1985	-0.1929	0.4648	-0.1865	-0.2611	0.4603	-0.2308	-0.2835	16.3620	0.0029	0.1562	0.9699	1.7620	0.3945	-0.1684	-0.1829	0.3941	-0.1605	-0.1855	0.3361	-0.1649	-0.1996	0.3936	-0.1702	-0.1772	0.4547	-0.1632	-0.2211	0.4528	-0.1202	-0.2417	0.1453	0.5138	0.1413	0.4992	0.1664	0.5586	0.1439	0.5090	0.1432	0.5180	0.1486	0.5359
680	0.9414	0.2429	16.3684	0.0023	0.2201	0.9760	1.6723	0.4061	-0.2335	-0.2231	0.4061	-0.2356	-0.2280	0.3527	-0.2511	-0.2461	0.4049	-0.2337	-0.2212	0.4723	-0.2262	-0.2652	0.4714	-0.2586	-0.2847	16.3487	0.0025	0.1692	0.9702	1.6422	0.3897	-0.1197	-0.1605	0.3899	-0.1329	-0.1583	0.3394	-0.1259	-0.1623	0.3892	-0.1316	-0.1539	0.4626	-0.1360	-0.2004	0.4633	-0.1373	-0.2057	0.1476	0.5178	0.1421	0.5004	0.1615	0.5427	0.1463	0.5136	0.1393	0.5057	0.1427	0.5155
816	0.9412	0.2218	16.3714	0.0026	0.2174	0.9770	1.6406	0.3828	-0.2576	-0.2571	0.3827	-0.2603	-0.2683	0.3225	-0.2800	-0.2992	0.3805	-0.2513	-0.2544	0.4650	-0.2450	-0.3132	0.4630	-0.2726	-0.3276	16.3546	0.0027	0.1700	0.9668	1.6538	0.3693	-0.1175	-0.1553	0.3693	-0.1219	-0.1566	0.3150	-0.1329	-0.1838	0.3694	-0.1346	-0.1645	0.4525	-0.0496	-0.2057	0.4508	-0.1219	-0.2329	0.1585	0.5526	0.1562	0.5458	0.1858	0.6056	0.1560	0.5460	0.1474	0.5343	0.1553	0.5562
952	0.9431	0.2430	16.3631	0.0022	0.2399	0.9762	1.6105	0.3723	-0.2539	-0.2445	0.3724	-0.2539	-0.2462	0.3224	-0.2673	-0.2684	0.3704	-0.2476	-0.2421	0.4697	-0.2445	-0.2737	0.4679	-0.2590	-0.2902	16.3448	0.0024	0.1646	0.9695	1.6097	0.3599	-0.1601	-0.1671	0.3600	-0.1434	-0.1684	0.3163	-0.1539	-0.1855	0.3590	-0.1627	-0.1715	0.4671	-0.2018	-0.2421	0.4664	-0.2294	-0.2557	0.1459	0.5151	0.1420	0.5025	0.1572	0.5404	0.1443	0.5088	0.1443	0.5218	0.1493	0.5377
1088	0.9435	0.2464	16.3612	0.0022	0.2276	0.9757	1.5435	0.3820	-0.2537	-0.2490	0.3822	-0.2576	-0.2532	0.3291	-0.2782	-0.2777	0.3801	-0.2521	-0.2454	0.4655	-0.2259	-0.2836	0.4641	-0.2523	-0.3049	16.3413	0.0022	0.1611	0.9664	1.5174	0.3672	-0.1592	-0.1627	0.3679	-0.1465	-0.1561	0.3214	-0.1154	-0.1737	0.3664	-0.1588	-0.1636	0.4543	-0.1785	-0.2333	0.4540	-0.1724	-0.2360	0.1435	0.5081	0.1403	0.4972	0.1536	0.5293	0.1404	0.4973	0.1478	0.5345	0.1492	0.5377
1224	0.9397	0.2450	16.4163	0.0042	0.2219	0.9839	2.3983	0.3464	-0.2534	-0.2445	0.3462	-0.2598	-0.2538	0.2980	-0.2815	-0.2762	0.3455	-0.2509	-0.2442	0.4487	-0.1885	-0.2649	0.4584	-0.2205	-0.2739	16.3944	0.0041	0.1501	0.9776	2.3512	0.3165	-0.0939	-0.1697	0.3160	-0.1154	-0.1846	0.2731	-0.1096	-0.1741	0.3157	-0.0934	-0.1728	0.4387	-0.2180	-0.2092	0.4430	-0.1478	-0.2154	0.1422	0.5023	0.1371	0.4866	0.1532	0.5336	0.1403	0.4944	0.1342	0.4846	0.1384	0.4989
1360	0.9419	0.2241	16.3890	0.0031	0.2371	0.9805	2.1866	0.3159	-0.2523	-0.2562	0.3167	-0.2594	-0.2652	0.2953	-0.2888	-0.2887	0.3157	-0.2491	-0.2558	0.4461	-0.2292	-0.2904	0.4524	-0.2709	-0.2953	16.3662	0.0031	0.1651	0.9706	2.0962	0.3030	-0.1189	-0.1430	0.3037	-0.0996	-0.1535	0.2864	-0.0947	-0.1645	0.3036	-0.1114	-0.1447	0.4473	-0.1184	-0.2382	0.4513	-0.1215	-0.2417	0.1457	0.5180	0.1431	0.5089	0.1551	0.5371	0.1431	0.5093	0.1301	0.4687	0.1271	0.4568
