batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_token	id_variance_kendalls_tau_max_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_token	id_mutual_information_kendalls_tau_max_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_token	ood_variance_kendalls_tau_max_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_token	ood_mutual_information_kendalls_tau_max_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
136	0.0486	0.0056	17.1880	0.0032	0.0813	0.9860	19.0000	-0.0587	-0.2082	0.1454	-0.0328	-0.2434	-0.0771	-0.0836	-0.4251	-0.4995	-0.0665	-0.1742	0.0936	-0.0042	0.1002	0.2278	0.0121	0.0850	0.2135	17.1806	0.0036	0.0667	0.9616	18.9986	0.0096	0.1298	0.3088	0.0200	0.2268	0.3158	-0.0959	-0.2101	-0.4719	-0.0033	0.0561	0.1737	0.1047	0.1996	0.3132	0.1011	0.1391	0.1860	0.1031	0.3129	0.1636	0.5730	0.4322	0.8547	0.0984	0.2688	0.1144	0.3822	0.0962	0.2511
272	0.1252	0.0179	17.1971	0.0037	0.0686	0.9951	18.9711	-0.1024	-0.2113	0.0646	0.0178	-0.1730	0.0054	-0.2373	-0.4279	-0.4529	-0.1133	-0.2736	-0.0302	0.0454	-0.1158	0.1634	0.0473	-0.0118	0.2789	17.1897	0.0032	0.0604	0.9911	18.9506	0.0222	-0.2368	0.2171	0.0286	-0.0605	0.0969	-0.1046	-0.3899	-0.4456	0.0135	-0.3004	0.0482	0.1250	0.1189	0.3202	0.1148	0.1726	0.3768	0.1352	0.4916	0.2028	0.6823	0.2415	0.6958	0.0945	0.2317	0.0901	0.1747	0.0888	0.1548
408	0.0750	0.0151	17.1953	0.0013	0.0699	0.9983	18.9952	-0.1323	-0.2355	0.1016	-0.0320	-0.3011	-0.1848	-0.2821	-0.4156	-0.3988	-0.1476	-0.2896	0.0049	-0.0187	0.0101	0.3024	0.0080	0.0392	0.3843	17.1875	0.0009	0.0524	0.9973	18.9768	0.0210	-0.2013	0.4452	-0.0015	-0.1487	0.1035	-0.1377	-0.2842	-0.3772	0.0311	-0.2013	0.1360	0.1191	0.0518	0.2061	0.1184	0.1536	0.2842	0.1336	0.4809	0.1845	0.6422	0.4598	0.8447	0.0891	0.1842	0.1024	0.3065	0.1004	0.2902
544	0.0459	0.0096	17.1925	0.0026	0.0679	0.9963	18.9979	-0.0786	-0.2746	0.1399	-0.0323	-0.3291	-0.1133	-0.2119	-0.4280	-0.4086	-0.1135	-0.3141	0.0387	0.0192	0.0180	0.2597	0.0278	-0.0058	0.2446	17.1849	0.0018	0.0538	0.9911	18.9936	0.0094	-0.1430	0.0978	-0.0192	-0.0450	-0.0680	-0.1254	-0.3237	-0.4395	0.0094	-0.1952	0.0596	0.0976	-0.0162	0.2947	0.0976	0.0601	0.1658	0.1520	0.5562	0.1853	0.6426	0.4951	0.8586	0.1093	0.3572	0.0889	0.1764	0.1056	0.3282
680	0.1535	0.0227	17.1947	0.0040	0.0758	0.9980	18.9973	-0.0945	-0.1800	0.2852	-0.0134	-0.2618	0.0575	-0.2297	-0.4256	-0.4424	-0.1167	-0.2370	0.2309	0.0389	0.0173	0.2794	0.0313	0.0898	0.3766	17.1868	0.0057	0.0672	0.9973	18.9898	0.0440	0.0140	0.2518	0.0178	0.0325	0.0873	-0.1101	-0.3785	-0.4377	0.0301	-0.0816	0.2053	0.1126	-0.0658	0.1254	0.1021	0.0290	0.1754	0.1123	0.3787	0.1095	0.3594	0.3204	0.7884	0.0962	0.2566	0.0859	0.1295	0.1272	0.3456
816	0.1225	0.0192	17.1951	0.0029	0.0763	0.9984	18.9980	-0.1673	-0.2539	0.1196	-0.1106	-0.2680	-0.2765	-0.2294	-0.4108	-0.3898	-0.1751	-0.2419	0.0783	0.0864	0.0001	0.3024	0.0466	-0.0042	0.2502	17.1882	0.0056	0.0535	0.9984	18.9943	-0.0444	-0.1272	0.2443	-0.0900	-0.0265	-0.0035	-0.1650	-0.3092	-0.4180	-0.0346	-0.1132	0.2042	0.1881	0.1417	0.2140	0.2062	0.1730	0.2930	0.1241	0.4413	0.3064	0.7787	0.4820	0.8674	0.0947	0.2225	0.0845	0.1073	0.0964	0.2573
952	0.0817	0.0153	17.1937	0.0008	0.0646	0.9989	18.9991	-0.1579	-0.2943	-0.0648	-0.1110	-0.3240	-0.4389	-0.1976	-0.4113	-0.3752	-0.1537	-0.3352	-0.1252	0.1238	0.0400	0.3550	0.1415	0.0323	0.3244	17.1876	0.0030	0.0617	0.9984	18.9968	-0.0807	-0.1807	0.0684	-0.1395	-0.1882	-0.3925	-0.2008	-0.2956	-0.4013	-0.0672	-0.2649	-0.0851	0.1467	0.0684	0.3175	0.2242	0.2853	0.5632	0.1616	0.5804	0.3880	0.8580	0.4304	0.8279	0.0948	0.2296	0.0971	0.2595	0.0887	0.1483
1088	0.0511	0.0125	17.1943	0.0021	0.0659	0.9981	18.9993	-0.1190	-0.3546	-0.1933	-0.0920	-0.3760	-0.4750	-0.2076	-0.4411	-0.4140	-0.1105	-0.3804	-0.2054	-0.0157	-0.0175	0.2662	-0.0469	-0.0040	0.3251	17.1880	0.0010	0.0643	0.9982	18.9970	-0.1171	-0.2518	-0.1390	-0.1811	-0.3215	-0.5000	-0.2133	-0.3224	-0.4864	-0.0772	-0.2101	-0.0934	0.2034	0.1776	0.3443	0.1364	-0.0395	0.2057	0.1423	0.5200	0.3072	0.7928	0.3349	0.7825	0.1058	0.3118	0.1467	0.4931	0.1005	0.2943
1224	0.0563	0.0162	17.1951	0.0014	0.0630	0.9984	18.9985	-0.1513	-0.3491	-0.1249	-0.1342	-0.3546	-0.5166	-0.1790	-0.4194	-0.3922	-0.1279	-0.3317	-0.1010	0.0461	0.0659	0.3118	0.0121	0.0608	0.2963	17.1871	0.0014	0.0542	0.9991	18.9943	-0.0818	-0.1671	0.0811	-0.1755	-0.0798	-0.4943	-0.1906	-0.3382	-0.4083	-0.0670	-0.2360	0.1048	0.1863	0.0785	0.3211	0.2368	0.2764	0.4430	0.1567	0.5498	0.2421	0.7403	0.4402	0.8247	0.1236	0.4389	0.1683	0.5858	0.0970	0.2580
1360	0.0638	0.0144	17.1927	0.0024	0.0728	0.9982	18.9994	-0.1434	-0.3161	-0.0534	-0.1239	-0.3142	-0.4774	-0.1662	-0.4235	-0.4291	-0.1127	-0.3422	-0.0437	0.0007	-0.0023	0.2248	0.1112	0.0356	0.2980	17.1867	0.0015	0.0502	0.9982	18.9986	-0.0745	-0.1513	0.1404	-0.1455	0.0526	-0.3579	-0.1385	-0.2846	-0.4360	-0.0707	-0.1430	0.1158	0.2397	0.2917	0.5904	0.2422	0.1996	0.4026	0.1343	0.4942	0.4551	0.8721	0.4162	0.8598	0.1140	0.3856	0.0943	0.2178	0.1268	0.4352
1496	0.0324	0.0117	17.1902	0.0033	0.0674	0.9979	18.9994	-0.0774	-0.3466	0.0182	-0.0521	-0.3458	-0.4765	-0.0339	-0.4289	-0.3865	-0.0764	-0.3414	0.0252	0.0682	0.0245	0.2932	0.1294	-0.0220	0.3147	17.1838	0.0016	0.0411	0.9984	18.9993	-0.0252	-0.1662	0.0029	-0.2091	-0.0667	-0.4114	-0.1906	-0.2430	-0.4732	-0.1333	-0.1101	0.2061	0.2224	0.0031	0.2189	0.1173	0.2408	0.5746	0.2577	0.7245	0.4100	0.8476	0.4247	0.8586	0.1111	0.3500	0.0906	0.2036	0.1184	0.4116
1632	0.0280	0.0141	17.1904	0.0036	0.0704	0.9976	18.9989	-0.0780	-0.3591	-0.0189	-0.0660	-0.3596	-0.4690	-0.1083	-0.4174	-0.3356	-0.0081	-0.3575	0.0246	0.0130	0.0283	0.3442	0.0173	-0.0113	0.2710	17.1832	0.0017	0.0474	0.9984	18.9986	-0.0333	-0.1175	-0.0531	-0.2004	-0.1364	-0.5654	-0.1722	-0.3075	-0.4912	-0.0285	-0.2022	-0.0132	0.1030	0.1781	0.3667	0.2042	0.1452	0.2855	0.1408	0.5001	0.4388	0.8517	0.3128	0.7800	0.1340	0.4746	0.0953	0.2510	0.0919	0.2162
1768	0.0255	0.0139	17.1905	0.0038	0.0575	0.9974	18.9998	-0.0590	-0.3616	-0.0389	-0.1177	-0.3629	-0.4955	-0.1445	-0.4380	-0.4226	-0.1871	-0.3738	-0.0385	0.0911	-0.0333	0.2469	0.0664	-0.0418	0.2753	17.1840	0.0023	0.0457	0.9982	18.9993	-0.1039	-0.1496	0.2482	-0.1122	-0.0748	-0.3917	-0.1184	-0.2996	-0.3724	-0.0550	-0.1807	0.1015	0.1419	0.1816	0.4325	0.1372	-0.0208	0.3412	0.6361	0.9240	0.4884	0.8663	0.5059	0.8869	0.1454	0.5361	0.0978	0.2728	0.1204	0.4194
1904	0.0252	0.0132	17.1900	0.0039	0.0734	0.9974	18.9998	-0.0789	-0.3770	-0.0017	-0.1449	-0.3719	-0.4507	-0.0014	-0.4209	-0.3717	-0.1173	-0.3846	-0.0249	0.2142	-0.0194	0.2415	-0.0779	-0.0003	0.3553	17.1815	0.0023	0.0555	0.9980	18.9993	-0.1571	-0.1346	-0.0759	-0.1705	-0.1026	-0.5224	-0.2801	-0.3522	-0.5000	-0.0968	-0.1504	-0.0250	0.1224	-0.0167	0.2741	0.2158	0.1567	0.5544	0.1665	0.5910	0.4678	0.8643	0.2991	0.7219	0.1205	0.3986	0.0983	0.2750	0.0968	0.2553
2040	0.0244	0.0127	17.1891	0.0039	0.0676	0.9971	18.9998	-0.1490	-0.3636	-0.0114	-0.1398	-0.3819	-0.4542	-0.0560	-0.4319	-0.3799	-0.0736	-0.3739	-0.0129	-0.1211	-0.0219	0.2607	0.0315	0.0432	0.3504	17.1819	0.0029	0.0488	0.9984	18.9991	-0.1350	-0.2189	-0.0338	-0.2221	-0.1175	-0.6000	-0.2611	-0.4105	-0.5083	-0.1034	-0.2241	0.1162	0.2224	0.0193	0.4513	0.1381	0.0559	0.2719	0.2219	0.7081	0.4404	0.8491	0.2022	0.6222	0.2425	0.6905	0.0940	0.2271	0.1091	0.3469
2176	0.0233	0.0118	17.1884	0.0040	0.0626	0.9970	18.9996	-0.0198	-0.3697	0.0152	-0.1109	-0.3880	-0.4405	-0.2299	-0.4400	-0.3434	0.0195	-0.3807	-0.0095	0.0241	-0.0082	0.2876	0.1224	0.0341	0.3016	17.1830	0.0024	0.0472	0.9982	18.9993	-0.0572	-0.1265	-0.0969	-0.1944	-0.1044	-0.4211	-0.2267	-0.3640	-0.5039	-0.0032	-0.1202	0.0390	0.2110	0.1842	0.3092	0.1016	0.0191	0.3689	0.1261	0.4535	0.3151	0.7655	0.2747	0.7495	0.1003	0.2845	0.1540	0.4096	0.0862	0.1333
2312	0.0243	0.0121	17.1894	0.0039	0.0726	0.9975	18.9701	-0.0890	-0.3629	0.0328	0.0039	-0.3702	-0.4022	0.0037	-0.4247	-0.3537	-0.0533	-0.3667	0.0375	0.0422	-0.0287	0.2129	0.0088	-0.0163	0.2549	17.1809	0.0028	0.0549	0.9984	18.9986	-0.1210	-0.1346	-0.0529	-0.1225	-0.1419	-0.5469	-0.2430	-0.3325	-0.3004	0.0254	-0.1947	-0.1373	0.1381	0.0338	0.2851	0.2385	-0.0265	0.3373	0.1032	0.3014	0.3941	0.8245	0.2739	0.6910	0.1148	0.3908	0.1150	0.3902	0.0927	0.2094
2448	0.0223	0.0134	17.1893	0.0041	0.0676	0.9973	18.9996	0.0048	-0.3578	0.0618	-0.0671	-0.3858	-0.4237	-0.2103	-0.4268	-0.3415	-0.1018	-0.3807	-0.0184	0.1447	-0.0092	0.2856	0.1466	0.0389	0.2608	17.1790	0.0036	0.0550	0.9984	18.9980	-0.1204	-0.1851	-0.0110	-0.2548	-0.1404	-0.4395	-0.2805	-0.3632	-0.4776	-0.1004	-0.2026	0.0548	0.1908	0.0377	0.5237	0.0403	-0.0316	0.2513	0.2183	0.6491	0.4112	0.7847	0.2476	0.6446	0.1214	0.4250	0.0969	0.2529	0.1235	0.4417
2584	0.0218	0.0132	17.1891	0.0040	0.0634	0.9975	18.9855	-0.0620	-0.3634	0.0263	-0.1297	-0.3740	-0.4062	-0.1634	-0.4252	-0.3480	-0.1392	-0.3697	0.0108	-0.0251	0.0219	0.3003	0.0281	-0.0013	0.2580	17.1813	0.0029	0.0517	0.9982	18.9516	-0.1699	-0.1618	-0.0259	-0.2384	-0.1640	-0.4761	-0.2885	-0.3706	-0.3013	-0.1795	-0.2557	0.0697	0.1253	0.2013	0.4693	0.1217	0.0602	0.3939	0.1595	0.5780	0.6067	0.9288	0.3235	0.7636	0.1280	0.4656	0.1021	0.3066	0.0967	0.2516
