batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_token	id_variance_kendalls_tau_max_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_token	id_mutual_information_kendalls_tau_max_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_token	ood_variance_kendalls_tau_max_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_token	ood_mutual_information_kendalls_tau_max_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
136	0.6502	0.0556	16.4562	0.0055	0.4201	0.7879	1.7882	0.1289	0.0922	0.1067	0.1307	0.0756	0.0970	0.0633	0.0075	0.0288	0.1185	0.0648	0.0811	0.0865	0.0191	0.0502	0.0696	-0.0091	0.0326	16.4408	0.0054	0.2997	0.8010	1.8111	0.1066	0.0956	0.0868	0.1017	0.0987	0.1013	0.0569	0.0890	0.0873	0.0981	-0.0189	0.0487	0.0851	0.1105	0.0846	0.0350	0.0092	0.0421	0.1693	0.5056	0.1811	0.5101	0.1656	0.5318	0.1415	0.4946	0.1543	0.5065	0.1648	0.5287
272	0.2597	0.0296	16.5628	0.0142	0.3655	0.6606	2.5096	0.0794	-0.0014	0.0098	0.0832	-0.0363	-0.0651	-0.0097	-0.0703	-0.0461	0.0715	-0.0545	-0.0752	0.0440	-0.0232	-0.0190	0.0638	0.0049	0.0188	16.5539	0.0149	0.2671	0.6951	2.6225	0.0330	0.0298	0.0434	0.0496	0.0605	0.0544	-0.0068	-0.0390	-0.0390	0.0451	0.1211	0.0974	0.0820	0.1610	0.1298	0.0741	0.1570	0.1702	0.1616	0.5039	0.1545	0.4884	0.1544	0.4789	0.1733	0.5068	0.1520	0.4912	0.1496	0.4875
408	0.2807	0.0342	16.5972	0.0128	0.3365	0.8663	2.8066	0.0297	-0.0883	-0.1265	0.0531	-0.0420	-0.0685	0.0013	-0.0938	-0.0788	0.0508	-0.0656	-0.1015	0.0060	-0.0002	0.0051	0.0358	0.0292	0.0440	16.5527	0.0131	0.2475	0.7021	2.5757	0.0016	0.0789	0.0342	0.0040	0.0724	0.0320	-0.0319	-0.0325	-0.0232	0.0192	0.1386	0.0754	0.0253	0.1496	0.0978	0.0312	0.1079	0.0724	0.1683	0.4872	0.1598	0.4696	0.1614	0.4842	0.1356	0.4352	0.2527	0.6636	0.2262	0.6179
544	0.6711	0.0550	16.6342	0.0042	0.3130	0.9568	2.9674	0.2116	0.1017	0.1090	0.1874	0.0863	0.0877	-0.0042	-0.0826	-0.0790	0.1960	0.0933	0.1144	0.1109	0.0535	0.0933	0.0907	0.0420	0.0724	16.6415	0.0061	0.2145	0.9629	3.0750	0.2482	0.2526	0.2658	0.2065	0.2211	0.1671	-0.0293	-0.1259	-0.1342	0.2397	0.2702	0.2715	0.2008	0.2803	0.2965	0.1416	0.1789	0.2022	0.1538	0.4963	0.1634	0.4965	0.1616	0.5153	0.1580	0.5056	0.1616	0.4892	0.1869	0.5316
680	0.6340	0.0567	16.5821	0.0049	0.3235	0.9460	2.1174	0.1466	-0.0558	-0.0330	0.1416	-0.0427	-0.0747	0.0945	-0.0438	-0.0328	0.1530	-0.0478	-0.0658	0.0612	0.0366	0.0662	0.0123	0.0388	0.0510	16.5700	0.0052	0.2267	0.9474	2.1144	0.0919	-0.0548	-0.1377	0.1088	0.0206	-0.0982	0.0809	-0.0728	-0.0456	0.0954	0.0789	-0.0285	0.0418	0.0118	0.0421	0.0103	0.1763	0.0118	0.1671	0.5624	0.1732	0.5727	0.1437	0.4761	0.1590	0.5259	0.1650	0.5334	0.1626	0.5343
816	0.5635	0.0507	16.6139	0.0057	0.3315	0.9429	2.2124	0.1571	-0.0109	-0.0521	0.1642	0.0152	-0.0667	0.1529	0.0243	0.0385	0.1508	-0.0372	-0.0612	0.0527	0.0302	0.0548	0.0126	-0.0263	0.0382	16.6018	0.0067	0.2446	0.9417	2.1743	0.1215	0.1395	-0.0513	0.1196	0.0298	0.0110	0.1257	0.1333	0.1237	0.1053	-0.0693	-0.1096	0.0291	0.0360	-0.0439	-0.0096	0.1083	0.0864	0.1889	0.5901	0.1900	0.5963	0.1546	0.5240	0.1954	0.5903	0.1609	0.5269	0.1331	0.4541
952	0.8959	0.0565	16.5427	0.0116	0.3691	0.9652	3.6120	0.2049	-0.0004	-0.0055	0.1989	0.0115	-0.0116	0.0914	-0.0194	-0.0012	0.2075	-0.0050	0.0051	0.1052	-0.0303	0.0021	0.0741	0.0020	0.0522	16.5431	0.0119	0.2683	0.9614	3.7133	0.2131	0.1013	0.0654	0.2178	0.1263	0.0899	0.1079	0.1202	0.1035	0.2056	0.0658	0.0268	0.1474	0.1636	0.2026	0.1005	0.0579	0.1509	0.2013	0.5548	0.2113	0.5813	0.1872	0.5555	0.2000	0.5717	0.2006	0.5500	0.1835	0.5674
1088	0.7441	0.0592	16.5857	0.0072	0.3389	0.9429	3.0665	0.2612	0.1570	0.1563	0.2471	0.1483	0.1335	0.2134	0.1892	0.1935	0.2423	0.1170	0.1312	0.1754	0.0103	0.1807	0.1473	-0.0303	0.1466	16.5865	0.0047	0.2388	0.9517	3.1978	0.2328	0.2746	0.2412	0.2259	0.2443	0.1912	0.2180	0.3184	0.3061	0.2207	0.1430	0.2088	0.1494	0.0825	0.2886	0.1229	0.0811	0.1697	0.1787	0.5194	0.1641	0.5392	0.1497	0.5088	0.1593	0.5350	0.1451	0.5138	0.1662	0.5540
1224	0.6737	0.0605	16.7450	0.0131	0.2590	0.9723	5.3804	0.2622	0.1089	0.0823	0.2572	0.1263	0.0761	0.1110	0.0605	0.0607	0.2440	0.1077	0.0843	0.1034	0.0394	0.0833	0.1224	0.0277	0.1179	16.7584	0.0086	0.1898	0.9718	5.6012	0.2744	0.1697	0.1974	0.2826	0.2215	0.1917	0.0735	0.0342	0.0026	0.2676	0.2316	0.2105	0.1931	0.1430	0.2140	0.1516	0.1294	0.1311	0.2407	0.5755	0.2460	0.5890	0.1551	0.5497	0.1768	0.5319	0.1796	0.5432	0.1761	0.5520
1360	0.5838	0.0708	16.7652	0.0028	0.2124	0.9670	4.1654	0.2237	0.0227	0.0068	0.2112	0.0152	0.0152	-0.0110	-0.0803	-0.0631	0.2249	0.0292	0.0181	0.0406	-0.0444	0.0100	0.0237	-0.0537	-0.0263	16.7581	0.0045	0.1473	0.9652	4.3709	0.2281	0.0776	0.0632	0.1914	-0.0022	-0.0004	-0.0564	-0.0851	-0.0982	0.2384	0.0649	0.0368	0.0434	0.0039	0.0311	0.0115	0.0289	0.0079	0.1569	0.5192	0.1748	0.5725	0.2050	0.5642	0.1555	0.5076	0.1909	0.5629	0.1664	0.5461
