batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_token	id_variance_kendalls_tau_max_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_token	id_mutual_information_kendalls_tau_max_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_token	ood_variance_kendalls_tau_max_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_token	ood_mutual_information_kendalls_tau_max_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
381	0.0734	0.0085	6.3169	0.0357	0.5336	0.2557	3.0000	-0.0096	-0.0323	-0.0357	0.0043	-0.0685	-0.0589	0.0010	0.0416	0.0518	-0.0064	0.0028	0.0126	0.0200	0.0071	0.0043	-0.0056	0.0085	0.0189	6.3296	0.0359	0.5737	0.2277	3.0000	0.0070	-0.0012	-0.0036	-0.0021	0.0078	0.0071	-0.0018	-0.0079	-0.0157	-0.0222	0.0280	0.0283	-0.0453	-0.1087	-0.1132	0.0273	0.0099	0.0206	0.6054	0.5473	0.6563	0.6480	0.5397	0.4334	0.6516	0.5698	0.6064	0.5047	0.6037	0.4895
762	0.1386	0.0582	6.8366	0.0056	0.0653	1.0000	16.0000	0.0083	-0.0296	0.0090	-0.0007	-0.0643	0.0221	0.0012	-0.0705	-0.0141	0.0026	-0.0306	0.0141	-0.0022	-0.0208	0.0018	-0.0093	-0.0232	0.0143	6.8492	0.0059	0.0674	1.0000	16.0000	0.0068	-0.0149	0.0089	0.0003	-0.0396	0.0059	0.0008	-0.0036	0.0256	0.0078	-0.0243	-0.0022	-0.0087	-0.0376	-0.0159	-0.0025	-0.0200	0.0091	0.5966	0.4990	0.6032	0.5041	0.6019	0.5026	0.6175	0.5185	0.5791	0.4704	0.5883	0.4849
1143	0.1342	0.0599	6.8384	0.0056	0.0618	1.0000	16.0000	0.0007	-0.0445	0.0049	0.0009	-0.0371	0.0192	-0.0001	-0.0423	0.0063	0.0013	-0.0484	0.0163	-0.0100	-0.0530	0.0005	-0.0092	-0.0932	-0.0448	6.8511	0.0054	0.0645	1.0000	16.0000	0.0095	-0.0231	0.0225	0.0056	-0.0218	0.0171	-0.0031	-0.0131	0.0079	0.0079	-0.0125	0.0166	-0.0005	-0.0231	-0.0030	-0.0074	-0.0244	-0.0206	0.6002	0.4996	0.6020	0.5154	0.6016	0.5034	0.6120	0.5053	0.5888	0.4847	0.5899	0.4791
1524	0.1416	0.0607	6.8387	0.0052	0.0601	1.0000	16.0000	-0.0023	-0.0748	-0.0114	0.0064	-0.0776	-0.0391	-0.0071	-0.0450	-0.0227	0.0089	-0.0607	0.0082	-0.0091	-0.0526	-0.0148	0.0085	-0.0465	0.0052	6.8513	0.0055	0.0636	1.0000	16.0000	0.0013	-0.0380	-0.0269	0.0026	0.0036	0.0235	-0.0004	-0.0105	-0.0011	-0.0041	-0.0289	0.0167	-0.0032	-0.0204	-0.0030	-0.0013	0.0097	0.0156	0.6160	0.5178	0.5770	0.4932	0.5955	0.4936	0.6101	0.5111	0.5658	0.4589	0.5855	0.4826
1905	0.1398	0.0594	6.8387	0.0057	0.0625	1.0000	16.0000	0.0031	-0.0128	-0.0025	-0.0035	-0.0268	-0.0227	0.0083	-0.0435	0.0289	-0.0013	-0.0314	0.0284	-0.0028	-0.0547	-0.0143	0.0046	-0.0525	0.0078	6.8513	0.0059	0.0680	1.0000	16.0000	0.0021	-0.0177	-0.0082	0.0010	-0.0502	-0.0687	-0.0022	-0.0153	0.0140	-0.0031	-0.0285	0.0099	-0.0048	-0.0191	-0.0038	-0.0019	-0.0107	-0.0083	0.6076	0.5004	0.5832	0.4985	0.5883	0.4944	0.6189	0.5199	0.5769	0.4710	0.5946	0.4853
2286	0.2479	0.0411	6.8387	0.0149	0.1029	1.0000	16.0000	-0.0072	-0.0526	-0.0173	0.0018	-0.0304	0.0105	0.0119	-0.0416	0.0069	-0.0083	-0.0473	-0.0335	0.0027	-0.0756	-0.0205	0.0071	-0.0609	0.0107	6.8513	0.0146	0.1064	1.0000	16.0000	-0.0101	-0.0083	-0.0033	-0.0076	-0.0275	-0.0609	0.0002	-0.0089	0.0280	-0.0008	-0.0159	-0.0047	-0.0027	-0.0090	0.0057	-0.0035	-0.0291	-0.0179	0.6084	0.5185	0.5798	0.4920	0.5826	0.5005	0.6099	0.5304	0.5744	0.4698	0.6126	0.5026
2667	0.2721	0.0267	6.8387	0.0188	0.1145	1.0000	16.0000	0.0040	-0.0553	-0.0133	-0.0040	-0.0042	-0.0325	0.0017	0.0118	-0.0088	-0.0028	-0.0321	0.0070	-0.0044	-0.0607	-0.0148	0.0034	-0.0420	0.0197	6.8513	0.0180	0.1168	1.0000	16.0000	0.0025	-0.0200	-0.0004	-0.0013	-0.0299	-0.0538	0.0011	-0.0050	0.0390	-0.0020	-0.0124	0.0043	-0.0037	-0.0193	-0.0028	-0.0046	-0.0153	0.0293	0.5867	0.4983	0.5810	0.4943	0.5784	0.4989	0.5844	0.4974	0.5750	0.4704	0.6053	0.4959
3048	0.2721	0.0267	6.8387	0.0188	0.1152	1.0000	16.0000	0.0020	-0.0579	-0.0265	-0.0084	-0.0267	-0.0191	-0.0019	-0.0001	-0.0088	0.0010	-0.0672	-0.0297	-0.0112	-0.0798	-0.0261	-0.0008	-0.0232	0.0124	6.8513	0.0180	0.1160	1.0000	16.0000	0.0069	-0.0112	0.0287	0.0039	-0.0114	-0.0467	-0.0105	-0.0354	0.0389	-0.0011	-0.0261	-0.0114	-0.0004	-0.0298	-0.0330	-0.0059	-0.0111	0.0184	0.5792	0.4781	0.5789	0.4920	0.5784	0.4989	0.5915	0.5043	0.5726	0.4630	0.6137	0.5121
3429	0.2721	0.0267	6.8387	0.0188	0.1149	1.0000	16.0000	-0.0036	-0.0405	0.0001	-0.0003	-0.0249	-0.0219	0.0031	0.0135	-0.0089	0.0135	-0.0137	0.0594	-0.0089	-0.0652	-0.0159	-0.0066	-0.0245	0.0127	6.8513	0.0180	0.1164	1.0000	16.0000	0.0004	-0.0062	-0.0070	-0.0066	-0.0418	-0.0383	0.0037	-0.0055	0.0390	0.0095	-0.0150	0.0164	-0.0104	-0.0432	-0.0241	-0.0018	-0.0228	0.0018	0.5896	0.4951	0.5875	0.5057	0.5784	0.4989	0.5811	0.4853	0.5798	0.4709	0.6041	0.4975
3810	0.2721	0.0267	6.8387	0.0188	0.1160	1.0000	16.0000	-0.0015	-0.0356	0.0284	0.0014	-0.0381	-0.0101	0.0086	0.0163	-0.0087	0.0047	-0.0386	0.0034	-0.0069	-0.0725	-0.0329	0.0064	-0.0686	-0.0105	6.8513	0.0180	0.1168	1.0000	16.0000	-0.0016	-0.0310	-0.0275	-0.0007	-0.0033	-0.0316	-0.0027	-0.0164	0.0390	-0.0004	-0.0103	-0.0016	-0.0005	-0.0248	-0.0316	-0.0029	0.0113	0.0158	0.5906	0.5004	0.5810	0.4954	0.5784	0.4989	0.5920	0.4986	0.5831	0.4733	0.5924	0.4848
