batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap
381	0.7934	0.6488	6.1605	0.0048	0.1745	0.9731	3.8185	0.1832	-0.2260	-0.3987	0.1832	-0.2260	-0.3987	0.1832	-0.2260	-0.3987	0.1832	-0.2260	-0.3987	6.1941	0.0054	0.2039	0.9580	4.0327	0.0862	-0.1143	-0.3211	0.0862	-0.1143	-0.3211	0.0862	-0.1143	-0.3211	0.0862	-0.1143	-0.3211	0.6571	0.5887	0.6571	0.5887	0.6571	0.5887	0.6571	0.5887
762	0.8217	0.6557	6.0795	0.0055	0.2466	0.9580	3.8015	0.2638	-0.1500	-0.3521	0.2638	-0.1500	-0.3521	0.2638	-0.1500	-0.3521	0.2638	-0.1500	-0.3521	6.0979	0.0067	0.2762	0.9320	3.9259	0.1462	-0.1581	-0.3075	0.1462	-0.1581	-0.3075	0.1462	-0.1581	-0.3075	0.1462	-0.1581	-0.3075	0.6605	0.5757	0.6605	0.5757	0.6605	0.5757	0.6605	0.5757
1143	0.8102	0.6036	6.1574	0.0069	0.3008	0.9725	6.0211	0.2393	-0.1602	-0.3340	0.2393	-0.1602	-0.3340	0.2393	-0.1602	-0.3340	0.2393	-0.1602	-0.3340	6.1767	0.0078	0.3333	0.9580	6.0780	0.1062	-0.1315	-0.3309	0.1062	-0.1315	-0.3309	0.1062	-0.1315	-0.3309	0.1062	-0.1315	-0.3309	0.6740	0.5831	0.6740	0.5831	0.6740	0.5831	0.6740	0.5831
1524	0.8204	0.6611	6.0596	0.0038	0.2988	0.9497	3.3713	0.2911	-0.1049	-0.2613	0.2911	-0.1049	-0.2613	0.2911	-0.1049	-0.2613	0.2911	-0.1049	-0.2613	6.0775	0.0050	0.3468	0.9177	3.4402	0.1839	-0.0791	-0.2399	0.1839	-0.0791	-0.2399	0.1839	-0.0791	-0.2399	0.1839	-0.0791	-0.2399	0.6500	0.5684	0.6500	0.5684	0.6500	0.5684	0.6500	0.5684
1905	0.8135	0.6166	6.0826	0.0044	0.2669	0.9489	3.4228	0.2678	-0.0570	-0.2172	0.2678	-0.0570	-0.2172	0.2678	-0.0570	-0.2172	0.2678	-0.0570	-0.2172	6.1018	0.0065	0.3049	0.9222	3.4884	0.1451	-0.0333	-0.2602	0.1451	-0.0333	-0.2602	0.1451	-0.0333	-0.2602	0.1451	-0.0333	-0.2602	0.6806	0.5807	0.6806	0.5807	0.6806	0.5807	0.6806	0.5807
2286	0.8133	0.6196	6.1123	0.0047	0.2495	0.9567	3.7401	0.2624	-0.0308	-0.3161	0.2624	-0.0308	-0.3161	0.2624	-0.0308	-0.3161	0.2624	-0.0308	-0.3161	6.1302	0.0057	0.2741	0.9340	3.7101	0.1625	-0.0319	-0.2917	0.1625	-0.0319	-0.2917	0.1625	-0.0319	-0.2917	0.1625	-0.0319	-0.2917	0.6413	0.5600	0.6413	0.5600	0.6413	0.5600	0.6413	0.5600
2667	0.8255	0.6317	6.0625	0.0044	0.2916	0.9527	3.1114	0.2920	-0.0495	-0.2315	0.2920	-0.0495	-0.2315	0.2920	-0.0495	-0.2315	0.2920	-0.0495	-0.2315	6.0780	0.0063	0.3107	0.9259	3.1838	0.1800	0.0003	-0.1837	0.1800	0.0003	-0.1837	0.1800	0.0003	-0.1837	0.1800	0.0003	-0.1837	0.6414	0.5574	0.6414	0.5574	0.6414	0.5574	0.6414	0.5574
3048	0.8200	0.6198	6.0759	0.0050	0.2732	0.9488	3.1600	0.2150	-0.1007	-0.3625	0.2150	-0.1007	-0.3625	0.2150	-0.1007	-0.3625	0.2150	-0.1007	-0.3625	6.0939	0.0067	0.2977	0.9239	3.3035	0.0804	-0.0952	-0.3423	0.0804	-0.0952	-0.3423	0.0804	-0.0952	-0.3423	0.0804	-0.0952	-0.3423	0.6805	0.5986	0.6805	0.5986	0.6805	0.5986	0.6805	0.5986
3429	0.8244	0.6256	6.0476	0.0037	0.3150	0.9383	2.9141	0.2982	-0.0433	-0.1889	0.2982	-0.0433	-0.1889	0.2982	-0.0433	-0.1889	0.2982	-0.0433	-0.1889	6.0710	0.0051	0.3632	0.9051	3.0599	0.1753	-0.0283	-0.2060	0.1753	-0.0283	-0.2060	0.1753	-0.0283	-0.2060	0.1753	-0.0283	-0.2060	0.6929	0.6078	0.6929	0.6078	0.6929	0.6078	0.6929	0.6078
3810	0.8301	0.6279	6.0334	0.0031	0.3526	0.9322	3.1545	0.4116	0.0145	0.0350	0.4116	0.0145	0.0350	0.4116	0.0145	0.0350	0.4116	0.0145	0.0350	6.0477	0.0046	0.3923	0.9033	3.1972	0.3110	0.0327	0.0422	0.3110	0.0327	0.0422	0.3110	0.0327	0.0422	0.3110	0.0327	0.0422	0.6078	0.4916	0.6078	0.4916	0.6078	0.4916	0.6078	0.4916
