batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_token	id_variance_kendalls_tau_max_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_token	id_mutual_information_kendalls_tau_max_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_token	ood_variance_kendalls_tau_max_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_token	ood_mutual_information_kendalls_tau_max_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
381	0.5004	0.2364	6.4619	0.0201	0.2742	0.9876	7.7340	0.3186	0.1684	-0.0169	0.2995	0.0818	-0.1564	0.2043	0.0187	-0.1773	0.3025	0.1471	-0.0583	0.1454	-0.0079	0.0444	0.1657	-0.0209	0.0372	6.4756	0.0206	0.2704	0.9733	7.7475	0.2490	0.1583	-0.0859	0.2243	0.0664	-0.1758	0.1557	-0.0072	-0.1963	0.2373	0.1493	-0.0962	0.0835	-0.1188	-0.1160	0.1017	-0.1358	-0.1399	0.6173	0.5205	0.6267	0.5188	0.6019	0.5006	0.6231	0.5261	0.6473	0.5301	0.6627	0.5584
762	0.5958	0.3378	6.3891	0.0174	0.2688	0.9855	6.1465	0.3483	0.0984	-0.1453	0.3054	0.0046	-0.2359	0.2066	-0.0316	-0.2374	0.3383	0.0054	-0.1969	0.2075	0.0224	0.0391	0.2172	-0.0493	-0.0115	6.4144	0.0177	0.2802	0.9753	6.2771	0.2666	0.1157	-0.1655	0.2227	0.0029	-0.2512	0.1500	-0.0293	-0.2614	0.2548	0.0590	-0.1956	0.1572	0.0188	-0.0277	0.1578	-0.0360	-0.0906	0.6438	0.5684	0.6342	0.5538	0.6346	0.5496	0.6395	0.5607	0.6610	0.5785	0.6741	0.5918
1143	0.6334	0.3844	6.3095	0.0168	0.2931	0.9867	5.4401	0.3467	0.1107	-0.1802	0.3064	0.0561	-0.2401	0.2171	0.0424	-0.1602	0.3425	0.0615	-0.2117	0.2240	0.0243	0.0013	0.2231	-0.0629	-0.0798	6.3378	0.0179	0.3092	0.9745	5.6645	0.2452	0.1309	-0.2507	0.2154	0.0568	-0.2927	0.1504	0.0290	-0.2330	0.2420	0.0872	-0.2793	0.1533	0.0197	-0.0815	0.1529	-0.0384	-0.1405	0.6655	0.6019	0.6672	0.5925	0.6753	0.5915	0.6802	0.6081	0.6534	0.5687	0.6805	0.5915
1524	0.6753	0.4969	6.3500	0.0113	0.2152	0.9898	5.4295	0.2891	-0.0296	-0.3512	0.2497	-0.0402	-0.3429	0.2106	-0.0484	-0.2949	0.2709	-0.0012	-0.3402	0.2145	-0.0381	-0.1762	0.2121	-0.0898	-0.2483	6.3831	0.0116	0.2338	0.9794	5.6694	0.2108	-0.0496	-0.3413	0.1738	-0.0849	-0.3511	0.1467	-0.0824	-0.3211	0.1928	-0.0827	-0.3336	0.1560	-0.0388	-0.1741	0.1525	-0.0934	-0.2360	0.6513	0.5787	0.6459	0.5791	0.6675	0.6004	0.7197	0.6474	0.6599	0.5912	0.6750	0.6058
1905	0.7058	0.5113	6.2874	0.0138	0.2180	0.9884	4.9393	0.3321	0.0699	-0.3077	0.2862	0.0415	-0.3298	0.2085	0.0256	-0.2338	0.3187	0.0769	-0.2784	0.2109	-0.0023	-0.1947	0.2054	-0.0578	-0.2343	6.3193	0.0155	0.2660	0.9783	5.1818	0.2292	0.0772	-0.3169	0.1893	0.0120	-0.3409	0.1436	-0.0093	-0.2639	0.2015	-0.0687	-0.3034	0.1271	-0.0085	-0.2032	0.1323	-0.0455	-0.2206	0.6752	0.6073	0.6638	0.5952	0.6812	0.6083	0.7494	0.6733	0.6655	0.6032	0.6748	0.6102
2286	0.7241	0.5251	6.2719	0.0128	0.2283	0.9893	4.8128	0.3244	0.0395	-0.3240	0.2851	0.0007	-0.3541	0.2048	-0.0239	-0.2849	0.3141	0.0488	-0.2921	0.2118	-0.0441	-0.2152	0.2019	-0.0861	-0.2739	6.3074	0.0142	0.2534	0.9810	5.0941	0.2176	0.0313	-0.3393	0.1892	-0.0512	-0.3713	0.1347	-0.0673	-0.3170	0.1984	-0.1071	-0.3356	0.1265	-0.0445	-0.2293	0.1259	-0.0966	-0.2725	0.6923	0.6312	0.6884	0.6181	0.7083	0.6348	0.7616	0.6927	0.6723	0.6114	0.6844	0.6241
2667	0.7408	0.5502	6.2802	0.0124	0.1819	0.9901	4.9195	0.3161	0.0629	-0.3460	0.2747	0.0383	-0.3640	0.2070	0.0142	-0.2769	0.3103	0.0651	-0.3229	0.2010	-0.0730	-0.2863	0.1997	-0.1062	-0.3017	6.3174	0.0134	0.2476	0.9806	5.2213	0.2109	0.0164	-0.3497	0.1856	-0.0043	-0.3617	0.1452	-0.0117	-0.2796	0.2013	-0.0390	-0.3469	0.1102	-0.0787	-0.2944	0.1220	-0.0757	-0.2908	0.6934	0.6254	0.6830	0.6128	0.7025	0.6297	0.6954	0.6268	0.6767	0.6081	0.6829	0.6160
3048	0.7478	0.5574	6.2700	0.0119	0.1959	0.9899	4.7466	0.3091	0.0203	-0.3563	0.2677	-0.0103	-0.3733	0.1956	-0.0211	-0.3026	0.3040	0.0313	-0.3376	0.1988	-0.1010	-0.3130	0.1884	-0.1356	-0.3368	6.3080	0.0129	0.2309	0.9819	5.0524	0.2006	-0.0224	-0.3618	0.1713	-0.0552	-0.3797	0.1245	-0.0533	-0.3261	0.1908	-0.0818	-0.3477	0.1035	-0.0943	-0.3178	0.1037	-0.1165	-0.3287	0.6985	0.6337	0.6950	0.6216	0.7195	0.6435	0.7173	0.6418	0.6669	0.6013	0.6760	0.6131
3429	0.7513	0.5597	6.2696	0.0113	0.1732	0.9879	4.4656	0.3202	0.0460	-0.3553	0.2846	0.0243	-0.3717	0.2014	-0.0023	-0.2725	0.3168	0.0596	-0.3399	0.2002	-0.0764	-0.2959	0.1962	-0.1310	-0.3227	6.3064	0.0126	0.2277	0.9789	4.7261	0.2176	0.0155	-0.3589	0.1923	-0.0391	-0.3791	0.1357	-0.0423	-0.2944	0.2095	-0.0243	-0.3526	0.1084	-0.0929	-0.3067	0.1122	-0.1045	-0.3234	0.6906	0.6250	0.6840	0.6105	0.6917	0.6135	0.6974	0.6294	0.6642	0.5956	0.6707	0.6040
3810	0.7349	0.5325	6.2249	0.0119	0.2172	0.9849	4.2682	0.3388	0.0673	-0.2571	0.3172	0.0066	-0.3189	0.2120	-0.0359	-0.2647	0.3378	0.0662	-0.2506	0.2157	-0.0720	-0.2556	0.2015	-0.1067	-0.3093	6.2623	0.0138	0.2627	0.9749	4.6179	0.2397	0.0503	-0.2989	0.2223	-0.0707	-0.3539	0.1428	-0.0881	-0.3059	0.2333	-0.0419	-0.3094	0.1309	-0.0483	-0.2732	0.1233	-0.0801	-0.3148	0.7130	0.6534	0.7220	0.6493	0.7324	0.6559	0.7606	0.6919	0.6798	0.6191	0.6937	0.6296
