batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_token	id_variance_kendalls_tau_max_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_token	id_mutual_information_kendalls_tau_max_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_token	ood_variance_kendalls_tau_max_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_token	ood_mutual_information_kendalls_tau_max_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
381	0.1745	0.0702	6.8312	0.0099	0.1243	0.9931	15.1960	-0.1577	-0.2880	-0.3045	-0.3060	-0.2597	-0.3518	-0.2126	0.0715	-0.4122	-0.0381	-0.1292	-0.1611	0.2705	0.0275	0.3025	0.2525	-0.0260	0.2311	6.8403	0.0097	0.1199	0.9898	15.2309	-0.1872	-0.2163	-0.2939	-0.3025	-0.2042	-0.3940	-0.1664	0.0433	-0.3532	-0.0725	-0.1161	-0.1829	0.2662	0.0481	0.3143	0.2670	0.0206	0.2737	0.6804	0.5751	0.6664	0.5724	0.5997	0.5167	0.6062	0.5081	0.5084	0.3899	0.5546	0.4540
762	0.1783	0.0691	6.8294	0.0121	0.1401	0.9945	15.0586	-0.0551	-0.1842	-0.1389	-0.2017	-0.2235	-0.2378	-0.2555	0.0206	-0.3711	0.0308	0.0023	-0.0329	0.1909	-0.0267	0.1818	0.2036	0.0036	0.2126	6.8389	0.0109	0.1272	0.9916	15.0942	-0.1090	-0.1837	-0.2370	-0.2324	-0.1943	-0.2839	-0.2034	0.0693	-0.2949	-0.0177	-0.0030	-0.0830	0.2378	0.0637	0.2645	0.2256	0.0498	0.2690	0.7050	0.6337	0.7069	0.6246	0.5955	0.5139	0.6165	0.5080	0.5164	0.3769	0.5907	0.4555
1143	0.1780	0.0637	6.8284	0.0120	0.1235	0.9910	15.0149	-0.0600	-0.1484	-0.0932	-0.1517	-0.2233	-0.1918	-0.2687	0.0009	-0.3776	0.0052	-0.1563	-0.0824	0.1736	-0.0122	0.1466	0.1892	0.0512	0.2035	6.8379	0.0102	0.1175	0.9869	15.0388	-0.0843	-0.0855	-0.1729	-0.1737	-0.1227	-0.1750	-0.2121	0.0632	-0.3359	-0.0106	-0.0863	-0.0368	0.1862	0.0224	0.1527	0.1969	0.0454	0.2022	0.6853	0.5989	0.6869	0.6160	0.5982	0.5206	0.6757	0.5975	0.5657	0.4656	0.6038	0.5241
1524	0.2250	0.0799	6.8278	0.0114	0.1375	0.9911	15.0248	-0.0195	-0.1830	-0.0708	-0.1218	-0.2241	-0.0876	-0.2549	-0.0059	-0.3611	0.0522	-0.0698	0.0432	0.1812	0.0510	0.2113	0.1937	0.0789	0.2083	6.8373	0.0104	0.1340	0.9869	15.0322	-0.0242	-0.1081	-0.1026	-0.1468	-0.1582	-0.1544	-0.2000	0.0811	-0.3073	-0.0006	-0.0942	-0.0769	0.1911	0.0711	0.1961	0.1717	0.0291	0.1600	0.7300	0.6574	0.6754	0.6282	0.5823	0.5011	0.5571	0.4695	0.5689	0.4246	0.6293	0.5346
1905	0.2078	0.0746	6.8270	0.0118	0.1193	0.9932	15.0111	0.0374	-0.1202	0.0341	-0.1124	-0.2443	-0.1228	-0.2694	-0.0185	-0.3695	0.0931	-0.0752	0.0605	0.1924	-0.0099	0.1320	0.1371	-0.0584	0.0950	6.8366	0.0107	0.1208	0.9880	15.0195	0.0024	-0.1379	-0.0766	-0.1295	-0.1864	-0.1256	-0.2063	0.0395	-0.3163	0.0314	-0.1068	-0.0213	0.1890	0.0163	0.1388	0.1726	0.0457	0.1556	0.6449	0.5754	0.7121	0.6366	0.5955	0.5197	0.5485	0.4495	0.6487	0.5295	0.4776	0.3475
2286	0.2184	0.0747	6.8266	0.0112	0.1252	0.9894	15.0130	0.0775	-0.1258	0.0690	-0.0999	-0.2284	-0.1294	-0.2860	-0.0475	-0.4019	0.1206	0.0040	0.0786	0.2124	0.0617	0.2182	0.1583	-0.0619	0.0582	6.8360	0.0110	0.1295	0.9865	15.0221	-0.0079	-0.1154	-0.1126	-0.1352	-0.1841	-0.1443	-0.2245	-0.0373	-0.3385	0.0705	-0.0223	0.0166	0.1716	-0.0151	0.1163	0.1782	0.0470	0.1568	0.6718	0.5888	0.7228	0.6544	0.6080	0.5238	0.5037	0.3770	0.5415	0.4483	0.5156	0.4074
2667	0.2078	0.0749	6.8258	0.0104	0.1331	0.9912	15.0093	0.0350	-0.1680	0.0101	-0.0961	-0.2325	-0.0678	-0.2689	0.0009	-0.3618	0.0797	-0.0177	0.0263	0.1938	0.0022	0.1262	0.1648	-0.0281	0.1151	6.8354	0.0101	0.1409	0.9879	15.0213	-0.0093	-0.1675	-0.0694	-0.0948	-0.1679	-0.0712	-0.2066	0.0486	-0.2912	0.0551	-0.0103	0.0168	0.1912	0.0534	0.1725	0.1671	-0.0049	0.1407	0.6368	0.5356	0.6018	0.5316	0.5887	0.5075	0.5291	0.4250	0.5241	0.4068	0.5303	0.4076
3048	0.2283	0.0816	6.8254	0.0110	0.1327	0.9907	15.0072	0.0631	-0.0941	0.0266	-0.0974	-0.2233	-0.0426	-0.2726	0.0150	-0.3647	0.0326	-0.0600	-0.0201	0.2126	-0.0247	0.1212	0.1851	-0.0661	0.0791	6.8345	0.0097	0.1242	0.9861	15.0226	0.0270	-0.1290	0.0340	-0.1476	-0.2165	-0.1295	-0.2056	0.0640	-0.2857	-0.0199	-0.0765	-0.0201	0.1983	0.0217	0.1793	0.1953	0.0057	0.1623	0.6520	0.5952	0.6641	0.6189	0.5718	0.4891	0.5388	0.4313	0.5353	0.4351	0.5125	0.3980
3429	0.1933	0.0875	6.8248	0.0117	0.1367	0.9911	15.0055	0.0801	-0.1515	0.0238	-0.1032	-0.2549	-0.0578	-0.2693	-0.0480	-0.3712	0.0424	-0.1053	-0.0277	0.2005	-0.0003	0.1350	0.1805	-0.0217	0.1088	6.8342	0.0093	0.1127	0.9867	15.0174	0.0185	-0.1675	-0.0685	-0.1154	-0.1763	-0.0341	-0.2050	0.0051	-0.3176	0.0208	-0.1067	-0.0194	0.2284	0.0490	0.1772	0.2116	0.0351	0.1638	0.6365	0.5413	0.6103	0.5698	0.5931	0.5106	0.5898	0.4822	0.5472	0.4621	0.6073	0.5638
3810	0.1802	0.0731	6.8239	0.0104	0.1356	0.9904	15.0048	0.0571	-0.1400	-0.0241	-0.1019	-0.2449	-0.0970	-0.2579	0.0054	-0.3413	0.0128	-0.0554	-0.0225	0.1794	-0.0690	0.0719	0.1440	-0.0514	0.0983	6.8340	0.0101	0.1320	0.9884	15.0235	-0.0042	-0.1720	-0.0509	-0.0889	-0.1911	-0.0562	-0.1888	0.0862	-0.2673	0.0388	-0.0032	0.0817	0.1784	-0.0048	0.1462	0.1675	0.0370	0.1652	0.6587	0.5597	0.6537	0.5926	0.5665	0.4798	0.5474	0.4360	0.4834	0.3414	0.5534	0.4195
