batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_token	id_variance_kendalls_tau_max_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_token	id_mutual_information_kendalls_tau_max_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_token	ood_variance_kendalls_tau_max_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_token	ood_mutual_information_kendalls_tau_max_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
381	0.1182	0.0410	6.0230	0.0123	0.7835	0.1860	1.7886	-0.0023	0.0044	0.0166	0.0006	0.0283	0.0535	-0.0017	0.0252	0.0553	0.0003	0.0183	0.0521	-0.0029	-0.0103	0.0239	0.0035	0.0105	0.0553	6.0316	0.0118	0.8152	0.1931	1.7675	-0.0042	0.0160	0.0203	-0.0082	0.0143	0.0076	0.0019	0.0101	0.0264	-0.0051	0.0109	0.0140	0.0032	0.0050	0.0487	0.0055	0.0229	0.0483	0.5887	0.4896	0.5800	0.4878	0.5800	0.4979	0.5828	0.4698	0.5895	0.4976	0.6025	0.5141
762	0.1930	0.0470	6.0511	0.0139	0.7496	0.3163	1.7599	-0.0088	0.0206	0.0160	-0.0046	0.0140	0.0137	-0.0049	-0.0016	-0.0064	-0.0239	-0.0369	-0.0555	-0.0245	-0.0195	-0.0175	-0.0112	-0.0226	-0.0251	6.0612	0.0141	0.7744	0.3233	1.7354	-0.0064	0.0104	0.0206	-0.0084	0.0090	0.0103	-0.0063	-0.0036	-0.0162	-0.0108	-0.0018	-0.0044	-0.0128	0.0149	0.0034	-0.0116	0.0023	0.0018	0.5727	0.4899	0.5720	0.4808	0.5670	0.4809	0.5697	0.4875	0.5772	0.4966	0.5819	0.5038
1143	0.1050	0.0466	6.1780	0.0237	0.6148	0.2302	3.0133	0.0054	0.0527	-0.0113	0.0151	0.0532	0.0006	0.0066	0.0508	0.0053	0.0170	0.0531	0.0131	0.0212	0.0097	0.0252	0.0198	0.0385	0.0457	6.1960	0.0245	0.6353	0.2213	3.0378	0.0232	0.0680	0.0155	0.0141	0.0730	0.0214	0.0191	0.0645	0.0457	0.0227	0.0836	0.0346	0.0152	0.0373	0.0266	0.0144	0.0436	0.0259	0.5591	0.4614	0.5707	0.4781	0.5436	0.4532	0.5653	0.4693	0.5533	0.4440	0.5560	0.4570
1524	0.1125	0.0420	6.0828	0.0174	0.7433	0.2202	2.1762	-0.0087	-0.0026	0.0020	-0.0075	-0.0232	-0.0124	-0.0080	-0.0071	0.0021	-0.0053	-0.0258	-0.0067	-0.0083	-0.0463	-0.0165	-0.0175	-0.0334	-0.0219	6.0962	0.0177	0.7459	0.2115	2.1771	-0.0040	-0.0027	-0.0051	-0.0153	-0.0275	-0.0300	-0.0189	-0.0378	-0.0352	-0.0071	-0.0018	0.0111	-0.0137	-0.0520	-0.0195	-0.0140	-0.0132	-0.0075	0.5771	0.4903	0.5788	0.4944	0.5783	0.4999	0.5765	0.4812	0.5807	0.4902	0.5918	0.5010
1905	0.1083	0.0504	6.0868	0.0176	0.7150	0.2203	2.1978	-0.0017	-0.0375	-0.0381	-0.0004	-0.0116	0.0160	0.0088	0.0167	0.0448	-0.0034	-0.0484	-0.0134	-0.0141	-0.0352	-0.0064	-0.0061	-0.0556	-0.0502	6.0977	0.0179	0.7532	0.2146	2.1868	0.0016	-0.0177	0.0039	0.0005	-0.0453	-0.0237	-0.0014	-0.0011	0.0047	0.0027	-0.0215	-0.0161	-0.0119	-0.0378	-0.0389	-0.0039	-0.0043	0.0005	0.5865	0.4924	0.6073	0.5225	0.5846	0.5044	0.5967	0.4977	0.6040	0.5164	0.5990	0.5030
2286	0.1299	0.0299	6.0050	0.0108	0.7897	0.1808	1.5612	-0.0071	-0.0043	-0.0083	0.0037	-0.0052	0.0010	0.0091	-0.0012	0.0014	0.0062	0.0095	0.0115	-0.0088	-0.0308	-0.0318	0.0145	0.0213	0.0304	6.0165	0.0105	0.8266	0.1957	1.5634	-0.0043	0.0261	0.0101	0.0128	0.0356	0.0323	0.0108	0.0360	0.0300	0.0050	0.0071	0.0001	-0.0131	-0.0050	-0.0104	0.0035	0.0153	0.0122	0.5927	0.5166	0.5841	0.4972	0.5847	0.5064	0.5806	0.4876	0.5929	0.5064	0.5966	0.5088
2667	0.1861	0.0352	6.0343	0.0129	0.7752	0.2726	1.8043	0.0044	0.0050	0.0118	0.0101	0.0206	0.0352	0.0195	0.0308	0.0408	0.0159	0.0117	0.0157	-0.0028	-0.0209	-0.0064	0.0072	-0.0079	0.0092	6.0596	0.0137	0.7716	0.2548	1.8861	-0.0110	-0.0189	-0.0202	0.0108	0.0257	0.0272	0.0173	-0.0016	0.0007	0.0042	-0.0076	-0.0031	-0.0044	-0.0001	-0.0035	0.0128	0.0308	0.0394	0.5828	0.4949	0.5947	0.5133	0.5761	0.4829	0.5851	0.4931	0.5724	0.4915	0.5737	0.4891
3048	0.1013	0.0338	6.1274	0.0226	0.6644	0.2159	2.4587	0.0559	0.0510	0.0519	0.0358	0.0128	0.0181	0.0597	0.0611	0.0618	0.0402	0.0110	0.0299	0.0056	0.0099	0.0183	0.0107	0.0089	-0.0097	6.1471	0.0227	0.6924	0.1993	2.5050	0.0408	0.0188	0.0191	0.0480	0.0326	0.0284	0.0744	0.0607	0.0587	0.0380	0.0213	0.0160	0.0223	0.0095	0.0080	0.0364	0.0393	0.0299	0.6001	0.5289	0.6202	0.5480	0.6432	0.5853	0.6144	0.5428	0.6014	0.5293	0.6135	0.5367
3429	0.0626	0.0289	6.0507	0.0164	0.7427	0.1149	1.8599	0.0138	-0.0077	0.0006	0.0011	-0.0032	0.0046	-0.0073	-0.0570	-0.0504	-0.0023	-0.0142	-0.0069	0.0026	-0.0253	-0.0079	-0.0050	0.0010	0.0070	6.0569	0.0159	0.7818	0.0996	1.8491	-0.0001	-0.0136	-0.0081	0.0045	0.0162	0.0208	-0.0079	-0.0310	-0.0257	-0.0018	0.0218	0.0242	-0.0061	0.0084	0.0070	-0.0028	-0.0056	0.0070	0.5940	0.5203	0.5830	0.5103	0.5981	0.5117	0.5897	0.5146	0.5874	0.5123	0.5823	0.5050
3810	0.0836	0.0260	6.2450	0.0307	0.5552	0.2875	3.1034	-0.0032	0.0013	0.0067	0.0017	0.0216	0.0229	0.0003	-0.0088	-0.0061	0.0012	0.0312	0.0282	0.0026	0.0351	0.0391	0.0051	0.0245	0.0287	6.2489	0.0313	0.6011	0.2943	3.1001	-0.0019	-0.0128	-0.0068	-0.0095	-0.0313	-0.0266	-0.0068	-0.0253	-0.0225	-0.0015	-0.0207	-0.0173	-0.0021	0.0045	0.0154	-0.0006	-0.0202	-0.0099	0.5815	0.4993	0.5871	0.5061	0.5920	0.5222	0.5754	0.4875	0.5641	0.4814	0.5709	0.4945
