batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_token	id_variance_kendalls_tau_max_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_token	id_mutual_information_kendalls_tau_max_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_token	ood_variance_kendalls_tau_max_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_token	ood_mutual_information_kendalls_tau_max_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
381	0.5035	0.2358	6.4377	0.0192	0.3008	0.9799	7.1137	0.2751	0.1712	0.0046	0.2570	0.1031	-0.1021	0.1975	0.0686	-0.0496	0.2652	0.1917	-0.0073	0.1672	-0.0484	0.0171	0.1891	-0.0276	0.0997	6.4565	0.0196	0.3370	0.9675	7.1633	0.2347	0.1564	-0.0318	0.2162	0.0805	-0.1185	0.1566	0.0435	-0.1391	0.2213	0.1157	-0.0599	0.1201	-0.1335	-0.1067	0.1408	-0.0742	-0.0360	0.6320	0.5326	0.6383	0.5322	0.6633	0.5670	0.6520	0.5529	0.6557	0.5284	0.6504	0.5482
762	0.5784	0.3258	6.3894	0.0155	0.2502	0.9815	5.9112	0.2954	0.0676	-0.2030	0.2701	0.0275	-0.2402	0.2118	0.0046	-0.1439	0.2734	-0.0086	-0.2443	0.2236	0.0195	0.1333	0.2376	0.0062	0.1098	6.4204	0.0152	0.2707	0.9708	6.1626	0.2354	0.0333	-0.1886	0.2126	-0.0159	-0.2372	0.1620	-0.0344	-0.1869	0.2162	-0.0032	-0.2158	0.1705	-0.0682	-0.0552	0.1771	-0.0613	-0.0536	0.6542	0.5842	0.6658	0.5852	0.7023	0.6293	0.6477	0.5763	0.6419	0.5405	0.6678	0.5719
1143	0.6262	0.4055	6.3400	0.0125	0.2423	0.9799	5.1970	0.2957	0.0073	-0.2645	0.2703	-0.0096	-0.2792	0.2244	-0.0221	-0.1750	0.2672	0.0227	-0.2320	0.2362	0.0533	0.0880	0.2407	0.0314	0.0465	6.3719	0.0124	0.2664	0.9706	5.4292	0.2162	-0.0120	-0.2536	0.2023	-0.0432	-0.2792	0.1690	-0.0570	-0.2062	0.1928	-0.0169	-0.2498	0.1750	-0.0311	-0.0551	0.1831	-0.0353	-0.0613	0.6491	0.5875	0.6540	0.5852	0.6896	0.6172	0.6646	0.6114	0.6280	0.5495	0.6605	0.5784
1524	0.6629	0.4594	6.2939	0.0107	0.2280	0.9779	4.6313	0.2997	0.0099	-0.2846	0.2797	-0.0128	-0.2878	0.2305	-0.0176	-0.1652	0.2784	-0.0039	-0.2599	0.2377	0.0369	0.0307	0.2436	0.0496	0.0406	6.3281	0.0117	0.2699	0.9701	4.9113	0.2147	-0.0012	-0.2859	0.2065	-0.0338	-0.2901	0.1757	-0.0583	-0.1808	0.1911	-0.0600	-0.2934	0.1778	0.0263	-0.0351	0.1905	0.0172	-0.0378	0.6569	0.5989	0.6605	0.5987	0.6918	0.6195	0.6985	0.6485	0.6310	0.5620	0.6491	0.5749
1905	0.6935	0.4970	6.2586	0.0112	0.2129	0.9763	4.1109	0.3127	0.0540	-0.2711	0.2908	0.0439	-0.2769	0.2414	0.0305	-0.0880	0.3051	0.0591	-0.2629	0.2436	0.0568	0.0196	0.2430	0.0810	0.0453	6.2914	0.0123	0.2635	0.9622	4.3207	0.2224	0.0431	-0.2504	0.2124	0.0191	-0.2562	0.1876	0.0020	-0.0991	0.2063	-0.0298	-0.2591	0.1732	0.0661	-0.0170	0.1826	0.0599	-0.0087	0.6548	0.5940	0.6482	0.5874	0.6597	0.5876	0.7156	0.6377	0.6167	0.5481	0.6192	0.5447
2286	0.7022	0.5143	6.2369	0.0110	0.2109	0.9746	3.9585	0.3101	0.0205	-0.2770	0.2874	0.0265	-0.2837	0.2451	0.0413	-0.0842	0.3028	0.0164	-0.2658	0.2409	0.0460	-0.0417	0.2394	0.0451	-0.0246	6.2686	0.0117	0.2626	0.9624	4.1911	0.2088	0.0301	-0.2832	0.2029	0.0080	-0.2786	0.1866	-0.0037	-0.1001	0.2001	-0.0129	-0.2787	0.1663	0.0330	-0.0971	0.1741	0.0532	-0.0643	0.6584	0.5985	0.6556	0.5927	0.6673	0.5898	0.6962	0.6207	0.6392	0.5676	0.6375	0.5672
2667	0.7185	0.5269	6.2302	0.0095	0.2147	0.9764	3.7793	0.3053	-0.0105	-0.3097	0.2826	0.0083	-0.3156	0.2329	0.0008	-0.1384	0.2973	-0.0125	-0.2966	0.2442	0.0459	-0.0574	0.2361	0.0750	-0.0437	6.2644	0.0107	0.2621	0.9638	4.0323	0.1979	0.0045	-0.3113	0.1934	0.0075	-0.3218	0.1639	-0.0287	-0.1716	0.1849	-0.0628	-0.3116	0.1623	0.0393	-0.0742	0.1702	0.0248	-0.0871	0.6730	0.6118	0.6765	0.6126	0.6876	0.6177	0.7166	0.6451	0.6428	0.5698	0.6498	0.5807
3048	0.7266	0.5316	6.2194	0.0091	0.2214	0.9721	3.4587	0.3065	0.0069	-0.3112	0.2831	0.0054	-0.3196	0.2203	0.0045	-0.1391	0.3033	0.0049	-0.3109	0.2433	0.0534	-0.0721	0.2372	0.0663	-0.0531	6.2519	0.0106	0.2629	0.9579	3.6933	0.2055	-0.0282	-0.3168	0.1925	-0.0444	-0.3286	0.1534	-0.0524	-0.1831	0.2001	-0.0523	-0.3261	0.1641	0.0621	-0.0727	0.1695	0.0634	-0.0659	0.6668	0.5992	0.6749	0.6057	0.6996	0.6214	0.6867	0.6109	0.6322	0.5597	0.6462	0.5760
3429	0.7234	0.5382	6.2083	0.0105	0.2256	0.9705	3.4306	0.3204	0.0438	-0.2512	0.2991	0.0701	-0.2735	0.2430	0.0677	-0.0324	0.3168	0.0449	-0.2493	0.2567	0.1089	0.0239	0.2404	0.1257	0.0304	6.2406	0.0120	0.2712	0.9549	3.6331	0.2142	0.0473	-0.2759	0.2086	0.0468	-0.2894	0.1825	0.0275	-0.0725	0.2069	0.0110	-0.2909	0.1702	0.0825	-0.0286	0.1772	0.1120	0.0117	0.6654	0.6043	0.6682	0.6057	0.6665	0.5936	0.6989	0.6250	0.6156	0.5494	0.6093	0.5434
3810	0.7338	0.5312	6.1921	0.0101	0.2236	0.9716	3.3586	0.3247	0.0340	-0.2540	0.3039	0.0187	-0.2830	0.2321	0.0028	-0.1067	0.3207	0.0328	-0.2516	0.2641	0.0725	0.0090	0.2542	0.0774	0.0173	6.2262	0.0121	0.2747	0.9547	3.6078	0.2187	0.0192	-0.2891	0.2094	-0.0152	-0.3200	0.1626	-0.0448	-0.1847	0.2095	-0.0221	-0.2938	0.1835	0.0832	-0.0176	0.1831	0.0878	-0.0130	0.6907	0.6287	0.7014	0.6320	0.7191	0.6454	0.7305	0.6537	0.6185	0.5533	0.6467	0.5853
