batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
425	0.0000	0.0000	77.9564	0.0001	0.0019	0.9801	144.0000	-0.0582	-0.0184	0.0925	-0.0079	-0.1015	0.0343	79.9933	0.0000	0.0000	1.0000	144.0000	0.0157	0.0841	-0.0732	-0.1511	0.0376	-0.1226	0.2861	0.6198	0.2091	0.4688	0.2960	0.6124	0.2417	0.5362	0.2241	0.5372	0.2231	0.5086
850	0.0034	0.0014	77.9564	0.0001	0.0070	0.9864	144.0000	-0.0098	-0.0313	-0.0458	0.0106	0.0523	0.0111	79.9933	0.0000	0.0000	1.0000	144.0000	0.3142	0.0721	0.0579	0.1656	-0.1263	-0.0717	0.1691	0.3795	0.2403	0.5471	0.2157	0.5345	0.2237	0.5077	0.2640	0.5769	0.2086	0.4677
1275	0.0060	0.0016	77.9564	0.0001	0.0069	0.9773	144.0000	0.0440	-0.0311	-0.0125	-0.0181	0.0092	-0.0021	79.9933	0.0000	0.0000	0.9980	144.0000	0.0393	0.0039	0.0541	0.1044	-0.0649	-0.0240	0.1976	0.4716	0.2261	0.5210	0.2178	0.5345	0.1997	0.4675	0.1869	0.4365	0.2130	0.4756
1700	0.0080	0.0027	77.9564	0.0001	0.0057	0.9798	144.0000	-0.0180	-0.0286	-0.0101	-0.0530	-0.0588	-0.0373	79.9933	0.0000	0.0000	1.0000	144.0000	0.0461	0.0635	-0.0262	0.0873	-0.0535	-0.0690	0.1826	0.3963	0.2120	0.4828	0.2017	0.4811	0.2088	0.4651	0.1822	0.4271	0.2003	0.4452
2125	0.0074	0.0019	77.9564	0.0002	0.0157	0.9790	144.0000	0.0162	0.0035	0.0164	0.0009	-0.0941	-0.0217	79.9933	0.0000	0.0000	1.0000	144.0000	0.0666	-0.0077	-0.0162	0.0010	-0.0274	-0.0519	0.1778	0.4221	0.2065	0.4614	0.1840	0.4092	0.1940	0.4429	0.1882	0.4296	0.2082	0.4723
2550	0.0125	0.0052	77.9564	0.0001	0.0069	0.9798	144.0000	-0.0082	0.0301	0.0005	-0.0343	-0.0423	-0.0575	79.9933	0.0000	0.0000	0.9929	144.0000	0.0706	0.0444	0.0336	0.0512	0.0025	0.0561	0.1919	0.4408	0.2028	0.4516	0.2268	0.5335	0.2327	0.5258	0.2132	0.5000	0.1940	0.4326
2975	0.0153	0.0085	77.9564	0.0001	0.0090	0.9832	144.0000	-0.0423	0.0909	-0.0061	-0.0783	0.0243	-0.0299	79.9933	0.0000	0.0000	0.9990	144.0000	-0.0212	-0.0174	0.0494	-0.0087	-0.0024	-0.1108	0.2093	0.4454	0.2317	0.5417	0.1996	0.4550	0.2050	0.4693	0.1883	0.4574	0.1805	0.3867
3400	0.0205	0.0087	77.9564	0.0001	0.0057	0.9901	144.0000	0.0391	0.0622	-0.0225	-0.0433	0.0519	-0.0333	79.9933	0.0000	0.0000	0.9819	144.0000	0.0772	0.0428	-0.0478	-0.0043	0.0146	-0.0218	0.1912	0.4328	0.2739	0.6049	0.2063	0.5022	0.1868	0.4193	0.1697	0.3895	0.1954	0.4532
3825	0.0034	0.0024	77.9564	0.0002	0.0126	0.9875	144.0000	-0.0257	0.0088	0.0362	0.0403	0.0026	0.0019	79.9933	0.0000	0.0000	0.9778	144.0000	-0.0443	-0.0363	0.0920	0.0912	0.0124	-0.0301	0.2164	0.5002	0.1900	0.4191	0.1941	0.4425	0.2134	0.4974	0.2017	0.4952	0.1826	0.4187
4250	0.0068	0.0049	77.9564	0.0001	0.0090	0.9912	144.0000	-0.0823	0.0272	-0.0095	-0.0252	-0.0110	-0.0409	79.9933	0.0000	0.0000	0.9788	144.0000	-0.0236	0.0621	-0.0313	0.0079	-0.0328	0.0498	0.2074	0.4763	0.2164	0.4688	0.1856	0.4322	0.1909	0.4237	0.2083	0.5018	0.1842	0.4279
4675	0.0134	0.0073	77.9563	0.0001	0.0084	0.9784	144.0000	-0.0544	0.0269	-0.0033	0.0242	0.0039	-0.0110	79.9933	0.0000	0.0000	0.9839	144.0000	-0.0499	-0.0370	0.0485	-0.0472	0.0621	0.0430	0.2281	0.4885	0.2854	0.6181	0.2540	0.5614	0.2197	0.5193	0.1840	0.4298	0.1909	0.4384
5100	0.0088	0.0054	77.9563	0.0001	0.0074	0.9778	144.0000	-0.0333	-0.0511	-0.0118	0.0329	0.0092	-0.0354	79.9933	0.0000	0.0000	0.9808	144.0000	0.0356	-0.0011	-0.0039	-0.0791	-0.0174	0.0165	0.2017	0.4763	0.1884	0.4286	0.2350	0.5518	0.1959	0.4442	0.1925	0.4505	0.1907	0.4484
5525	0.0077	0.0049	77.9563	0.0001	0.0095	0.9585	144.0000	-0.0317	0.0312	0.0092	0.0293	-0.0800	-0.0948	79.9932	0.0000	0.0001	0.9556	144.0000	-0.0213	-0.0499	-0.0406	-0.0014	0.0198	-0.0148	0.2437	0.5382	0.2827	0.5606	0.1967	0.4560	0.2135	0.4645	0.1756	0.4116	0.2290	0.5461
5950	0.0145	0.0117	77.9563	0.0001	0.0073	0.9642	144.0000	-0.0681	-0.0062	-0.0080	0.0080	-0.0738	-0.0609	79.9932	0.0000	0.0000	0.9748	144.0000	0.0144	-0.0159	-0.0274	0.0398	-0.0171	0.0191	0.2237	0.5077	0.2955	0.6418	0.1988	0.4727	0.1826	0.3974	0.1813	0.4310	0.1778	0.4167
6375	0.0187	0.0137	77.9562	0.0001	0.0055	0.9548	144.0000	-0.0137	0.0300	-0.0071	-0.0125	-0.0450	-0.0410	79.9932	0.0000	0.0000	0.9526	144.0000	-0.0785	-0.0117	0.0380	-0.0008	0.0460	-0.0258	0.2188	0.5226	0.2420	0.5543	0.2146	0.5156	0.2000	0.4486	0.1908	0.4543	0.1840	0.4346
