batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap
425	0.0102	0.0003	77.9564	0.0001	0.0128	0.9466	144.0000	-0.0285	0.0135	-0.0300	-0.0420	79.9933	0.0000	0.0000	0.2833	144.0000	0.0044	-0.1187	-0.1291	-0.0078	0.1813	0.4311	0.2400	0.5418	0.1940	0.4548	0.1859	0.4405
850	0.0193	0.0053	77.9562	0.0002	0.0096	0.9418	144.0000	0.0827	0.0859	0.0966	0.1052	79.9931	0.0000	0.0000	0.2853	144.0000	-0.5495	-0.5452	-0.5241	-0.0559	0.2377	0.5549	0.2382	0.5477	0.2368	0.5455	0.2326	0.5311
1275	0.1747	0.1088	77.9546	0.0012	0.0844	1.0000	144.0000	0.2220	0.2868	0.2188	0.1654	79.9920	0.0001	0.0001	1.0000	144.0000	-0.6513	-0.8088	-0.6182	-0.4510	0.3505	0.6670	0.4116	0.7375	0.4326	0.7715	0.3183	0.6360
1700	0.4310	0.3282	77.9520	0.0028	0.2281	1.0000	144.0000	0.4559	0.4503	0.3846	0.4508	79.9905	0.0001	0.0001	1.0000	144.0000	-0.7667	-0.8288	-0.6471	-0.6001	0.3764	0.6880	0.4245	0.7375	0.4458	0.7732	0.3730	0.6920
2125	0.5597	0.4382	77.9498	0.0036	0.3060	1.0000	144.0000	0.5365	0.5331	0.4612	0.5159	79.9893	0.0001	0.0001	1.0000	144.0000	-0.7466	-0.7937	-0.6111	-0.6102	0.4045	0.7429	0.4461	0.7738	0.4770	0.8019	0.4090	0.7441
2550	0.6560	0.5208	77.9489	0.0043	0.3669	1.0000	144.0000	0.6787	0.6746	0.5732	0.6566	79.9890	0.0001	0.0001	1.0000	144.0000	-0.7852	-0.8356	-0.7076	-0.6769	0.4732	0.7785	0.5057	0.8040	0.5214	0.8251	0.4596	0.7772
2975	0.4554	0.3671	77.9500	0.0030	0.2479	1.0000	144.0000	0.3472	0.3560	0.3412	0.3369	79.9887	0.0001	0.0001	1.0000	144.0000	-0.8437	-0.8817	-0.7300	-0.7354	0.3331	0.6650	0.3630	0.6957	0.4068	0.7336	0.3317	0.6656
3400	0.6955	0.5371	77.9480	0.0045	0.3926	1.0000	144.0000	0.7204	0.7162	0.6183	0.7026	79.9883	0.0001	0.0001	1.0000	144.0000	-0.8203	-0.8550	-0.7185	-0.7251	0.4845	0.7963	0.5202	0.8171	0.5539	0.8378	0.4734	0.7982
3825	0.6994	0.5552	77.9480	0.0045	0.3928	1.0000	144.0000	0.7111	0.7079	0.6217	0.6943	79.9884	0.0001	0.0001	1.0000	144.0000	-0.7980	-0.8351	-0.6907	-0.6983	0.4814	0.8071	0.5166	0.8248	0.5401	0.8366	0.4771	0.8108
4250	0.6645	0.5495	77.9483	0.0043	0.3406	1.0000	144.0000	0.6837	0.6815	0.6027	0.6724	79.9887	0.0001	0.0001	1.0000	144.0000	-0.8189	-0.8232	-0.6731	-0.7275	0.4776	0.8010	0.5248	0.8267	0.5508	0.8446	0.4417	0.7946
4675	0.7111	0.5703	77.9476	0.0046	0.3993	0.9994	144.0000	0.7341	0.7326	0.6484	0.7176	79.9880	0.0001	0.0001	1.0000	144.0000	-0.8320	-0.8611	-0.7195	-0.7471	0.5028	0.8077	0.5439	0.8252	0.5649	0.8395	0.4751	0.8033
5100	0.6966	0.5646	77.9483	0.0045	0.3834	1.0000	144.0000	0.6929	0.6874	0.5971	0.6802	79.9884	0.0001	0.0001	1.0000	144.0000	-0.7814	-0.8162	-0.6731	-0.7087	0.4360	0.7850	0.4451	0.7964	0.4230	0.7879	0.4263	0.7811
5525	0.6739	0.5547	77.9480	0.0044	0.3735	0.9997	144.0000	0.6278	0.6229	0.5289	0.6164	79.9877	0.0001	0.0001	1.0000	144.0000	-0.8331	-0.8532	-0.7297	-0.7738	0.4469	0.7435	0.4725	0.7605	0.4809	0.7690	0.4448	0.7463
5950	0.6656	0.5429	77.9482	0.0043	0.3794	0.9997	144.0000	0.6701	0.6673	0.6021	0.6554	79.9881	0.0001	0.0001	1.0000	144.0000	-0.8571	-0.8815	-0.7481	-0.7869	0.4402	0.7642	0.4710	0.7866	0.4900	0.8073	0.4183	0.7614
