batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
425	0.0051	0.0038	77.9004	0.0004	0.0504	0.7409	111.8608	0.0029	0.0029	0.0116	0.0124	-0.0036	-0.0031	79.9375	0.0003	0.0003	0.8085	111.8750	-0.0033	-0.0367	-0.0013	-0.0073	0.0177	-0.0074	0.2090	0.4854	0.2314	0.5141	0.2268	0.5048	0.2194	0.4911	0.2342	0.5198	0.2204	0.5008
850	0.0077	0.0063	77.9003	0.0004	0.0494	0.7455	111.7952	-0.0282	-0.0017	0.0022	-0.0139	-0.0138	-0.0090	79.9381	0.0004	0.0004	0.8085	111.9183	0.0240	0.0079	0.0043	0.0068	-0.0353	-0.0149	0.2207	0.4968	0.2258	0.4945	0.2213	0.5029	0.2111	0.4801	0.2267	0.5033	0.2258	0.5155
1275	0.0085	0.0072	77.9002	0.0004	0.0495	0.7358	111.9807	-0.0230	-0.0008	-0.0019	-0.0125	0.0112	0.0072	79.9375	0.0003	0.0003	0.8226	112.0504	-0.0060	-0.0220	0.0190	0.0445	0.0053	0.0134	0.2221	0.4985	0.2111	0.4784	0.2115	0.4811	0.2180	0.5040	0.2167	0.4897	0.2325	0.5160
1700	0.0065	0.0053	77.9004	0.0004	0.0504	0.7435	111.8244	0.0029	-0.0068	-0.0181	0.0053	0.0009	-0.0214	79.9374	0.0003	0.0003	0.8427	111.9294	-0.0011	0.0467	0.0074	0.0491	0.0212	-0.0267	0.2170	0.4975	0.2267	0.4981	0.2182	0.4969	0.2222	0.5076	0.2121	0.4874	0.2347	0.5225
2125	0.0082	0.0072	77.9010	0.0004	0.0503	0.7338	111.9188	0.0245	0.0021	0.0054	0.0121	0.0055	-0.0201	79.9357	0.0004	0.0004	0.7984	111.7933	0.0354	-0.0309	0.0143	0.0273	0.0056	0.0277	0.2149	0.4895	0.2105	0.4867	0.2216	0.5066	0.2279	0.5160	0.2239	0.5051	0.2150	0.4880
2550	0.0051	0.0043	77.9006	0.0004	0.0502	0.7295	111.8707	-0.0023	0.0151	0.0035	-0.0115	-0.0145	0.0174	79.9381	0.0003	0.0003	0.8196	111.7823	0.0113	0.0010	-0.0231	-0.0123	0.0100	-0.0129	0.2203	0.5002	0.2198	0.5024	0.2217	0.4949	0.2155	0.5011	0.2225	0.5061	0.2243	0.5057
2975	0.0060	0.0047	77.8999	0.0004	0.0511	0.7366	111.9474	-0.0159	-0.0100	0.0008	0.0048	0.0087	0.0235	79.9364	0.0004	0.0004	0.8206	111.8317	0.0056	-0.0405	0.0406	0.0201	0.0544	-0.0352	0.2228	0.4968	0.2267	0.5022	0.2143	0.4893	0.2154	0.4936	0.2227	0.5114	0.2216	0.5039
3400	0.0094	0.0078	77.8993	0.0004	0.0499	0.7324	111.8091	-0.0010	0.0139	-0.0179	0.0094	-0.0084	0.0100	79.9362	0.0003	0.0003	0.8034	111.7218	0.0033	0.0202	0.0169	-0.0096	-0.0047	0.0017	0.2254	0.5080	0.2161	0.5007	0.2213	0.5018	0.2254	0.5094	0.2105	0.4867	0.2160	0.4942
3825	0.0068	0.0058	77.8995	0.0004	0.0520	0.7358	111.8599	0.0043	-0.0032	-0.0048	0.0036	0.0021	-0.0035	79.9378	0.0003	0.0003	0.8196	111.9536	-0.0074	0.0221	-0.0086	-0.0212	-0.0167	0.0177	0.2106	0.4830	0.2206	0.5038	0.2290	0.5137	0.2285	0.5149	0.2189	0.4952	0.2257	0.5103
4250	0.0060	0.0048	77.8997	0.0004	0.0507	0.7452	111.8787	0.0067	0.0287	0.0185	0.0129	0.0172	-0.0095	79.9347	0.0003	0.0003	0.8306	111.7984	-0.0111	-0.0056	0.0077	-0.0027	-0.0094	-0.0250	0.2199	0.4995	0.2216	0.4982	0.2199	0.4972	0.2308	0.5215	0.2170	0.5006	0.2141	0.4969
