batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
425	0.7562	0.6260	77.3669	0.0018	0.1800	0.9330	47.9619	0.7597	0.6976	0.5790	0.7263	0.4496	0.5380	79.7529	0.0016	0.0016	0.4103	89.2147	-0.5477	-0.5705	-0.5316	-0.4723	0.2099	-0.3488	0.6861	0.8778	0.7302	0.9004	0.7356	0.9040	0.6075	0.8623	0.2477	0.5861	0.5236	0.8394
850	0.7514	0.6112	77.3214	0.0016	0.1632	0.8935	30.5827	0.7478	0.7111	0.5986	0.7236	0.5210	0.5817	79.7372	0.0017	0.0017	0.1421	69.8357	-0.6711	-0.7620	-0.7484	-0.5684	0.2329	-0.4050	0.6261	0.8703	0.6643	0.8858	0.6913	0.8952	0.5735	0.8556	0.2935	0.6754	0.5378	0.8452
1275	0.7676	0.6251	77.2806	0.0013	0.1440	0.8949	26.4349	0.7558	0.7256	0.6182	0.7400	0.5412	0.5776	79.7263	0.0017	0.0018	0.3609	69.2843	-0.6825	-0.7935	-0.7863	-0.5261	0.2469	-0.3405	0.6663	0.8868	0.6973	0.8999	0.7313	0.9118	0.6339	0.8801	0.2861	0.6734	0.5410	0.8543
1700	0.7807	0.6329	77.2982	0.0015	0.1564	0.9054	34.1645	0.7642	0.7383	0.6356	0.7345	0.5408	0.5763	79.7155	0.0019	0.0019	0.4435	73.9496	-0.7064	-0.8083	-0.7731	-0.5843	0.2049	-0.4092	0.6518	0.8792	0.6984	0.8969	0.7233	0.9067	0.5983	0.8661	0.2952	0.6885	0.5326	0.8484
2125	0.7818	0.6338	77.3628	0.0018	0.1780	0.9443	51.2960	0.7679	0.7275	0.6353	0.7485	0.4769	0.5743	79.7832	0.0014	0.0014	0.6966	87.0645	-0.6702	-0.7815	-0.7409	-0.5292	0.2805	-0.3831	0.6837	0.8949	0.7101	0.9075	0.7132	0.9117	0.6392	0.8867	0.2589	0.6315	0.5861	0.8718
2550	0.7784	0.6304	77.4154	0.0021	0.2063	0.9690	67.0264	0.7689	0.7257	0.6607	0.7417	0.4202	0.5790	79.8024	0.0013	0.0013	0.9244	93.8831	-0.6351	-0.7535	-0.7559	-0.4941	0.3232	-0.3573	0.6416	0.8880	0.6737	0.9020	0.6852	0.9079	0.6152	0.8767	0.2367	0.5904	0.5460	0.8583
2975	0.7872	0.6280	77.5083	0.0026	0.2451	0.9969	90.8707	0.7771	0.7240	0.6569	0.7376	0.3550	0.5694	79.8406	0.0011	0.0011	0.9970	107.4194	-0.6606	-0.7530	-0.7408	-0.5306	0.3360	-0.4070	0.6730	0.8933	0.7010	0.9068	0.6953	0.9091	0.6153	0.8764	0.2329	0.5714	0.5898	0.8700
3400	0.7824	0.6404	77.7094	0.0037	0.3514	0.9989	114.9969	0.7546	0.6626	0.5796	0.7111	0.1714	0.5135	79.9100	0.0006	0.0006	1.0000	121.7278	-0.5734	-0.6930	-0.6800	-0.4426	0.2989	-0.3696	0.6822	0.8997	0.7175	0.9152	0.7236	0.9138	0.6216	0.8845	0.1867	0.4459	0.5641	0.8562
3825	0.7824	0.6347	77.8618	0.0046	0.4390	0.9991	128.7937	0.7148	0.5656	0.4712	0.6272	0.1842	0.4797	79.9580	0.0003	0.0003	1.0000	131.5595	-0.4732	-0.5579	-0.5471	-0.3280	0.0763	-0.3460	0.7171	0.9110	0.7499	0.9206	0.7309	0.9132	0.6397	0.8855	0.2341	0.5807	0.6194	0.8743
4250	0.3702	0.3907	77.9493	0.0023	0.2153	0.9997	140.0795	0.3604	0.2905	0.2392	0.3005	-0.1299	-0.0040	79.9872	0.0001	0.0001	1.0000	140.1956	-0.0951	-0.1673	-0.1937	-0.0106	0.0270	0.0494	0.2764	0.6144	0.2837	0.6276	0.2624	0.6023	0.2531	0.5513	0.1685	0.3830	0.1777	0.4077
4675	0.3409	0.2542	77.9519	0.0022	0.1979	1.0000	140.7753	0.4292	0.2649	0.2434	0.3483	0.1285	0.1299	79.9900	0.0001	0.0001	1.0000	141.0060	-0.2075	-0.2701	-0.2937	-0.1061	-0.1114	-0.1497	0.4330	0.7607	0.3551	0.6852	0.3886	0.7168	0.3496	0.7002	0.2490	0.5659	0.2784	0.5829
5100	0.2858	0.2040	77.9502	0.0018	0.1482	1.0000	138.7929	0.4525	0.2618	0.2435	0.2552	0.3354	0.3278	79.9883	0.0001	0.0001	1.0000	139.4607	-0.2331	-0.2578	-0.2188	-0.1619	-0.2767	-0.2985	0.4269	0.7379	0.4146	0.7097	0.4121	0.7181	0.3576	0.6747	0.4339	0.7347	0.4559	0.7423
5525	0.3619	0.2742	77.9445	0.0024	0.1860	0.9997	133.4440	0.4667	0.1464	0.1154	0.2758	0.3005	0.2823	79.9832	0.0001	0.0001	1.0000	134.2843	-0.1481	-0.4300	-0.3921	-0.0181	-0.1716	-0.1848	0.4425	0.7303	0.3939	0.6968	0.3742	0.6723	0.2890	0.6047	0.4511	0.7550	0.4693	0.7654
5950	0.4446	0.3325	77.9365	0.0028	0.2263	0.9994	126.3063	0.5463	0.0811	0.0386	0.3352	0.2970	0.2890	79.9771	0.0002	0.0002	1.0000	127.3639	-0.1786	-0.5433	-0.5898	-0.0072	-0.2197	-0.2569	0.4767	0.7804	0.4004	0.6957	0.3909	0.6682	0.3443	0.6687	0.4988	0.7831	0.4967	0.7832
6375	0.5065	0.3786	77.9278	0.0031	0.2348	0.9994	118.5980	0.5915	0.1466	0.0611	0.3286	0.2825	0.2782	79.9706	0.0002	0.0002	1.0000	120.3397	-0.1213	-0.5142	-0.5815	0.0388	-0.2226	-0.2463	0.4706	0.7737	0.4141	0.7197	0.3832	0.6718	0.3444	0.6809	0.4835	0.7680	0.4755	0.7597
6800	0.5398	0.4095	77.9182	0.0033	0.2390	0.9989	111.8366	0.6292	0.1709	0.0572	0.4021	0.2852	0.2862	79.9646	0.0002	0.0002	1.0000	114.4698	-0.1214	-0.4501	-0.5182	-0.0003	-0.2102	-0.2252	0.5015	0.7951	0.4746	0.7636	0.4633	0.7254	0.4012	0.7345	0.5510	0.8141	0.5600	0.8134
7225	0.5648	0.4288	77.9102	0.0035	0.2581	0.9994	106.5852	0.6399	0.2024	0.0931	0.4002	0.2802	0.2668	79.9589	0.0003	0.0003	1.0000	109.5141	-0.1333	-0.4166	-0.4785	0.0048	-0.2396	-0.2458	0.5059	0.7948	0.5178	0.7889	0.4885	0.7539	0.4014	0.7305	0.5429	0.8036	0.5442	0.8042
7650	0.5912	0.4510	77.9052	0.0036	0.2628	0.9994	102.9625	0.6562	0.2186	0.0800	0.4165	0.2457	0.2643	79.9554	0.0003	0.0003	1.0000	106.3478	-0.1348	-0.4093	-0.4524	0.0088	-0.1720	-0.2001	0.4943	0.7905	0.5196	0.7926	0.4940	0.7595	0.4091	0.7320	0.5441	0.8053	0.5523	0.8039
8075	0.5923	0.4499	77.9012	0.0036	0.2653	0.9989	100.7315	0.6447	0.2310	0.0946	0.3907	0.2789	0.2801	79.9531	0.0003	0.0003	1.0000	104.6179	-0.1539	-0.4093	-0.4228	-0.0211	-0.1884	-0.2178	0.5098	0.7879	0.5417	0.7997	0.5058	0.7683	0.4178	0.7375	0.5493	0.8128	0.5605	0.8108
