batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_token	id_variance_kendalls_tau_max_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_token	id_mutual_information_kendalls_tau_max_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_token	ood_variance_kendalls_tau_max_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_token	ood_mutual_information_kendalls_tau_max_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
136	0.9272	0.0641	16.8365	0.0264	0.2568	0.9983	15.4072	0.5453	-0.0486	0.0235	0.4847	-0.0471	-0.0133	0.4302	-0.0496	-0.0746	0.4809	-0.0459	0.0237	-0.1925	-0.0650	-0.0369	-0.2130	-0.0544	-0.0289	16.8193	0.0263	0.1898	0.9969	15.2581	0.5427	0.1206	-0.0456	0.4764	0.0846	-0.0763	0.4199	0.0452	-0.0947	0.4777	0.1325	-0.0487	-0.1981	0.0268	0.0088	-0.2125	0.0075	0.0083	0.1310	0.4683	0.1309	0.4647	0.1279	0.4553	0.1335	0.4784	0.1501	0.5206	0.1509	0.5253
272	0.9272	0.0641	16.7624	0.0232	0.3009	0.9980	14.0693	0.5505	-0.0759	-0.0352	0.5354	-0.0847	-0.0349	0.5042	-0.0866	-0.0315	0.5399	-0.0639	-0.0274	-0.1532	-0.0327	-0.0025	-0.1707	-0.0430	-0.0134	16.7461	0.0231	0.2111	0.9965	13.9521	0.5565	0.0557	-0.0882	0.5446	0.0351	-0.0825	0.5119	0.0338	-0.0482	0.5455	0.0338	-0.0956	-0.1480	0.0996	0.0763	-0.1621	0.0658	0.0605	0.1374	0.4987	0.1378	0.4978	0.1333	0.4762	0.1360	0.4940	0.1560	0.5355	0.1498	0.5231
408	0.9270	0.0641	16.8034	0.0249	0.2686	0.9982	13.9466	0.5474	-0.0864	-0.0310	0.4474	-0.0773	-0.0304	0.3616	-0.0770	-0.0829	0.5085	-0.0849	-0.0244	-0.2129	-0.0489	-0.0134	-0.2191	-0.0831	-0.0410	16.7887	0.0250	0.1995	0.9992	13.8740	0.5428	0.0728	-0.1675	0.4487	0.0588	-0.1943	0.3637	0.0368	-0.1474	0.5018	0.0724	-0.1513	-0.2034	0.0075	0.0412	-0.2037	-0.0140	0.0070	0.1492	0.5225	0.1399	0.4991	0.1344	0.4818	0.1439	0.5067	0.1519	0.5316	0.1648	0.5620
544	0.9273	0.0670	16.8168	0.0254	0.2497	0.9975	13.3536	0.5373	-0.1366	-0.0611	0.3493	-0.0892	-0.0431	0.2409	-0.0918	-0.0588	0.4785	-0.1291	-0.0631	-0.1616	-0.0988	-0.0681	-0.1643	-0.1130	-0.0805	16.8027	0.0255	0.1580	0.9977	13.2268	0.5335	0.0053	-0.0939	0.3380	-0.0342	-0.1048	0.2343	-0.0171	-0.1083	0.4658	0.0908	-0.0798	-0.1571	0.0368	0.0548	-0.1629	0.0114	0.0171	0.1517	0.5295	0.1407	0.5056	0.1260	0.4460	0.1500	0.5215	0.1644	0.5596	0.1736	0.5738
680	0.9183	0.0705	16.8150	0.0249	0.2595	0.9977	12.8428	0.5276	-0.1197	-0.0451	0.2806	-0.1098	-0.0647	0.1749	-0.0838	-0.0720	0.4752	-0.1293	-0.0509	-0.0993	-0.0983	-0.0666	-0.1144	-0.0986	-0.0572	16.8015	0.0249	0.1780	0.9965	12.7353	0.5404	0.0250	-0.0544	0.2848	0.0789	-0.0474	0.1727	0.0364	0.0096	0.4934	-0.0013	-0.0680	-0.0845	0.0114	0.0096	-0.1068	0.0702	0.0399	0.1567	0.5371	0.1439	0.5124	0.1331	0.4822	0.1520	0.5213	0.1462	0.5162	0.1431	0.5037
816	0.9233	0.0685	16.8232	0.0255	0.2601	0.9967	12.5317	0.5260	-0.1351	-0.0720	0.2444	-0.1142	-0.0624	0.1310	-0.1111	-0.0374	0.4672	-0.1379	-0.0801	-0.0726	-0.0712	-0.0271	-0.0878	-0.0692	-0.0257	16.8096	0.0256	0.1796	0.9965	12.4274	0.5333	-0.0754	-0.1123	0.2236	0.0035	-0.0763	0.1070	-0.0140	-0.0342	0.3235	-0.1039	-0.1088	-0.0433	0.1004	0.0864	-0.0640	0.0991	0.0741	0.1548	0.5352	0.1409	0.5021	0.1338	0.4817	0.0976	0.2710	0.1591	0.5477	0.1602	0.5445
952	0.9268	0.0641	16.7770	0.0238	0.2721	0.9966	12.0380	0.5440	-0.1161	-0.0582	0.5014	-0.1240	-0.0469	0.4440	-0.1196	-0.0434	0.5204	-0.1059	-0.0578	-0.1873	-0.0273	0.0000	-0.1990	-0.0470	-0.0195	16.7612	0.0238	0.2050	0.9969	11.9652	0.5394	0.0294	-0.0452	0.5034	-0.0250	-0.0079	0.4435	0.0180	0.1035	0.5206	0.0132	-0.0430	-0.2025	-0.0728	-0.0605	-0.2177	-0.0338	-0.0303	0.1455	0.5269	0.1454	0.5233	0.1404	0.5110	0.1419	0.5133	0.1365	0.4833	0.1338	0.4744
1088	0.9270	0.0658	16.7747	0.0237	0.2886	0.9969	11.8259	0.5368	-0.1059	-0.0971	0.5034	-0.0996	-0.0914	0.4533	-0.1093	-0.0552	0.4916	-0.0931	-0.0697	-0.1983	-0.0746	-0.0400	-0.2129	-0.0726	-0.0428	16.7597	0.0237	0.1924	0.9961	11.8323	0.5351	-0.0175	0.0386	0.5026	-0.0623	0.0333	0.4537	-0.0211	0.0882	0.4128	-0.0075	-0.0386	-0.2028	-0.0798	-0.0741	-0.2130	-0.1044	-0.0934	0.1591	0.5582	0.1643	0.5777	0.1608	0.5737	0.1274	0.4167	0.1223	0.4236	0.1266	0.4425
1224	0.9274	0.0675	16.7935	0.0245	0.2770	0.9974	11.8245	0.5384	-0.1068	-0.0970	0.4918	-0.1053	-0.0874	0.4176	-0.1066	-0.0534	0.4816	-0.0912	-0.0637	-0.2164	-0.0458	-0.0202	-0.2205	-0.0396	-0.0064	16.7787	0.0245	0.1792	0.9981	11.8493	0.5366	-0.0092	-0.0961	0.4930	-0.0702	-0.1004	0.4171	-0.0026	-0.0500	0.5062	-0.0110	-0.0991	-0.2024	-0.0053	-0.0184	-0.2099	0.0184	0.0193	0.1519	0.5505	0.1541	0.5556	0.1524	0.5478	0.1585	0.5733	0.1461	0.5164	0.1426	0.5046
1360	0.9265	0.0641	16.7674	0.0233	0.2855	0.9975	11.3350	0.5350	-0.1209	-0.1127	0.5132	-0.1314	-0.1171	0.4787	-0.1161	-0.0867	0.4638	-0.1196	-0.1168	-0.1978	-0.0320	-0.0138	-0.2117	-0.0092	0.0096	16.7478	0.0232	0.2112	0.9973	11.2628	0.5239	0.0224	0.0776	0.5080	-0.0575	0.0645	0.4706	-0.1206	0.1092	0.5031	0.0539	0.0645	-0.1987	-0.0706	-0.0715	-0.2128	-0.0868	-0.1031	0.1322	0.4760	0.1301	0.4709	0.1273	0.4588	0.1483	0.5423	0.1644	0.5763	0.1673	0.5827
