batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap
136	0.8915	0.0874	17.2207	0.0407	0.0878	1.0000	19.0000	0.2342	-0.1381	-0.1198	0.2142	-0.1761	-0.1449	0.1408	-0.2180	-0.2128	0.2345	-0.1578	-0.0898	17.2055	0.0408	0.0736	0.9996	19.0000	0.2386	-0.1360	-0.2351	0.2340	0.0149	-0.2224	0.1827	-0.1636	-0.2557	0.2371	-0.1623	-0.2281	0.1592	0.5301	0.2069	0.6008	0.2698	0.7133	0.1592	0.5328
272	0.9091	0.0993	17.2025	0.0410	0.0951	1.0000	19.0000	0.2842	-0.2272	-0.1975	0.2695	-0.1984	-0.2006	0.2233	-0.2125	-0.1984	0.2838	-0.2198	-0.1865	17.1874	0.0409	0.0725	0.9996	19.0000	0.2668	-0.0601	-0.2057	0.2701	-0.1838	-0.2281	0.2117	-0.1276	-0.2018	0.2708	-0.1232	-0.2289	0.1534	0.5431	0.1606	0.5522	0.2273	0.6468	0.1617	0.5581
408	0.8901	0.1271	17.1996	0.0395	0.1165	0.9999	19.0000	0.3351	-0.2191	-0.1728	0.3229	-0.2148	-0.1720	0.2744	-0.2300	-0.1911	0.3364	-0.1854	-0.1637	17.1824	0.0399	0.0754	1.0000	19.0000	0.3390	-0.1171	-0.2943	0.3293	-0.2066	-0.3237	0.2831	-0.1583	-0.3390	0.3359	-0.2110	-0.2886	0.1174	0.4020	0.1164	0.3976	0.1373	0.4848	0.1174	0.4049
544	0.8939	0.1375	17.1929	0.0394	0.1259	0.9997	19.0000	0.3694	-0.2093	-0.1703	0.3631	-0.2285	-0.1779	0.3075	-0.2501	-0.2010	0.3703	-0.1723	-0.1717	17.1750	0.0398	0.0830	1.0000	19.0000	0.3705	-0.2013	-0.2855	0.3583	-0.1768	-0.3202	0.3018	-0.1693	-0.3175	0.3628	-0.2382	-0.3250	0.1122	0.3719	0.1123	0.3728	0.1291	0.4464	0.1138	0.3814
680	0.9190	0.1347	17.1853	0.0404	0.1018	0.9998	19.0000	0.4026	-0.2140	-0.1686	0.3991	-0.2159	-0.1693	0.3479	-0.2204	-0.1755	0.4006	-0.2003	-0.1696	17.1678	0.0407	0.0779	0.9996	19.0000	0.3932	-0.2351	-0.2943	0.3932	-0.2224	-0.3083	0.3421	-0.2009	-0.2956	0.3939	-0.2246	-0.3118	0.1068	0.3406	0.1044	0.3242	0.1084	0.3480	0.1077	0.3460
816	0.9260	0.1353	17.1826	0.0406	0.0940	0.9993	19.0000	0.4236	-0.2152	-0.1905	0.4199	-0.2281	-0.1986	0.3558	-0.2462	-0.2140	0.4202	-0.2112	-0.1867	17.1657	0.0409	0.0814	0.9981	19.0000	0.4070	-0.1912	-0.3061	0.4056	-0.2018	-0.3338	0.3473	-0.2171	-0.3013	0.4069	-0.1882	-0.3022	0.1103	0.3638	0.1085	0.3527	0.1137	0.3783	0.1101	0.3621
952	0.9236	0.1455	17.1830	0.0405	0.1004	0.9991	19.0000	0.4343	-0.2469	-0.2200	0.4309	-0.2579	-0.2139	0.3666	-0.2650	-0.2197	0.4318	-0.2535	-0.2153	17.1660	0.0408	0.0779	0.9985	19.0000	0.4209	-0.2825	-0.3022	0.4183	-0.2482	-0.2961	0.3550	-0.2325	-0.2899	0.4191	-0.2776	-0.2961	0.1145	0.3861	0.1119	0.3713	0.1161	0.3913	0.1123	0.3744
1088	0.9264	0.1458	17.1826	0.0406	0.1064	0.9987	19.0000	0.4350	-0.2259	-0.1842	0.4322	-0.2291	-0.1786	0.3730	-0.2348	-0.1858	0.4328	-0.2294	-0.1832	17.1656	0.0410	0.0803	0.9985	19.0000	0.4231	-0.1982	-0.2877	0.4211	-0.2022	-0.2965	0.3621	-0.2031	-0.2768	0.4215	-0.1947	-0.2855	0.1086	0.3526	0.1052	0.3308	0.1064	0.3366	0.1071	0.3432
1224	0.9282	0.1549	17.1817	0.0406	0.1099	0.9987	19.0000	0.4612	-0.2086	-0.1874	0.4585	-0.2291	-0.1944	0.3917	-0.2367	-0.2023	0.4577	-0.2125	-0.1904	17.1652	0.0411	0.0807	0.9985	19.0000	0.4352	-0.2351	-0.2816	0.4332	-0.2206	-0.2969	0.3743	-0.2000	-0.2820	0.4330	-0.2434	-0.2807	0.1146	0.3880	0.1110	0.3661	0.1141	0.3780	0.1134	0.3802
1360	0.9297	0.1571	17.1811	0.0407	0.1000	0.9985	19.0000	0.4694	-0.2159	-0.1935	0.4670	-0.2240	-0.1947	0.4054	-0.2276	-0.1994	0.4656	-0.2098	-0.1868	17.1646	0.0410	0.0819	0.9981	19.0000	0.4360	-0.2404	-0.2759	0.4342	-0.2303	-0.2860	0.3778	-0.2469	-0.2868	0.4340	-0.2254	-0.2693	0.1135	0.3811	0.1108	0.3633	0.1108	0.3603	0.1117	0.3699
1496	0.9273	0.1799	17.1824	0.0406	0.1217	0.9982	19.0000	0.4720	-0.2524	-0.2524	0.4690	-0.2601	-0.2555	0.3928	-0.2577	-0.2662	0.4690	-0.2531	-0.2515	17.1665	0.0406	0.0843	0.9981	19.0000	0.4492	-0.2039	-0.2833	0.4465	-0.2123	-0.3061	0.3741	-0.2079	-0.2842	0.4482	-0.2026	-0.2873	0.1429	0.5191	0.1395	0.5055	0.1478	0.5276	0.1393	0.5067
1632	0.9312	0.1764	17.1810	0.0407	0.1078	0.9989	19.0000	0.4834	-0.2375	-0.2351	0.4809	-0.2508	-0.2437	0.4003	-0.2715	-0.2613	0.4789	-0.2379	-0.2380	17.1651	0.0408	0.0834	0.9977	19.0000	0.4559	-0.1294	-0.2680	0.4536	-0.1579	-0.3263	0.3759	-0.1974	-0.3092	0.4530	-0.1101	-0.2627	0.1374	0.5026	0.1351	0.4922	0.1397	0.5043	0.1343	0.4908
1768	0.9275	0.1783	17.1823	0.0406	0.1232	0.9984	19.0000	0.4809	-0.2046	-0.2019	0.4780	-0.2098	-0.2049	0.3997	-0.2167	-0.1917	0.4768	-0.2061	-0.2008	17.1657	0.0406	0.0864	0.9977	19.0000	0.4600	-0.1759	-0.2759	0.4575	-0.1487	-0.2873	0.3766	-0.1623	-0.2496	0.4578	-0.1425	-0.2649	0.1175	0.4087	0.1122	0.3769	0.1091	0.3572	0.1156	0.3975
1904	0.9299	0.1912	17.1817	0.0407	0.1234	0.9982	19.0000	0.4876	-0.2608	-0.2669	0.4850	-0.2731	-0.2788	0.4047	-0.2854	-0.2814	0.4831	-0.2653	-0.2709	17.1659	0.0406	0.0882	0.9988	19.0000	0.4587	-0.1842	-0.2807	0.4562	-0.1855	-0.3079	0.3810	-0.1825	-0.2785	0.4564	-0.1991	-0.2882	0.1438	0.5213	0.1370	0.4948	0.1346	0.4806	0.1425	0.5164
2040	0.9318	0.1818	17.1815	0.0408	0.1073	0.9980	19.0000	0.4866	-0.2866	-0.3041	0.4831	-0.2996	-0.3235	0.3985	-0.3374	-0.3474	0.4816	-0.2837	-0.3066	17.1660	0.0409	0.0881	0.9981	19.0000	0.4630	-0.0895	-0.2667	0.4600	-0.1057	-0.2969	0.3894	-0.1320	-0.2632	0.4605	-0.0807	-0.2596	0.1540	0.5560	0.1525	0.5497	0.1597	0.5665	0.1518	0.5483
2176	0.9298	0.1823	17.1813	0.0407	0.1231	0.9984	19.0000	0.4961	-0.2317	-0.2380	0.4936	-0.2460	-0.2548	0.4051	-0.2740	-0.2684	0.4908	-0.2252	-0.2355	17.1652	0.0406	0.0859	0.9981	19.0000	0.4796	-0.1636	-0.2439	0.4773	-0.1132	-0.2671	0.3913	-0.0886	-0.2219	0.4761	-0.1224	-0.2360	0.1336	0.4833	0.1295	0.4648	0.1298	0.4600	0.1330	0.4808
2312	0.9256	0.1560	17.1850	0.0407	0.0884	0.9970	19.0000	0.5063	-0.2492	-0.2729	0.4980	-0.2698	-0.2877	0.4281	-0.2887	-0.2997	0.5008	-0.2455	-0.2710	17.1687	0.0409	0.0880	0.9973	19.0000	0.4873	-0.0934	-0.1982	0.4803	-0.0912	-0.2105	0.4205	-0.1263	-0.2154	0.4833	-0.1031	-0.1982	0.1335	0.4838	0.1317	0.4744	0.1378	0.4981	0.1328	0.4805
2448	0.9253	0.1836	17.1825	0.0404	0.1210	0.9985	19.0000	0.4947	-0.2359	-0.2292	0.4914	-0.2470	-0.2346	0.4085	-0.2562	-0.2303	0.4916	-0.2304	-0.2251	17.1662	0.0404	0.0858	0.9988	19.0000	0.4802	-0.1127	-0.2583	0.4778	-0.0982	-0.2930	0.3924	-0.1316	-0.2548	0.4771	-0.0605	-0.2478	0.1186	0.4131	0.1130	0.3815	0.1103	0.3627	0.1195	0.4171
2584	0.8824	0.1889	17.1871	0.0384	0.1514	0.9989	19.0000	0.4803	-0.2116	-0.1987	0.4750	-0.2199	-0.1936	0.3945	-0.2240	-0.1916	0.4786	-0.2089	-0.1958	17.1697	0.0389	0.0964	0.9992	19.0000	0.4662	-0.0943	-0.2355	0.4622	-0.1215	-0.2504	0.3790	-0.0947	-0.2298	0.4647	-0.1140	-0.2346	0.1083	0.3526	0.1051	0.3307	0.1061	0.3368	0.1084	0.3530
2720	0.9309	0.1845	17.1809	0.0407	0.1102	0.9984	19.0000	0.4967	-0.2398	-0.2489	0.4949	-0.2635	-0.2579	0.4125	-0.2780	-0.2627	0.4922	-0.2382	-0.2447	17.1650	0.0406	0.0795	0.9985	19.0000	0.4763	-0.1026	-0.2219	0.4752	-0.1145	-0.2456	0.3973	-0.1039	-0.1939	0.4740	-0.1184	-0.2254	0.1272	0.4536	0.1242	0.4396	0.1264	0.4416	0.1269	0.4517
2856	0.9190	0.1876	17.1825	0.0401	0.1175	0.9983	19.0000	0.4852	-0.2238	-0.2235	0.4831	-0.2377	-0.2288	0.4060	-0.2426	-0.2244	0.4832	-0.2185	-0.2186	17.1662	0.0403	0.0883	0.9981	19.0000	0.4720	-0.0737	-0.2070	0.4705	-0.0719	-0.2412	0.3945	-0.1224	-0.2215	0.4709	-0.0820	-0.2110	0.1195	0.4170	0.1145	0.3896	0.1106	0.3650	0.1201	0.4197
