batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_token	id_variance_kendalls_tau_max_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_token	id_mutual_information_kendalls_tau_max_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_token	ood_variance_kendalls_tau_max_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_token	ood_mutual_information_kendalls_tau_max_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
136	0.9110	0.1326	16.5461	0.0099	0.1601	0.9978	7.6276	0.4121	-0.3061	-0.3319	0.4086	-0.2304	-0.2909	0.3907	-0.1297	-0.2312	0.4122	-0.2946	-0.3281	0.3164	-0.2656	-0.3117	0.3196	-0.2434	-0.2810	16.6002	0.0101	0.1132	0.9957	8.0161	0.0493	-0.0789	-0.4842	0.0504	-0.0355	-0.4338	0.0510	-0.0083	-0.3368	0.0460	-0.1491	-0.4921	0.0444	0.1346	-0.3566	0.0406	0.0377	-0.3737	0.2779	0.7642	0.2406	0.7277	0.2052	0.6785	0.2743	0.7554	0.1990	0.6811	0.1757	0.6269
272	0.9429	0.2398	16.3541	0.0022	0.1704	0.9915	2.1048	0.3959	-0.3078	-0.3537	0.3967	-0.2989	-0.3418	0.3750	-0.2931	-0.3277	0.3924	-0.3083	-0.3376	0.3507	-0.3120	-0.3936	0.3429	-0.3250	-0.3710	16.3994	0.0032	0.1498	0.9750	2.9588	0.0326	-0.3311	-0.5215	0.0318	-0.3000	-0.5044	0.0205	-0.3553	-0.4632	0.0325	-0.3667	-0.5044	0.0300	0.0592	-0.4772	0.0204	-0.1504	-0.5026	0.4625	0.8627	0.4504	0.8530	0.4871	0.8488	0.4396	0.8458	0.2853	0.7877	0.2900	0.7859
408	0.9425	0.2613	16.3267	0.0013	0.1862	0.9802	1.7510	0.3757	-0.3469	-0.4236	0.3726	-0.3333	-0.4231	0.3520	-0.3530	-0.4310	0.3700	-0.3254	-0.4003	0.3342	-0.3161	-0.4065	0.3264	-0.3756	-0.4503	16.3444	0.0020	0.2057	0.9720	2.2709	0.0510	-0.2496	-0.5289	0.0484	-0.3342	-0.5469	0.0338	-0.3298	-0.5189	0.0487	-0.2425	-0.5193	0.0362	-0.0930	-0.4820	0.0307	-0.2303	-0.5061	0.3607	0.8228	0.3797	0.8324	0.4276	0.8516	0.3322	0.8072	0.2345	0.7353	0.2552	0.7591
544	0.9295	0.2424	16.3718	0.0026	0.2078	0.9830	2.2431	0.3722	-0.2884	-0.3810	0.3649	-0.2868	-0.3846	0.3240	-0.2956	-0.3975	0.3686	-0.2826	-0.3760	0.3286	-0.2214	-0.3890	0.3172	-0.2869	-0.3907	16.4585	0.0058	0.2169	0.9529	3.7275	0.0462	-0.0816	-0.5303	0.0352	-0.1193	-0.5443	-0.0015	-0.1539	-0.5075	0.0475	-0.1171	-0.5364	0.0552	-0.0579	-0.4623	0.0244	-0.0684	-0.5018	0.5563	0.9050	0.5589	0.9089	0.5496	0.9090	0.5169	0.8972	0.2850	0.7901	0.3133	0.8212
680	0.9381	0.2455	16.3260	0.0013	0.2409	0.9750	1.7072	0.3781	-0.3190	-0.3789	0.3781	-0.3247	-0.3911	0.3500	-0.3438	-0.4088	0.3754	-0.3031	-0.3723	0.3395	-0.3121	-0.3814	0.3262	-0.3110	-0.3959	16.3557	0.0020	0.2695	0.9652	2.3764	0.1067	-0.3206	-0.4930	0.1009	-0.3333	-0.5346	0.0719	-0.3513	-0.5083	0.1064	-0.3215	-0.4996	0.0930	-0.1228	-0.4803	0.0777	-0.2009	-0.5219	0.3494	0.8349	0.3688	0.8384	0.3831	0.8444	0.3306	0.8226	0.2570	0.7679	0.2690	0.7788
816	0.9282	0.2051	16.3677	0.0026	0.2332	0.9810	2.4855	0.3892	-0.2746	-0.3548	0.3843	-0.2983	-0.3719	0.3450	-0.3116	-0.3939	0.3854	-0.2729	-0.3544	0.3458	-0.2390	-0.3372	0.3289	-0.3017	-0.3881	16.4276	0.0049	0.2681	0.9645	3.8367	0.1317	-0.1202	-0.4684	0.1208	-0.1509	-0.4711	0.0813	-0.0974	-0.4614	0.1306	-0.1399	-0.4697	0.1244	-0.0711	-0.4022	0.0980	-0.1632	-0.4566	0.3857	0.8467	0.3848	0.8523	0.3867	0.8501	0.3546	0.8342	0.2658	0.7737	0.2614	0.7711
952	0.9300	0.2147	16.3457	0.0019	0.2565	0.9779	2.0191	0.4071	-0.2784	-0.3478	0.4004	-0.2962	-0.3765	0.3626	-0.3079	-0.3872	0.4044	-0.2717	-0.3523	0.3705	-0.2524	-0.3236	0.3501	-0.2844	-0.3668	16.3935	0.0034	0.2638	0.9634	3.0971	0.1645	-0.0908	-0.4478	0.1599	-0.1338	-0.4544	0.1174	-0.1316	-0.4662	0.1674	-0.1276	-0.4474	0.1538	-0.2272	-0.4149	0.1317	-0.1298	-0.4469	0.3633	0.8385	0.3707	0.8460	0.3766	0.8465	0.3353	0.8253	0.2551	0.7625	0.2660	0.7783
1088	0.9341	0.2373	16.3240	0.0012	0.2870	0.9701	1.6821	0.4110	-0.2824	-0.3426	0.4084	-0.2920	-0.3615	0.3732	-0.3150	-0.3816	0.4081	-0.2721	-0.3416	0.3703	-0.2627	-0.3132	0.3574	-0.2790	-0.3431	16.3483	0.0016	0.2975	0.9634	2.2224	0.2128	-0.1382	-0.4469	0.2072	-0.2268	-0.4640	0.1690	-0.1794	-0.4803	0.2130	-0.2351	-0.4447	0.1951	-0.2434	-0.4706	0.1789	-0.0969	-0.4346	0.3147	0.8168	0.3153	0.8138	0.3176	0.8148	0.2927	0.7990	0.2367	0.7452	0.2346	0.7403
1224	0.9210	0.2064	16.3720	0.0027	0.2509	0.9784	2.5510	0.4155	-0.2616	-0.3215	0.4061	-0.2718	-0.3425	0.3603	-0.2877	-0.3614	0.4093	-0.2464	-0.3222	0.3764	-0.2037	-0.2976	0.3562	-0.2555	-0.3231	16.4423	0.0049	0.2484	0.9622	4.0362	0.1990	-0.0754	-0.3776	0.1900	-0.0868	-0.3925	0.1522	-0.0961	-0.3855	0.1999	-0.0654	-0.3943	0.1822	-0.1610	-0.3557	0.1656	-0.1092	-0.3750	0.3843	0.8518	0.3914	0.8537	0.3729	0.8494	0.3564	0.8395	0.2776	0.7836	0.2584	0.7695
1360	0.9323	0.2074	16.3180	0.0011	0.3358	0.9677	1.5356	0.4223	-0.2771	-0.3242	0.4188	-0.2828	-0.3356	0.3803	-0.3078	-0.3637	0.4193	-0.2613	-0.3182	0.3842	-0.2576	-0.2959	0.3741	-0.2689	-0.3116	16.3375	0.0013	0.3216	0.9572	1.9134	0.2470	-0.1145	-0.3943	0.2398	-0.1693	-0.4110	0.2036	-0.1373	-0.4127	0.2465	-0.1772	-0.3877	0.2234	-0.1645	-0.4004	0.2114	-0.1421	-0.4079	0.2989	0.8045	0.3064	0.8084	0.3034	0.8080	0.2876	0.7936	0.2333	0.7390	0.2353	0.7416
