batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_token	id_variance_kendalls_tau_max_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_token	id_mutual_information_kendalls_tau_max_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_token	ood_variance_kendalls_tau_max_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_token	ood_mutual_information_kendalls_tau_max_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
136	0.9272	0.0641	16.8035	0.0249	0.2546	0.9999	16.5697	0.4183	-0.3403	-0.3239	0.4150	-0.3391	-0.3218	0.4101	-0.3386	-0.3214	0.4118	-0.3409	-0.3254	0.0118	0.0020	0.0935	0.0090	-0.0097	0.0900	16.8049	0.0256	0.1756	0.9996	16.8165	0.4309	-0.2763	-0.3294	0.4310	-0.2776	-0.3289	0.4300	-0.2785	-0.3259	0.4241	-0.2803	-0.3320	-0.0804	0.0636	0.0921	-0.0780	0.0500	0.0877	0.3432	0.7755	0.3532	0.7837	0.3638	0.7913	0.3312	0.7639	0.1711	0.5558	0.1699	0.5573
272	0.9272	0.0641	16.7516	0.0226	0.2675	0.9987	11.1890	0.4363	-0.3432	-0.3112	0.4263	-0.3423	-0.3135	0.4079	-0.3421	-0.3170	0.4253	-0.3437	-0.3078	0.2013	-0.1518	-0.1439	0.2245	-0.1787	-0.1764	16.7478	0.0231	0.1772	0.9985	11.7345	0.4381	-0.2667	-0.3193	0.4366	-0.2675	-0.3167	0.4310	-0.2706	-0.3175	0.4304	-0.2706	-0.3184	0.1342	-0.0333	-0.1171	0.1696	-0.0789	-0.1623	0.2552	0.6933	0.2704	0.7111	0.2870	0.7302	0.2382	0.6691	0.2587	0.7131	0.2610	0.7192
408	0.9272	0.0641	16.7869	0.0241	0.2501	0.9981	10.0964	0.4532	-0.3302	-0.2903	0.4374	-0.3317	-0.2946	0.4081	-0.3332	-0.3048	0.4373	-0.3287	-0.2824	0.1805	-0.1486	-0.1320	0.2617	-0.2124	-0.2115	16.7797	0.0245	0.1654	0.9985	10.4455	0.4451	-0.2351	-0.3039	0.4414	-0.2408	-0.3035	0.4292	-0.2474	-0.3044	0.4369	-0.2404	-0.3096	0.1410	-0.0750	-0.1009	0.2402	-0.1232	-0.2070	0.2047	0.6235	0.2210	0.6485	0.2427	0.6797	0.1886	0.5926	0.2438	0.7081	0.2367	0.6961
544	0.9272	0.0641	16.7870	0.0240	0.2513	0.9981	10.0165	0.4609	-0.3128	-0.2721	0.4465	-0.3162	-0.2757	0.4158	-0.3190	-0.2874	0.4469	-0.3140	-0.2629	0.0814	-0.1062	-0.0668	0.2282	-0.1973	-0.1866	16.7779	0.0243	0.1713	0.9985	10.2705	0.4471	-0.2263	-0.2961	0.4435	-0.2298	-0.2969	0.4284	-0.2329	-0.2969	0.4405	-0.2250	-0.3018	0.0498	-0.0127	0.0079	0.2160	-0.1075	-0.1706	0.1811	0.5809	0.1925	0.6009	0.2124	0.6360	0.1683	0.5539	0.2350	0.7053	0.2168	0.6768
680	0.9272	0.0641	16.8239	0.0255	0.2373	0.9983	10.4927	0.4677	-0.2965	-0.2517	0.4522	-0.3023	-0.2549	0.4202	-0.3061	-0.2689	0.4546	-0.2957	-0.2432	-0.1995	0.0485	0.1487	-0.0204	-0.0757	0.0052	16.8110	0.0257	0.1558	0.9985	10.6774	0.4492	-0.2048	-0.2803	0.4437	-0.2158	-0.2803	0.4246	-0.2206	-0.2816	0.4431	-0.2158	-0.2860	-0.2433	0.1684	0.2596	-0.0621	-0.0070	0.0868	0.1599	0.5365	0.1687	0.5548	0.1861	0.5907	0.1483	0.5080	0.2067	0.6281	0.2013	0.6466
816	0.9272	0.0641	16.8282	0.0256	0.2238	0.9986	10.3917	0.4673	-0.2897	-0.2433	0.4520	-0.2961	-0.2469	0.4213	-0.2998	-0.2608	0.4542	-0.2833	-0.2344	-0.3134	0.0966	0.2320	-0.1997	0.0763	0.2237	16.8102	0.0256	0.1531	0.9985	10.4490	0.4460	-0.1974	-0.2658	0.4405	-0.2053	-0.2632	0.4204	-0.2026	-0.2737	0.4393	-0.2057	-0.2680	-0.3277	0.1965	0.2636	-0.2381	0.1675	0.2232	0.1446	0.4970	0.1527	0.5163	0.1693	0.5554	0.1339	0.4662	0.1678	0.5490	0.1588	0.5196
952	0.9272	0.0641	16.7777	0.0233	0.2453	0.9986	10.1521	0.4511	-0.2808	-0.2383	0.4459	-0.2852	-0.2368	0.4249	-0.2897	-0.2512	0.4451	-0.2770	-0.2312	-0.2083	0.0772	0.2392	-0.1081	0.0859	0.2481	16.7551	0.0231	0.1663	0.9977	10.0410	0.4303	-0.1855	-0.2382	0.4299	-0.1873	-0.2443	0.4177	-0.1952	-0.2469	0.4255	-0.1961	-0.2443	-0.2315	0.1846	0.2351	-0.1788	0.1601	0.1846	0.1365	0.4724	0.1392	0.4789	0.1533	0.5179	0.1295	0.4501	0.2207	0.5483	0.1480	0.4813
1088	0.9273	0.0653	16.8414	0.0260	0.2232	0.9987	11.1806	0.4104	-0.2903	-0.2444	0.4064	-0.2979	-0.2428	0.3915	-0.3026	-0.2591	0.4096	-0.2781	-0.2341	-0.2478	0.0665	0.2442	-0.1173	0.1189	0.2782	16.8117	0.0256	0.1504	0.9981	10.8624	0.3986	-0.2004	-0.2425	0.3996	-0.1991	-0.2368	0.3948	-0.2013	-0.2465	0.3933	-0.1908	-0.2390	-0.2480	0.2053	0.2211	-0.1920	0.1868	0.1833	0.1287	0.4460	0.1294	0.4460	0.1438	0.4897	0.1229	0.4243	0.2406	0.5577	0.1364	0.4485
1224	0.9275	0.0809	16.9005	0.0285	0.1972	0.9993	12.3281	0.3575	-0.3135	-0.2668	0.3533	-0.3264	-0.2656	0.3421	-0.3305	-0.2841	0.3533	-0.2945	-0.2497	-0.3087	0.1044	0.2638	-0.1656	0.1568	0.3258	16.8676	0.0280	0.1407	0.9988	11.9691	0.3630	-0.2329	-0.2579	0.3653	-0.2268	-0.2474	0.3653	-0.2263	-0.2561	0.3556	-0.2219	-0.2513	-0.3035	0.1947	0.2544	-0.2346	0.2061	0.2386	0.1282	0.4460	0.1286	0.4449	0.1443	0.4925	0.1274	0.4445	0.1992	0.5597	0.1337	0.4452
1360	0.9206	0.0951	16.9463	0.0298	0.1757	0.9995	13.4403	0.3367	-0.3315	-0.2778	0.3284	-0.3483	-0.2791	0.3148	-0.3477	-0.3012	0.3390	-0.3234	-0.2721	-0.3200	0.1404	0.2870	-0.2189	0.1880	0.3392	16.9143	0.0294	0.1244	0.9988	13.1774	0.3581	-0.2404	-0.2412	0.3595	-0.2311	-0.2285	0.3591	-0.2250	-0.2482	0.3469	-0.2329	-0.2430	-0.3240	0.1846	0.2785	-0.2900	0.1789	0.2754	0.1304	0.4598	0.1324	0.4625	0.1521	0.5201	0.1384	0.4892	0.1605	0.5228	0.1198	0.4115
1496	0.8925	0.0957	16.9710	0.0293	0.1652	0.9995	14.0360	0.2852	-0.3236	-0.2965	0.2769	-0.3489	-0.3051	0.2639	-0.3572	-0.3277	0.2896	-0.3228	-0.3002	-0.2814	0.1628	0.2988	-0.2055	0.1792	0.3304	16.9375	0.0290	0.1201	0.9988	13.7863	0.3238	-0.2491	-0.2500	0.3257	-0.2456	-0.2386	0.3278	-0.2294	-0.2627	0.3255	-0.2452	-0.2504	-0.2997	0.1851	0.2908	-0.2716	0.1741	0.2890	0.1355	0.4806	0.1415	0.4943	0.1659	0.5602	0.1343	0.4763	0.1470	0.4993	0.1197	0.4081
1632	0.8996	0.1051	16.9757	0.0299	0.1686	0.9999	14.9268	0.2729	-0.3232	-0.3178	0.2642	-0.3455	-0.3177	0.2528	-0.3585	-0.3371	0.2774	-0.3203	-0.3162	-0.2498	0.1559	0.2760	-0.1902	0.1611	0.3029	16.9425	0.0297	0.1204	0.9992	14.7237	0.3076	-0.2232	-0.2684	0.3007	-0.2627	-0.2724	0.2972	-0.2632	-0.2842	0.3075	-0.2303	-0.2680	-0.2579	0.1596	0.2912	-0.2404	0.1548	0.2855	0.1452	0.5152	0.1442	0.5088	0.1596	0.5519	0.1393	0.4967	0.1561	0.5267	0.1239	0.4270
