batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_token	id_variance_kendalls_tau_max_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_token	id_mutual_information_kendalls_tau_max_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_token	ood_variance_kendalls_tau_max_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_token	ood_mutual_information_kendalls_tau_max_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
136	0.0917	0.0168	17.2183	0.0036	0.0596	0.9905	19.0000	-0.0122	-0.0994	0.2048	0.0331	-0.0711	-0.0226	0.0385	-0.1103	0.1427	-0.0010	-0.0904	0.1800	-0.0419	-0.0523	0.0253	-0.0396	-0.0343	0.0603	17.2100	0.0016	0.0510	0.9859	19.0000	0.0282	-0.0026	0.2053	0.0103	0.0351	0.0498	0.0759	-0.0482	0.2640	0.0403	-0.0298	0.2009	-0.0193	0.0763	0.0886	-0.0239	0.0626	0.1439	0.1022	0.2980	0.1350	0.4811	0.1160	0.4011	0.0908	0.1910	0.1309	0.4527	0.2082	0.4456
272	0.1922	0.0258	17.2186	0.0057	0.0675	0.9875	19.0000	0.0366	-0.1541	0.0953	0.1243	-0.2963	-0.3115	0.0489	-0.1230	0.1006	0.0622	-0.1190	0.0758	-0.0539	0.0462	0.1769	-0.0294	0.0261	0.1391	17.2107	0.0039	0.0612	0.9900	19.0000	0.0009	-0.1167	0.1996	-0.0093	-0.2001	-0.3501	0.0952	0.0579	0.3268	0.0683	0.1167	0.2614	0.0629	0.1583	0.2329	0.0293	0.1237	0.2294	0.2151	0.6555	0.3086	0.8114	0.0941	0.2374	0.1096	0.3552	0.1329	0.4740	0.1468	0.5421
408	0.2581	0.0310	17.2183	0.0068	0.0634	0.9886	19.0000	0.1159	-0.2549	-0.0231	0.1425	-0.3568	-0.4131	0.0532	-0.1588	0.1283	0.0336	-0.1282	0.0740	-0.1498	0.0956	0.2450	-0.1190	0.1004	0.2239	17.2105	0.0081	0.0543	0.9925	19.0000	0.0379	0.0327	0.1739	-0.0223	-0.1044	-0.3900	0.1042	0.0686	0.4860	0.0350	-0.0544	0.2272	-0.0277	0.0746	0.1114	0.0137	0.3501	0.3618	0.1700	0.6129	0.3265	0.8081	0.0911	0.2039	0.1196	0.4125	0.1124	0.3343	0.1050	0.3204
544	0.1619	0.0265	17.2185	0.0082	0.0766	0.9881	19.0000	0.0253	-0.1942	0.0847	0.1288	-0.3410	-0.4103	0.0314	-0.1570	0.1644	0.0380	-0.0621	0.2123	-0.1812	0.1245	0.2939	-0.1419	0.0960	0.2595	17.2104	0.0031	0.0564	0.9879	19.0000	-0.0307	0.0559	0.0215	-0.0322	-0.2250	-0.4883	0.1102	0.0092	0.5526	0.0764	-0.0066	0.3469	0.0421	0.2456	0.2798	0.0677	0.3347	0.4202	0.0885	0.1518	0.3409	0.8071	0.0839	0.0963	0.1292	0.4690	0.1430	0.4977	0.1069	0.3372
680	0.2252	0.0345	17.2181	0.0033	0.0665	0.9897	19.0000	0.0417	-0.1841	0.0777	0.0765	-0.3507	-0.3790	0.0160	-0.1468	0.2283	-0.1170	-0.1411	0.1175	-0.1386	0.0833	0.2954	-0.0965	0.0923	0.2848	17.2100	0.0049	0.0601	0.9825	19.0000	-0.0228	0.0259	0.0719	-0.0429	-0.2060	-0.5226	0.0866	0.1162	0.4456	0.0461	-0.1412	0.1825	0.0577	0.2785	0.3031	0.0382	0.2334	0.2991	0.2868	0.5813	0.3060	0.7849	0.0929	0.2301	0.0879	0.1581	0.1256	0.3767	0.0948	0.2321
816	0.2192	0.0379	17.2184	0.0075	0.0613	0.9924	19.0000	-0.0112	-0.2129	0.0122	0.0890	-0.3940	-0.3872	0.0753	-0.1236	0.2619	0.0857	-0.1166	0.1362	-0.1268	0.0365	0.3612	-0.0318	0.0347	0.2412	17.2103	0.0078	0.0756	0.9877	19.0000	0.0394	0.0588	0.2476	-0.0563	-0.2255	-0.5008	0.0304	0.1952	0.3327	0.0907	0.2018	0.3882	0.0659	0.3368	0.4645	0.0144	0.3014	0.4281	0.1415	0.5228	0.4777	0.8756	0.0954	0.2525	0.1369	0.4996	0.0885	0.1694	0.0826	0.0747
952	0.1976	0.0417	17.2181	0.0064	0.0797	0.9930	19.0000	-0.0319	-0.2269	-0.0596	0.1024	-0.3652	-0.3976	0.0051	-0.0998	0.3492	0.0608	-0.1342	0.1047	-0.0922	0.0051	0.2215	-0.0921	0.0616	0.3275	17.2098	0.0099	0.0595	0.9829	19.0000	-0.0210	-0.0509	0.2623	-0.0608	-0.1555	-0.5699	0.0898	0.2114	0.4548	0.0107	0.0232	0.0974	0.0374	0.1180	0.2114	0.1062	0.3282	0.5149	0.2304	0.7256	0.3015	0.7675	0.0855	0.1264	0.0972	0.2579	0.0906	0.1989	0.1266	0.4508
1088	0.1949	0.0391	17.2182	0.0060	0.0703	0.9941	19.0000	0.0102	-0.2867	-0.0322	-0.0203	-0.3606	-0.3025	0.0211	-0.1157	0.2760	0.0828	-0.1294	0.1128	-0.0766	0.1032	0.3212	-0.0531	0.0745	0.2878	17.2100	0.0097	0.0590	0.9766	19.0000	-0.0550	-0.0789	-0.0092	-0.0655	-0.1854	-0.4248	0.0590	0.1882	0.4555	0.1236	0.2390	0.3908	0.0704	0.3645	0.5531	0.0017	0.0751	0.1868	0.1426	0.5111	0.2975	0.7743	0.0953	0.2511	0.1163	0.4012	0.0947	0.2205	0.0865	0.1461
1224	0.1480	0.0365	17.2183	0.0136	0.0742	0.9939	19.0000	-0.0217	-0.3163	-0.0932	0.0162	-0.3931	-0.3720	0.0587	-0.1483	0.2548	0.1075	-0.1193	0.1391	-0.0265	0.0681	0.3084	0.0129	0.0504	0.3194	17.2100	0.0113	0.0617	0.9800	19.0000	-0.0326	-0.1048	-0.0259	-0.0647	-0.1968	-0.4150	0.1716	0.2417	0.5551	0.0309	0.1921	0.2548	0.1135	0.3575	0.5675	0.1532	0.3383	0.4478	0.2257	0.5805	0.4029	0.8438	0.1637	0.5152	0.1089	0.3505	0.1118	0.3738	0.0862	0.1355
1360	0.1348	0.0406	17.2182	0.0046	0.0769	0.9936	19.0000	0.0753	-0.3015	-0.0759	-0.0089	-0.4001	-0.3614	0.0479	-0.1108	0.2832	0.0475	-0.2410	0.0482	0.0208	0.1307	0.3524	-0.0967	0.0599	0.3194	17.2099	0.0051	0.0714	0.9866	19.0000	0.0209	-0.0360	0.0110	-0.0824	-0.1939	-0.5587	0.0675	0.1877	0.4640	0.1225	0.0079	0.2858	0.1109	0.1759	0.3482	0.0963	0.0922	0.2237	0.1058	0.3156	0.3145	0.7894	0.0922	0.2115	0.0812	0.0346	0.1144	0.3924	0.0836	0.0997
1496	0.3081	0.0604	17.2180	0.0077	0.0760	0.9954	19.0000	-0.0418	-0.2967	-0.0356	0.0576	-0.3943	-0.3245	0.0326	-0.0956	0.3072	-0.0712	-0.1942	0.1135	0.0661	0.0371	0.2861	0.0070	0.0387	0.2853	17.2100	0.0101	0.0744	0.9859	19.0000	-0.0906	-0.0039	0.0031	-0.1044	-0.1799	-0.6067	0.1412	0.2075	0.4575	0.0714	-0.0088	0.1548	0.1262	0.2022	0.4579	0.1457	0.3240	0.5215	0.1163	0.4014	0.6227	0.9252	0.0914	0.2093	0.0879	0.1499	0.0909	0.1858	0.1009	0.2820
1632	0.1507	0.0466	17.2179	0.0080	0.0662	0.9951	19.0000	0.1480	-0.2693	-0.0127	-0.0055	-0.3985	-0.3998	-0.0211	-0.0712	0.2687	0.0668	-0.1835	0.0860	-0.0253	0.1209	0.2991	0.0304	0.1197	0.3470	17.2101	0.0012	0.0655	0.9884	19.0000	0.1001	-0.0785	0.0281	-0.0794	-0.1540	-0.3202	0.1409	0.2311	0.5759	0.2067	-0.1114	0.2443	0.1324	0.1316	0.2539	0.2294	0.2216	0.3263	0.1872	0.6611	0.3800	0.7089	0.0936	0.2132	0.1185	0.4058	0.0821	0.0734	0.0878	0.1641
1768	0.3301	0.0591	17.2177	0.0062	0.0818	0.9953	19.0000	0.0574	-0.2867	-0.0455	-0.0704	-0.3769	-0.3645	0.0957	-0.0886	0.2414	0.0295	-0.2062	0.0285	-0.0615	0.0553	0.2928	-0.0505	0.0966	0.3281	17.2102	0.0017	0.0620	0.9948	19.0000	-0.0310	0.0189	0.0211	-0.1159	-0.1057	-0.5393	0.1486	0.0675	0.1987	-0.0223	0.0706	0.4623	0.1977	0.2289	0.4346	0.0787	0.1329	0.2465	0.1077	0.3304	0.3018	0.7923	0.1197	0.4042	0.1091	0.3465	0.0858	0.1075	0.0981	0.2755
1904	0.3203	0.0593	17.2182	0.0059	0.0842	0.9962	19.0000	0.0343	-0.3163	-0.1096	0.0566	-0.3851	-0.2914	0.1492	-0.1067	0.2197	0.0983	-0.1792	0.0502	-0.0352	0.1045	0.3645	0.0939	0.0673	0.3420	17.2097	0.0098	0.0644	0.9852	19.0000	-0.0684	-0.0610	0.0917	-0.1546	-0.1562	-0.4669	0.1267	0.1987	0.4768	0.1215	-0.0263	0.4882	0.1819	0.3162	0.4482	0.1655	0.4067	0.5509	0.1478	0.4580	0.1827	0.6279	0.1362	0.4882	0.1240	0.4390	0.0841	0.0998	0.1078	0.3482
2040	0.2719	0.0624	17.2179	0.0124	0.0899	0.9949	19.0000	0.0101	-0.2735	-0.0545	-0.1125	-0.3988	-0.3638	-0.0052	-0.0802	0.2315	0.0168	-0.1909	0.0315	-0.0214	0.0924	0.3147	-0.0471	0.0767	0.3202	17.2096	0.0112	0.0853	0.9836	19.0000	-0.1080	-0.1566	0.0886	-0.1035	-0.1516	-0.5219	0.1419	0.1504	0.4632	0.0237	-0.0504	0.1504	0.2291	0.1719	0.4075	0.0816	0.3287	0.4399	0.2805	0.7035	0.2907	0.7970	0.0988	0.2692	0.0875	0.1214	0.0883	0.1522	0.0947	0.2444
2176	0.2546	0.0570	17.2177	0.0048	0.0662	0.9948	19.0000	0.1059	-0.2536	-0.0375	-0.0327	-0.3806	-0.2977	0.0689	-0.1223	0.1816	-0.0409	-0.2471	0.0590	0.0699	0.0855	0.3003	0.0046	0.1137	0.3917	17.2097	0.0241	0.0894	0.9795	19.0000	0.0322	-0.0893	-0.0509	-0.0622	-0.1880	-0.5251	0.0736	0.1175	0.4987	0.1276	0.0066	0.0974	0.0706	0.4136	0.5732	0.1878	0.1070	0.1772	0.1256	0.4307	0.3309	0.8138	0.0937	0.2116	0.1040	0.3161	0.0865	0.1292	0.0926	0.2262
2312	0.2247	0.0525	17.2179	0.0085	0.0715	0.9952	19.0000	-0.0345	-0.3085	-0.0060	0.0773	-0.3827	-0.3258	-0.0187	-0.1407	0.1724	-0.0082	-0.1623	0.1436	-0.0407	0.0901	0.3130	-0.0637	0.1009	0.3348	17.2099	0.0047	0.0686	0.9920	19.0000	0.1008	-0.0482	-0.2491	-0.2041	-0.0134	-0.2465	0.1858	0.1952	0.4504	0.0396	0.0088	0.2404	0.1182	0.4518	0.5930	0.0330	0.2906	0.4658	0.1347	0.3489	0.3054	0.7083	0.1001	0.2902	0.0923	0.1968	0.1386	0.5108	0.0915	0.2022
2448	0.1636	0.0540	17.2176	0.0078	0.0641	0.9944	19.0000	0.0882	-0.3105	-0.0734	-0.0294	-0.3816	-0.3074	0.0831	-0.1295	0.1969	0.0253	-0.1681	0.0759	0.0588	0.1150	0.3387	-0.0624	0.1054	0.3616	17.2098	0.0017	0.0749	0.9909	19.0000	0.0169	-0.0858	0.0575	-0.0579	-0.1717	-0.4079	0.2261	0.1789	0.2996	0.1349	0.0833	0.3461	0.1781	0.0465	0.2285	0.0760	0.1125	0.2408	0.1185	0.3997	0.3122	0.7756	0.1145	0.3611	0.1133	0.3807	0.0970	0.2644	0.1128	0.3708
2584	0.2044	0.0485	17.2175	0.0078	0.0856	0.9963	19.0000	-0.0616	-0.3083	-0.0660	0.0894	-0.3708	-0.2888	0.1671	-0.0847	0.2773	0.0053	-0.2290	-0.0098	-0.0680	0.1471	0.4133	-0.0465	0.0734	0.2912	17.2100	0.0027	0.0432	0.9970	19.0000	-0.0665	-0.0952	0.0024	-0.1425	-0.1972	-0.6120	0.1684	0.1349	0.3355	-0.0529	0.1022	0.2175	0.2290	0.1281	0.2171	0.2036	0.3368	0.4759	0.1471	0.5378	0.3529	0.8284	0.0825	0.0810	0.1586	0.5739	0.0857	0.1453	0.0858	0.1188
