batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_token	id_variance_kendalls_tau_max_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_token	id_mutual_information_kendalls_tau_max_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_token	ood_variance_kendalls_tau_max_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_token	ood_mutual_information_kendalls_tau_max_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
136	0.8952	0.0650	16.3191	0.0004	0.4213	0.9075	1.0689	0.0422	0.0058	0.0206	0.0146	-0.0024	0.0224	nan	nan	nan	0.0262	-0.0223	-0.0054	0.0157	-0.0803	-0.0764	0.0076	0.0053	0.0240	16.3048	0.0004	0.2897	0.9096	1.0746	0.0239	-0.0239	-0.0448	0.0223	-0.0156	-0.0235	nan	nan	nan	0.0110	0.0891	0.0779	0.0719	-0.0958	-0.0862	0.0549	0.0388	-0.0274	0.1785	0.5102	0.1720	0.5401	0.1500	0.5000	0.1507	0.4866	0.1356	0.4596	0.1605	0.5275
272	0.6796	0.0539	16.4796	0.0034	0.3892	0.8870	1.9776	0.0613	-0.0204	-0.0099	0.0629	0.0272	0.0342	nan	nan	nan	0.0554	-0.0326	-0.0432	0.0200	-0.0528	-0.0494	0.0657	0.0379	0.0438	16.4937	0.0039	0.2684	0.8814	2.0738	0.0450	0.0500	0.0724	0.0650	0.0921	0.1105	nan	nan	nan	0.0186	-0.0478	-0.0351	0.0100	0.0241	0.0276	-0.0503	-0.1675	-0.1789	0.1569	0.5102	0.1676	0.4890	0.1500	0.5000	0.1271	0.4421	0.1335	0.4415	0.1511	0.5058
408	0.1184	0.0178	16.5464	0.0191	0.3752	0.5326	2.5144	0.0293	-0.0188	0.0059	0.0166	0.0473	0.0620	nan	nan	nan	0.0212	0.0081	-0.0001	0.0080	-0.0058	0.0041	-0.0026	-0.0173	-0.0336	16.5249	0.0174	0.2539	0.4776	2.3470	-0.0012	-0.0535	-0.0281	-0.0952	-0.0632	-0.0618	nan	nan	nan	-0.0730	-0.0654	-0.1013	0.0171	0.0171	0.0026	-0.0126	-0.0285	-0.0268	0.1523	0.4556	0.1491	0.4797	0.1500	0.5000	0.1458	0.4852	0.1572	0.4991	0.1593	0.5299
544	0.7249	0.0601	16.5396	0.0034	0.3665	0.9186	2.3857	0.0669	0.0364	0.0261	0.0569	-0.0041	-0.0105	nan	nan	nan	0.0826	0.0200	0.0152	0.0293	-0.0369	-0.0378	0.0622	0.0354	0.0285	16.5146	0.0042	0.2331	0.9250	2.2624	0.0723	0.0066	0.0110	0.0507	-0.0553	-0.0456	nan	nan	nan	0.0554	0.0158	0.0202	-0.0021	0.0039	0.0145	0.0347	0.0417	0.0228	0.1552	0.4761	0.1592	0.5269	0.1500	0.5000	0.1831	0.5774	0.1695	0.4840	0.1825	0.5607
680	0.1879	0.0251	16.5514	0.0193	0.3610	0.8646	2.1801	0.0024	-0.0409	-0.0375	-0.0321	-0.0466	-0.0452	nan	nan	nan	-0.0066	-0.0305	-0.0288	-0.0272	0.0181	-0.0164	-0.0443	0.0113	0.0249	16.5255	0.0180	0.2357	0.8045	2.1685	-0.0749	-0.2013	-0.2206	-0.0613	-0.1763	-0.1649	nan	nan	nan	-0.0300	-0.0395	-0.0145	-0.0190	-0.0136	0.0162	0.0188	0.0895	0.0583	0.1655	0.5142	0.1862	0.5421	0.1500	0.5000	0.1756	0.5369	0.1453	0.4843	0.1458	0.4650
816	0.8627	0.0651	16.4768	0.0052	0.4003	0.9298	2.2417	0.1589	0.0486	0.0382	0.1640	0.0551	0.0394	-0.0027	0.0066	0.0065	0.1612	0.0581	0.0584	0.0567	-0.0529	-0.0446	0.1048	0.0126	0.0111	16.4661	0.0046	0.2724	0.9073	2.2237	0.1533	0.1193	0.1066	0.0985	0.0325	0.0154	-0.0527	-0.1200	-0.1200	0.1332	0.1162	0.0654	0.1123	0.1018	0.0855	0.0703	0.0456	0.0487	0.1957	0.5331	0.1614	0.5278	0.1519	0.4879	0.1782	0.5550	0.1321	0.4591	0.1725	0.5352
952	0.7557	0.0597	16.5020	0.0023	0.3795	0.9239	2.1447	0.1587	0.0148	0.0217	0.1724	0.0264	0.0462	0.0766	0.1104	0.1106	0.1543	0.0225	0.0402	0.0777	-0.0091	-0.0030	0.1009	0.0073	0.0218	16.5200	0.0039	0.2437	0.8906	2.3180	0.1305	0.1368	0.1079	0.1844	0.1838	0.1719	0.0705	0.0828	0.0828	0.1976	0.2965	0.2820	0.0832	-0.0272	0.0329	0.1294	0.1053	0.0917	0.2477	0.6275	0.3336	0.7010	0.1690	0.5301	0.1826	0.5846	0.1902	0.5521	0.2199	0.6031
1088	0.8916	0.0653	16.4896	0.0083	0.4194	0.9515	2.7541	0.1879	0.0033	0.0112	0.1843	0.0168	0.0147	0.0726	0.0307	0.0356	0.1836	0.0205	0.0124	0.1130	-0.0329	-0.0090	0.1111	-0.0207	0.0198	16.4889	0.0076	0.2807	0.9467	2.7998	0.1866	0.0487	0.0557	0.1994	0.1123	0.1057	0.0661	0.0075	0.0123	0.1959	0.1417	0.1364	0.0847	0.0658	0.1241	0.1278	0.0592	0.0785	0.1724	0.5624	0.1929	0.5517	0.1859	0.5419	0.1503	0.4944	0.2065	0.5649	0.1916	0.5578
1224	0.8778	0.0640	16.4765	0.0069	0.3859	0.9459	2.4262	0.1464	-0.0245	-0.0269	0.1569	0.0069	-0.0013	0.0105	-0.0704	-0.0508	0.1438	-0.0077	-0.0223	0.1038	-0.0009	0.0093	0.1130	-0.0236	-0.0003	16.4842	0.0070	0.2497	0.9521	2.5243	0.1863	0.0952	0.1276	0.1577	-0.0281	-0.0276	0.0298	-0.0535	-0.0711	0.1483	-0.0009	0.0039	0.1250	0.0746	0.0671	0.1023	0.1544	0.1276	0.1866	0.5845	0.1860	0.5672	0.1319	0.4490	0.1735	0.5255	0.1760	0.5636	0.2271	0.6407
1360	0.3508	0.0380	16.7098	0.0099	0.2907	0.9039	3.3256	0.0518	-0.0493	-0.0555	0.0504	-0.0024	-0.0308	0.0558	0.0610	0.0713	0.0614	-0.0051	0.0254	0.0197	-0.0421	-0.0459	0.0210	0.0036	0.0309	16.7165	0.0100	0.2042	0.9200	3.3064	0.0290	0.0456	0.0298	0.0722	0.1452	0.1439	-0.0188	-0.0978	-0.1171	0.0475	0.0518	0.0548	0.0524	0.0575	0.0539	0.0035	-0.0070	-0.0333	0.1800	0.5794	0.1960	0.6145	0.1739	0.5492	0.1708	0.5497	0.1542	0.4829	0.1588	0.4880
1496	0.6889	0.0674	16.7432	0.0105	0.2870	0.9641	3.5703	0.0821	-0.0502	-0.0341	0.0791	-0.0238	-0.0185	0.0415	0.0690	0.0803	0.0876	-0.0063	0.0173	0.0139	-0.0444	0.0027	-0.0141	-0.0119	0.0080	16.7299	0.0113	0.2090	0.9587	3.6310	0.0676	0.0070	-0.1110	0.0807	0.0759	-0.0430	0.0835	0.1504	0.1092	0.1002	-0.0211	-0.0618	0.0433	0.1570	0.0912	-0.0254	0.0820	0.0158	0.1619	0.5465	0.1437	0.4933	0.1660	0.5202	0.1731	0.5520	0.1642	0.5201	0.1639	0.5403
1632	0.6585	0.0597	16.7157	0.0064	0.2599	0.9626	4.1990	0.1917	-0.0287	0.0107	0.1786	-0.0231	-0.0368	0.0616	0.0200	0.0240	0.1856	-0.0801	-0.0159	0.0518	-0.0487	-0.0104	0.0508	-0.0457	-0.0346	16.7217	0.0047	0.1683	0.9637	4.2241	0.1687	0.1408	0.0904	0.1755	0.1895	0.1289	0.0371	-0.0039	-0.0061	0.1638	0.1368	0.1794	0.0514	0.0531	0.1281	0.0325	0.0636	0.0294	0.1471	0.5075	0.1913	0.5988	0.1461	0.4935	0.1369	0.4841	0.1390	0.4852	0.1367	0.4685
1768	0.3808	0.0419	16.8022	0.0046	0.2015	0.9644	3.7079	0.1104	-0.0291	-0.0482	0.1082	-0.0533	-0.0458	0.0498	0.0131	0.0253	0.1190	-0.0272	-0.0278	-0.0018	-0.0383	-0.0218	-0.0106	0.0189	0.0570	16.7820	0.0051	0.1671	0.9656	3.7222	0.0675	-0.0434	-0.1461	0.0821	0.0728	-0.0092	0.0279	0.0667	0.0697	0.0743	0.0737	-0.0592	0.0124	-0.0482	-0.1167	-0.0621	-0.0158	-0.1167	0.1567	0.5513	0.1528	0.5238	0.1722	0.5261	0.1542	0.5285	0.1723	0.5505	0.1496	0.4934
1904	0.1805	0.0259	16.8012	0.0116	0.2399	0.9102	5.6092	0.0068	-0.1695	-0.1437	0.0194	-0.1904	-0.1612	0.0245	0.0737	0.0769	0.0106	-0.1459	-0.1270	0.0375	-0.0619	-0.0339	0.0614	-0.0783	-0.0278	16.7659	0.0151	0.1929	0.8141	5.2554	-0.0606	-0.1504	-0.0724	-0.0634	-0.0798	-0.1351	-0.0377	-0.0803	-0.0675	-0.0359	0.0118	-0.0456	0.1216	0.1246	0.1180	0.1501	0.1417	0.0996	0.1593	0.4720	0.1461	0.4298	0.3472	0.7518	0.1620	0.4708	0.1970	0.5586	0.2233	0.5606
2040	0.5613	0.0574	16.7115	0.0047	0.3007	0.9465	4.0135	0.1229	-0.0979	-0.0327	0.1109	-0.1070	-0.0867	0.0706	0.0076	0.0232	0.1129	-0.1349	-0.1115	0.0522	-0.0603	-0.0136	0.0462	-0.0879	-0.0703	16.7045	0.0039	0.1822	0.9459	3.8964	0.0945	-0.0088	-0.0610	0.0812	-0.0732	-0.0776	0.0764	-0.0298	-0.0250	0.1067	-0.0750	-0.0667	0.0452	-0.0469	-0.0504	0.0269	-0.0965	-0.1083	0.1444	0.5017	0.1226	0.4221	0.1811	0.5843	0.1315	0.4620	0.1662	0.5647	0.1645	0.5515
2176	0.7986	0.0615	16.7294	0.0143	0.2884	0.9719	5.0748	0.2107	-0.1498	-0.1101	0.2178	-0.0879	-0.0928	0.0104	0.0117	0.0359	0.2082	-0.1457	-0.1202	0.1085	-0.0673	-0.0279	0.1050	-0.0611	-0.0495	16.7017	0.0143	0.1941	0.9730	5.0777	0.1900	0.1180	-0.0193	0.1797	0.0303	-0.0667	0.0217	0.0368	0.0474	0.1796	-0.0781	-0.1382	0.1127	0.1039	0.0583	0.0870	0.1140	0.0215	0.1295	0.4548	0.1284	0.4439	0.1826	0.5976	0.1345	0.4616	0.1852	0.5948	0.1848	0.5810
2312	0.7696	0.0613	16.7538	0.0140	0.2523	0.9802	5.5471	0.2407	-0.0101	0.0032	0.1940	-0.0809	-0.0702	0.1109	0.0261	0.0491	0.2256	-0.0268	-0.0066	0.0926	0.0511	0.1270	0.0697	-0.0058	0.0511	16.7497	0.0153	0.1663	0.9722	5.6012	0.2073	0.0211	-0.0482	0.1548	-0.0272	-0.0943	0.0742	-0.0491	-0.0469	0.1943	-0.0605	-0.0838	0.0744	0.2053	0.1206	0.0365	0.0360	0.0934	0.1772	0.5596	0.1721	0.5640	0.1651	0.4970	0.1221	0.4100	0.1418	0.4744	0.1356	0.4836
2448	0.8073	0.0654	16.7880	0.0172	0.2200	0.9831	5.6475	0.2438	-0.0482	-0.0748	0.2390	-0.0321	-0.0834	-0.0269	-0.0886	-0.0664	0.2421	-0.0489	-0.0728	0.0636	-0.0668	-0.0237	0.0762	-0.0887	-0.0368	16.7947	0.0172	0.1694	0.9803	5.8107	0.2063	-0.0355	-0.0154	0.2012	-0.0070	-0.0246	-0.0150	-0.0925	-0.0886	0.1809	-0.1285	-0.1018	0.0510	0.0965	-0.0390	0.0439	-0.0496	-0.0382	0.1655	0.5599	0.1752	0.5584	0.1572	0.5358	0.1579	0.5211	0.1428	0.4755	0.1471	0.5085
2584	0.8918	0.0842	16.7075	0.0178	0.2894	0.9843	5.7445	0.2419	-0.1561	-0.1428	0.2378	-0.1574	-0.1739	-0.0006	-0.0809	-0.0485	0.2429	-0.1867	-0.1839	0.0883	-0.1059	-0.0669	0.0594	-0.1306	-0.0653	16.6871	0.0181	0.2134	0.9818	5.6372	0.2300	-0.0618	-0.0890	0.2214	0.0158	-0.1289	-0.0068	-0.0522	-0.0588	0.2299	-0.1491	-0.1882	0.0566	-0.0022	-0.0132	0.0549	0.0189	-0.0123	0.1483	0.5185	0.1560	0.5456	0.2191	0.6222	0.1389	0.4819	0.1545	0.5520	0.1645	0.5335
2720	0.8810	0.0678	16.6659	0.0155	0.2825	0.9742	4.8829	0.2370	-0.1774	-0.1741	0.2378	-0.1748	-0.1766	0.0359	-0.0849	-0.0605	0.2364	-0.1641	-0.1591	0.1108	-0.0661	-0.0539	0.0779	-0.0887	-0.0600	16.6477	0.0155	0.1801	0.9757	4.9177	0.2130	-0.1899	-0.1868	0.2166	-0.1474	-0.2154	0.0535	-0.0803	-0.0461	0.2039	-0.1601	-0.1478	0.1000	0.0390	-0.0250	0.0765	-0.0535	-0.0053	0.1408	0.5088	0.1605	0.5493	0.1872	0.6057	0.1903	0.5650	0.1579	0.5269	0.1354	0.4743
