batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_token	id_variance_kendalls_tau_max_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_token	id_mutual_information_kendalls_tau_max_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_token	ood_variance_kendalls_tau_max_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_token	ood_mutual_information_kendalls_tau_max_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
381	0.0517	0.0418	6.6601	0.0125	0.1916	0.7495	12.4885	-0.0022	-0.0663	-0.0005	0.0004	-0.0604	-0.0181	-0.0092	-0.0339	-0.0101	0.0079	-0.0462	-0.0060	0.0026	-0.0488	-0.0089	0.0037	-0.0455	-0.0057	6.6684	0.0124	0.1893	0.7555	12.4972	-0.0070	-0.0373	-0.0121	0.0024	-0.0226	0.0207	0.0028	-0.0331	0.0072	0.0022	-0.0286	0.0082	0.0063	-0.0202	-0.0069	-0.0021	-0.0494	-0.0126	0.6232	0.5190	0.6095	0.4967	0.6139	0.5178	0.6084	0.5025	0.5794	0.4758	0.6055	0.5037
762	0.0589	0.0452	6.6603	0.0121	0.2025	0.7722	12.5072	0.0004	-0.0522	0.0089	-0.0054	-0.0787	-0.0012	0.0044	-0.0140	0.0455	0.0078	-0.0523	0.0041	-0.0006	-0.0498	-0.0146	0.0023	-0.0304	0.0136	6.6695	0.0121	0.1887	0.7688	12.4925	-0.0052	-0.0382	0.0079	0.0026	-0.0436	0.0082	0.0005	-0.0287	0.0237	0.0022	-0.0477	-0.0002	0.0026	-0.0159	0.0248	0.0001	-0.0131	0.0167	0.6027	0.5024	0.6247	0.5172	0.5988	0.4903	0.6080	0.5001	0.6058	0.5026	0.6056	0.5013
1143	0.0561	0.0419	6.6606	0.0121	0.1971	0.7712	12.5081	-0.0042	-0.0617	0.0316	-0.0006	-0.0851	0.0170	-0.0062	-0.0436	-0.0017	0.0036	-0.0503	-0.0021	0.0018	-0.0783	-0.0304	0.0076	-0.0686	0.0092	6.6699	0.0120	0.1930	0.7729	12.5067	-0.0018	-0.0346	-0.0128	-0.0046	-0.0320	0.0154	0.0015	-0.0279	0.0144	-0.0002	-0.0357	0.0044	0.0006	-0.0161	0.0255	-0.0004	-0.0365	0.0162	0.6278	0.5128	0.6237	0.5184	0.6173	0.5122	0.6178	0.5126	0.6182	0.5186	0.6164	0.5089
1524	0.0589	0.0443	6.6611	0.0118	0.1922	0.7703	12.5062	0.0055	-0.0613	-0.0107	-0.0065	-0.0484	0.0130	0.0013	-0.0556	0.0353	-0.0045	-0.0266	0.0181	0.0023	-0.0583	-0.0127	0.0007	-0.0628	0.0152	6.6700	0.0119	0.1916	0.7663	12.5148	0.0000	-0.0356	0.0118	-0.0007	-0.0022	0.0205	0.0055	-0.0358	0.0313	0.0001	-0.0211	0.0158	-0.0026	-0.0232	-0.0015	0.0007	-0.0435	0.0049	0.6082	0.5055	0.5978	0.4992	0.6035	0.5045	0.5908	0.4895	0.6215	0.5106	0.6093	0.5026
1905	0.0575	0.0434	6.6602	0.0119	0.1922	0.7687	12.5020	-0.0028	-0.0738	-0.0090	-0.0009	-0.0376	0.0061	-0.0055	-0.0564	-0.0253	-0.0053	-0.0800	0.0038	0.0065	-0.0525	0.0091	0.0074	-0.0577	-0.0094	6.6698	0.0119	0.1903	0.7709	12.5145	0.0029	-0.0504	-0.0018	-0.0076	-0.0338	0.0135	-0.0022	-0.0273	-0.0097	-0.0010	-0.0472	-0.0003	0.0082	-0.0410	0.0049	-0.0047	-0.0209	-0.0282	0.6095	0.5065	0.6090	0.5081	0.5952	0.4941	0.6068	0.5100	0.6128	0.5130	0.6142	0.5074
2286	0.0578	0.0429	6.6610	0.0121	0.1996	0.7679	12.5059	-0.0088	-0.0351	0.0067	-0.0038	-0.0491	-0.0135	0.0040	-0.0461	0.0158	-0.0043	-0.0377	0.0013	-0.0024	-0.0734	-0.0114	-0.0070	-0.0670	-0.0247	6.6697	0.0121	0.2028	0.7674	12.5030	0.0016	-0.0389	0.0081	0.0013	-0.0235	0.0017	-0.0038	-0.0360	-0.0035	0.0114	-0.0103	0.0165	-0.0006	-0.0282	0.0253	0.0007	-0.0422	-0.0107	0.6047	0.5004	0.6121	0.5132	0.6088	0.4993	0.6162	0.5135	0.6047	0.4954	0.5970	0.4809
2667	0.0578	0.0431	6.6606	0.0120	0.1901	0.7620	12.5120	-0.0031	-0.0498	0.0136	0.0045	-0.0559	-0.0242	0.0021	-0.0266	0.0302	-0.0046	-0.0511	0.0039	0.0025	-0.0528	-0.0083	-0.0003	-0.0370	-0.0118	6.6690	0.0121	0.1932	0.7692	12.5023	-0.0015	-0.0101	0.0203	-0.0102	-0.0214	0.0170	-0.0083	-0.0287	-0.0019	0.0024	-0.0277	0.0250	0.0028	-0.0060	-0.0100	0.0032	-0.0398	-0.0164	0.6116	0.5028	0.6176	0.5100	0.6088	0.5110	0.6082	0.5062	0.6064	0.5111	0.6013	0.4965
3048	0.0582	0.0444	6.6621	0.0120	0.1948	0.7692	12.5147	-0.0031	-0.0415	-0.0158	-0.0048	-0.0768	-0.0127	-0.0103	-0.0609	0.0219	-0.0067	-0.0695	-0.0238	0.0044	-0.0251	0.0181	0.0100	-0.0428	0.0030	6.6690	0.0120	0.1951	0.7683	12.5017	0.0006	-0.0322	0.0081	0.0020	-0.0348	0.0179	0.0008	-0.0350	-0.0028	-0.0043	-0.0167	-0.0002	0.0029	-0.0246	0.0146	-0.0042	-0.0219	-0.0061	0.6119	0.5058	0.6173	0.5104	0.6181	0.5116	0.6183	0.5094	0.5984	0.4960	0.6062	0.4901
3429	0.0579	0.0442	6.6599	0.0121	0.1920	0.7677	12.4994	-0.0033	-0.0643	0.0157	-0.0025	-0.0542	0.0105	-0.0059	-0.0555	0.0056	0.0012	-0.0486	0.0207	-0.0018	-0.0466	0.0187	0.0029	-0.0334	0.0172	6.6694	0.0121	0.1921	0.7658	12.4996	0.0006	-0.0379	-0.0182	-0.0015	-0.0363	0.0078	-0.0010	-0.0532	-0.0035	-0.0089	-0.0363	0.0050	0.0023	-0.0255	-0.0143	0.0014	-0.0391	-0.0124	0.6223	0.5245	0.6278	0.5194	0.6117	0.5007	0.6121	0.4935	0.6140	0.5076	0.5929	0.4836
3810	0.0589	0.0444	6.6601	0.0121	0.1900	0.7707	12.5025	-0.0052	-0.0429	-0.0142	-0.0039	-0.0436	-0.0036	0.0007	-0.0463	0.0027	-0.0019	-0.0799	-0.0151	-0.0012	-0.0583	-0.0101	0.0008	-0.0657	-0.0222	6.6693	0.0122	0.2010	0.7714	12.5072	-0.0073	-0.0454	0.0066	0.0006	-0.0333	0.0100	-0.0126	-0.0191	0.0135	-0.0028	-0.0278	-0.0029	0.0003	-0.0314	-0.0019	-0.0022	-0.0466	-0.0258	0.6035	0.5006	0.6111	0.5095	0.6071	0.4998	0.6110	0.5112	0.6181	0.5196	0.6011	0.4927
4191	0.0581	0.0430	6.6614	0.0120	0.1984	0.7742	12.5237	0.0040	-0.0828	0.0190	-0.0037	-0.0545	0.0146	0.0060	-0.0292	0.0432	-0.0054	-0.0839	-0.0028	-0.0047	-0.0620	-0.0131	-0.0048	-0.0570	-0.0168	6.6695	0.0121	0.1922	0.7625	12.4958	-0.0089	-0.0589	0.0092	-0.0030	-0.0369	-0.0117	-0.0063	-0.0096	-0.0004	0.0040	-0.0147	0.0201	0.0006	-0.0415	-0.0174	-0.0058	-0.0692	-0.0141	0.6056	0.5021	0.6262	0.5220	0.6141	0.5106	0.6167	0.5206	0.6177	0.5126	0.6080	0.4978
4572	0.0592	0.0443	6.6607	0.0121	0.1924	0.7715	12.5100	0.0027	-0.0549	-0.0143	-0.0086	-0.0741	-0.0203	-0.0007	-0.0331	0.0225	-0.0056	-0.0580	-0.0021	-0.0067	-0.0559	-0.0364	0.0041	-0.0378	0.0313	6.6703	0.0119	0.1917	0.7661	12.5040	-0.0061	-0.0338	0.0232	-0.0083	-0.0341	0.0164	-0.0084	-0.0590	-0.0264	0.0011	-0.0429	-0.0105	-0.0041	-0.0216	-0.0069	0.0006	-0.0644	0.0031	0.6087	0.5054	0.6076	0.4984	0.6034	0.5003	0.6092	0.5079	0.5911	0.4916	0.6100	0.5035
