batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_token	id_variance_kendalls_tau_max_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_token	id_mutual_information_kendalls_tau_max_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_token	ood_variance_kendalls_tau_max_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_token	ood_mutual_information_kendalls_tau_max_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
381	0.6867	0.3321	6.5227	0.0251	0.2902	0.9963	11.2601	0.2911	0.0436	0.2222	0.2488	0.0386	0.2324	0.2040	0.1137	0.2166	0.2915	0.0691	0.1812	0.0194	-0.0849	-0.0229	0.0908	-0.0560	0.0791	6.5454	0.0251	0.3220	0.9875	11.4170	0.1662	0.1025	0.0045	0.1255	-0.0010	0.0030	0.0859	-0.0107	-0.0061	0.1596	0.0081	-0.0706	-0.0214	0.0158	-0.0244	0.0144	-0.0360	-0.0200	0.7084	0.6367	0.7221	0.6473	0.7224	0.6531	0.7274	0.6532	0.6629	0.6118	0.7047	0.6602
762	0.9231	0.6753	6.1237	0.0074	0.1758	0.9969	5.0074	0.2733	-0.0995	-0.0773	0.2619	-0.0976	-0.0602	0.2316	-0.0691	-0.0024	0.2722	-0.0998	-0.0885	0.1647	-0.2185	-0.2806	0.1450	-0.2041	-0.2493	6.1683	0.0082	0.2322	0.9933	5.6532	0.1299	-0.1375	-0.2242	0.1185	-0.1397	-0.2080	0.1015	-0.1385	-0.1730	0.1265	-0.1586	-0.2320	0.0636	-0.1568	-0.2928	0.0482	-0.1705	-0.2664	0.7318	0.6551	0.7429	0.6707	0.7429	0.6752	0.7355	0.6562	0.7088	0.6464	0.7324	0.6747
1143	0.9060	0.6690	6.1191	0.0061	0.1539	0.9961	4.1305	0.2194	-0.1219	-0.2494	0.2020	-0.1262	-0.2316	0.1622	-0.1012	-0.1139	0.2194	-0.1114	-0.2403	0.1296	-0.2050	-0.3431	0.0916	-0.2103	-0.3231	6.1603	0.0069	0.2044	0.9917	4.7620	0.0968	-0.1355	-0.3128	0.0796	-0.1598	-0.2965	0.0540	-0.1390	-0.2184	0.0933	-0.1670	-0.3116	0.0462	-0.1430	-0.3128	0.0132	-0.1634	-0.3297	0.7158	0.6336	0.7316	0.6553	0.7331	0.6676	0.7241	0.6387	0.6772	0.6125	0.7004	0.6376
1524	0.8939	0.6662	6.1506	0.0076	0.1721	0.9958	4.6227	0.1609	-0.1789	-0.3827	0.1405	-0.2122	-0.3839	0.0874	-0.2047	-0.2995	0.1594	-0.1855	-0.3823	0.0761	-0.2284	-0.3816	0.0316	-0.2262	-0.3620	6.1934	0.0080	0.2175	0.9924	5.2864	0.0526	-0.2208	-0.4060	0.0296	-0.2341	-0.3922	-0.0086	-0.2079	-0.3486	0.0484	-0.2292	-0.4026	0.0012	-0.1585	-0.3552	-0.0357	-0.1773	-0.3797	0.7225	0.6387	0.7401	0.6601	0.7495	0.6810	0.7270	0.6401	0.6770	0.6004	0.7056	0.6276
1905	0.8872	0.6621	6.1678	0.0086	0.1985	0.9958	5.2010	0.1423	-0.1757	-0.3959	0.1196	-0.1875	-0.4025	0.0659	-0.1809	-0.3299	0.1401	-0.1775	-0.4015	0.0361	-0.2099	-0.3582	-0.0112	-0.2406	-0.3512	6.2077	0.0089	0.2419	0.9917	5.7995	0.0370	-0.1473	-0.4066	0.0125	-0.1642	-0.4208	-0.0277	-0.1608	-0.3865	0.0339	-0.1674	-0.4122	-0.0303	-0.1374	-0.3290	-0.0703	-0.1576	-0.3392	0.7082	0.6289	0.7214	0.6472	0.7318	0.6626	0.7106	0.6324	0.6948	0.6218	0.6862	0.6194
2286	0.8844	0.6616	6.1782	0.0089	0.1929	0.9960	5.3865	0.1403	-0.1735	-0.4149	0.1186	-0.1807	-0.4037	0.0587	-0.1985	-0.3550	0.1396	-0.1751	-0.4104	0.0459	-0.2123	-0.3490	0.0074	-0.2283	-0.3366	6.2192	0.0091	0.2201	0.9924	5.9546	0.0412	-0.1682	-0.4104	0.0169	-0.1622	-0.4233	-0.0321	-0.1486	-0.3975	0.0380	-0.1699	-0.4193	-0.0097	-0.1324	-0.3261	-0.0531	-0.1447	-0.3442	0.7088	0.6324	0.7213	0.6466	0.7346	0.6636	0.7100	0.6328	0.6772	0.5976	0.6805	0.6054
2667	0.8827	0.6595	6.1946	0.0100	0.1953	0.9962	5.8400	0.1210	-0.1847	-0.4409	0.1024	-0.2064	-0.4482	0.0487	-0.2160	-0.4046	0.1206	-0.1847	-0.4479	0.0047	-0.1984	-0.3220	-0.0477	-0.1975	-0.3221	6.2361	0.0099	0.2458	0.9932	6.3683	0.0238	-0.1896	-0.4425	0.0019	-0.1753	-0.4592	-0.0437	-0.1748	-0.4439	0.0216	-0.1943	-0.4489	-0.0469	-0.1298	-0.2993	-0.0918	-0.1282	-0.3267	0.7086	0.6308	0.7175	0.6421	0.7298	0.6515	0.7092	0.6308	0.6585	0.5775	0.6770	0.5993
3048	0.8755	0.6913	6.1943	0.0092	0.1973	0.9964	5.8729	0.1390	-0.1847	-0.4175	0.1164	-0.1804	-0.4264	0.0502	-0.2078	-0.3884	0.1360	-0.1621	-0.4151	0.0574	-0.1563	-0.2930	0.0153	-0.1724	-0.2817	6.2350	0.0091	0.2180	0.9935	6.3444	0.0438	-0.1655	-0.4139	0.0187	-0.1670	-0.4316	-0.0361	-0.1653	-0.4275	0.0417	-0.1710	-0.4154	-0.0064	-0.1167	-0.3073	-0.0446	-0.1107	-0.3192	0.7029	0.6247	0.7159	0.6372	0.7291	0.6501	0.7108	0.6302	0.6532	0.5817	0.6568	0.5813
3429	0.8723	0.6958	6.1912	0.0090	0.1891	0.9965	5.8512	0.1397	-0.1804	-0.4211	0.1222	-0.1776	-0.4248	0.0567	-0.2089	-0.3993	0.1389	-0.1705	-0.4235	0.0592	-0.1235	-0.2923	0.0254	-0.1688	-0.2878	6.2327	0.0088	0.2206	0.9933	6.3211	0.0491	-0.1630	-0.4179	0.0255	-0.1620	-0.4331	-0.0285	-0.1612	-0.4262	0.0478	-0.1646	-0.4189	-0.0063	-0.1035	-0.2923	-0.0380	-0.0976	-0.2926	0.6973	0.6229	0.7013	0.6297	0.7222	0.6453	0.6986	0.6254	0.6597	0.5797	0.6503	0.5690
3810	0.8715	0.7102	6.1906	0.0087	0.1949	0.9966	5.8486	0.1360	-0.1727	-0.4452	0.1199	-0.1783	-0.4412	0.0616	-0.1923	-0.4095	0.1343	-0.1609	-0.4394	0.0595	-0.1304	-0.2836	0.0245	-0.1496	-0.2626	6.2335	0.0086	0.2137	0.9935	6.3242	0.0460	-0.1644	-0.4282	0.0276	-0.1588	-0.4420	-0.0188	-0.1635	-0.4366	0.0444	-0.1678	-0.4333	-0.0065	-0.0973	-0.2797	-0.0321	-0.1029	-0.2748	0.6975	0.6233	0.7035	0.6297	0.7256	0.6469	0.6968	0.6225	0.6575	0.5731	0.6439	0.5599
