batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_token	id_variance_kendalls_tau_max_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_token	id_mutual_information_kendalls_tau_max_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_token	ood_variance_kendalls_tau_max_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_token	ood_mutual_information_kendalls_tau_max_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
381	0.1279	0.0554	6.0933	0.0182	0.7313	0.2389	2.1894	-0.0089	-0.0329	-0.0164	-0.0082	-0.0337	-0.0118	-0.0051	-0.0306	-0.0139	-0.0030	-0.0329	-0.0021	-0.0116	-0.0313	-0.0091	-0.0095	-0.0505	-0.0191	6.0986	0.0177	0.7448	0.2349	2.1379	-0.0017	-0.0067	-0.0103	0.0014	0.0062	0.0249	0.0009	-0.0285	-0.0188	0.0083	-0.0096	0.0159	-0.0071	-0.0263	-0.0151	0.0049	-0.0141	0.0089	0.5727	0.4794	0.5892	0.5029	0.5893	0.5011	0.6016	0.5162	0.5839	0.4936	0.5893	0.5015
762	0.2678	0.0294	5.9483	0.0041	0.8382	0.2971	1.3365	0.0074	0.0371	0.0378	0.0024	0.0031	-0.0028	0.0439	0.0538	0.0624	0.0066	-0.0123	-0.0045	0.0033	0.0249	0.0263	-0.0010	0.0300	0.0208	5.9580	0.0038	0.8848	0.2803	1.3123	-0.0041	0.0021	-0.0056	0.0014	0.0082	0.0025	0.0171	0.0294	0.0283	0.0012	0.0174	0.0195	-0.0080	0.0091	0.0016	0.0114	0.0260	0.0175	0.5864	0.5000	0.6006	0.5231	0.5659	0.4825	0.5773	0.5040	0.5925	0.5140	0.5870	0.5043
1143	0.0801	0.0293	6.0271	0.0145	0.7596	0.1424	1.6888	-0.0082	-0.0016	0.0011	-0.0062	0.0198	0.0235	-0.0125	-0.0143	-0.0119	-0.0176	0.0036	0.0041	0.0235	0.0038	0.0149	-0.0020	0.0105	0.0110	6.0465	0.0150	0.7934	0.1471	1.7276	0.0005	0.0094	0.0104	0.0012	-0.0095	-0.0071	0.0123	0.0030	0.0049	-0.0151	-0.0045	-0.0045	0.0049	-0.0041	-0.0001	0.0024	-0.0044	-0.0024	0.5683	0.4764	0.5737	0.4949	0.5890	0.5209	0.5717	0.4873	0.5821	0.5025	0.5697	0.4906
1524	0.0394	0.0233	6.1122	0.0214	0.6769	0.1262	2.5055	0.0137	0.0023	0.0004	0.0241	0.0245	0.0213	-0.0052	-0.0078	-0.0118	0.0170	0.0175	0.0185	-0.0022	-0.0137	-0.0145	0.0110	0.0368	0.0267	6.1265	0.0220	0.7203	0.1240	2.5108	0.0253	0.0281	0.0193	0.0237	0.0457	0.0234	0.0006	-0.0011	-0.0097	0.0141	0.0112	0.0078	-0.0066	-0.0065	-0.0064	-0.0084	-0.0031	-0.0022	0.5859	0.4974	0.5702	0.4915	0.5697	0.4817	0.5803	0.5039	0.5605	0.4724	0.5631	0.4793
1905	0.0605	0.0151	5.9428	0.0052	0.6871	0.0724	1.2139	-0.0638	-0.0047	-0.0008	-0.0653	-0.0087	-0.0032	-0.0646	-0.0172	-0.0172	-0.0612	-0.0339	-0.0303	-0.0478	-0.0108	-0.0083	-0.0433	-0.0224	-0.0339	5.9575	0.0053	0.7094	0.0737	1.2292	-0.0565	-0.0244	-0.0244	-0.0687	-0.0289	-0.0300	-0.0555	-0.0153	-0.0138	-0.0492	-0.0088	-0.0098	-0.0460	-0.0399	-0.0459	-0.0353	-0.0226	-0.0161	0.5755	0.5077	0.5986	0.5273	0.6040	0.5331	0.5838	0.5147	0.5779	0.4852	0.5811	0.4948
2286	0.1227	0.0514	6.1113	0.0198	0.6894	0.2523	2.4038	-0.0129	-0.0380	-0.0200	-0.0042	-0.0228	-0.0124	-0.0068	-0.0279	-0.0181	-0.0047	-0.0394	-0.0350	-0.0162	-0.0326	-0.0312	-0.0140	-0.0712	-0.0667	6.1209	0.0195	0.7257	0.2569	2.4055	-0.0113	-0.0179	-0.0049	-0.0191	-0.0540	-0.0462	-0.0101	-0.0003	0.0013	-0.0093	-0.0250	-0.0150	-0.0108	-0.0291	-0.0120	-0.0128	-0.0301	-0.0219	0.6013	0.5149	0.5876	0.5054	0.5668	0.4752	0.5924	0.5110	0.6126	0.5266	0.5733	0.4909
2667	0.1202	0.0465	6.0752	0.0148	0.7278	0.2097	2.5263	-0.0006	0.0273	0.0355	0.0050	0.0303	0.0409	0.0018	0.0065	0.0202	0.0142	0.0161	0.0293	-0.0023	-0.0224	0.0090	0.0082	0.0103	0.0370	6.0788	0.0141	0.7673	0.2171	2.4234	0.0019	0.0289	0.0306	0.0117	0.0059	0.0074	0.0025	0.0265	0.0202	-0.0025	-0.0052	-0.0007	-0.0031	0.0023	0.0077	0.0089	0.0255	0.0274	0.5537	0.4490	0.5717	0.4796	0.5750	0.4858	0.5650	0.4701	0.5688	0.4764	0.5719	0.4791
3048	0.2316	0.0354	5.9665	0.0067	0.8113	0.2728	1.3237	-0.0220	-0.0123	-0.0130	-0.0186	-0.0051	-0.0027	-0.0054	-0.0025	-0.0006	-0.0061	0.0154	0.0154	-0.0023	0.0283	0.0296	-0.0021	0.0284	0.0247	5.9761	0.0063	0.8702	0.2571	1.3063	-0.0090	-0.0010	-0.0021	-0.0120	0.0037	0.0037	-0.0021	0.0336	0.0324	-0.0140	0.0094	0.0081	-0.0040	0.0134	-0.0005	-0.0097	0.0026	-0.0026	0.5847	0.4998	0.5884	0.5147	0.5901	0.5136	0.5727	0.4976	0.5759	0.4983	0.5692	0.4891
3429	0.2153	0.0442	6.0514	0.0134	0.7343	0.3360	1.8741	0.0300	0.0545	0.0695	0.0298	0.0454	0.0432	0.0105	0.0166	0.0068	0.0267	0.0320	0.0392	0.0202	0.0030	0.0237	0.0012	-0.0126	-0.0118	6.0598	0.0133	0.7851	0.3370	1.8301	0.0272	0.0530	0.0417	0.0319	0.0641	0.0451	0.0246	0.0538	0.0378	0.0338	0.0649	0.0585	0.0175	0.0544	0.0485	0.0111	0.0205	0.0169	0.5820	0.4821	0.5870	0.4963	0.5789	0.4884	0.5828	0.4895	0.5774	0.4938	0.5771	0.4923
3810	0.2103	0.0516	5.9924	0.0087	0.8218	0.2724	1.5120	-0.0056	-0.0230	-0.0129	-0.0065	-0.0304	-0.0137	0.0010	-0.0194	-0.0078	-0.0096	-0.0432	-0.0373	-0.0067	-0.0573	-0.0363	0.0032	-0.0300	0.0146	6.0117	0.0092	0.8293	0.2683	1.5445	0.0010	0.0050	0.0058	-0.0065	-0.0196	-0.0138	-0.0025	0.0028	0.0012	0.0003	-0.0009	0.0042	0.0032	0.0051	0.0177	-0.0111	-0.0049	-0.0002	0.5706	0.4875	0.5696	0.4803	0.5741	0.4829	0.5837	0.5078	0.5823	0.4967	0.5963	0.5088
