batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_token	id_variance_kendalls_tau_max_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_token	id_mutual_information_kendalls_tau_max_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_token	ood_variance_kendalls_tau_max_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_token	ood_mutual_information_kendalls_tau_max_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
381	0.2721	0.0267	6.7091	0.0224	0.1796	0.9943	14.2024	0.0592	-0.0308	0.0732	0.0578	-0.0272	0.0730	0.0576	-0.0326	0.0724	0.0565	-0.0316	0.0705	-0.0220	-0.0251	-0.0174	0.0032	-0.0336	0.0385	6.7215	0.0218	0.1887	0.9924	14.2065	0.0375	-0.0571	0.0197	0.0411	-0.0579	0.0149	0.0372	-0.0608	0.0140	0.0340	-0.0510	0.0307	-0.0145	-0.0041	-0.0122	-0.0066	0.0060	-0.0138	0.5880	0.4899	0.5926	0.4939	0.5938	0.4943	0.5847	0.4879	0.5683	0.4695	0.5800	0.4815
762	0.2341	0.0375	6.6947	0.0207	0.2038	0.9922	13.6445	0.0407	-0.0675	0.0450	0.0423	-0.0150	0.0270	0.0420	-0.0188	0.0305	0.0296	-0.0645	0.0143	-0.0210	-0.0045	0.0081	0.0065	-0.0068	0.0396	6.7082	0.0200	0.2173	0.9896	13.6789	0.0348	0.0049	-0.0320	0.0404	0.0127	0.0086	0.0370	0.0067	0.0048	0.0171	-0.0061	-0.0455	-0.0372	-0.1060	-0.0920	-0.0071	-0.0580	-0.0185	0.6194	0.5295	0.6059	0.4996	0.6083	0.5042	0.5421	0.4751	0.6040	0.5066	0.6116	0.5286
1143	0.2315	0.0375	6.6911	0.0214	0.2109	0.9912	13.4879	-0.0276	-0.0159	0.0130	-0.0315	-0.1103	0.0157	-0.0322	-0.0996	0.0155	-0.0188	-0.0024	-0.0557	0.0209	0.0526	0.0840	-0.0011	-0.0397	0.0032	6.7041	0.0212	0.2197	0.9881	13.5409	-0.0040	-0.0546	0.0204	-0.0040	-0.0568	0.0193	-0.0051	-0.0468	0.0193	-0.0354	-0.0456	-0.0365	0.0205	-0.0008	0.0057	0.0023	-0.0382	0.0032	0.5689	0.4648	0.5813	0.4723	0.5823	0.4730	0.5525	0.4420	0.5832	0.5153	0.5808	0.5000
1524	0.2721	0.0267	6.6856	0.0231	0.2416	0.9971	13.9691	0.0418	0.0210	0.0234	0.0444	0.0085	0.0013	0.0443	0.0113	0.0039	0.0422	0.0233	0.0255	-0.0460	-0.0425	-0.0368	-0.0235	-0.0330	-0.0451	6.6978	0.0226	0.2476	0.9946	13.9877	0.0351	0.0606	0.0956	0.0411	0.0611	0.0421	0.0385	0.0619	0.0447	0.0335	0.0561	0.0818	-0.0461	-0.0562	-0.0447	-0.0274	-0.0544	-0.0780	0.5349	0.4219	0.5722	0.4894	0.6278	0.5613	0.5326	0.4194	0.6449	0.5584	0.6502	0.5662
1905	0.2721	0.0267	6.5957	0.0255	0.3117	0.9741	13.5612	-0.0701	0.1138	0.0915	-0.0697	0.1146	0.0339	-0.0692	0.1144	0.0304	-0.0797	0.0448	0.1123	0.0247	-0.0409	-0.0598	-0.0355	-0.0571	-0.0275	6.6121	0.0249	0.3199	0.9727	13.6174	-0.0487	0.1379	0.1445	-0.0442	0.1423	0.0083	-0.0478	0.1365	0.0119	-0.0587	0.0139	0.1623	-0.0017	-0.1364	-0.1481	-0.0364	-0.1438	-0.1123	0.6312	0.5453	0.6673	0.5995	0.6663	0.5979	0.6225	0.5213	0.5915	0.4456	0.6473	0.5740
2286	0.2720	0.0267	6.5692	0.0258	0.3213	0.9486	13.3088	-0.0560	-0.0160	0.1398	-0.0821	-0.0251	0.0655	-0.0826	-0.0259	0.0637	-0.0509	0.0449	0.1442	0.0245	-0.1029	-0.1152	0.0220	-0.1074	-0.0345	6.5877	0.0252	0.3412	0.9509	13.4379	-0.0346	0.0335	0.1939	-0.0445	0.0884	0.0065	-0.0430	0.0877	0.0062	-0.0328	0.0581	0.1846	-0.0091	-0.1640	-0.1596	-0.0117	-0.1742	-0.1271	0.6228	0.5132	0.6902	0.6235	0.6902	0.6230	0.6207	0.5044	0.6683	0.5865	0.6437	0.5347
2667	0.2721	0.0267	6.6370	0.0243	0.2392	0.9895	13.5262	-0.0274	-0.0118	0.0394	-0.0293	-0.0118	0.0390	-0.0336	-0.0119	0.0390	-0.0288	-0.0117	0.0367	0.0360	0.0061	0.0160	-0.0049	-0.0361	-0.0102	6.6534	0.0239	0.2434	0.9848	13.5872	-0.0207	-0.0034	0.0878	-0.0231	-0.0033	0.0873	-0.0144	-0.0027	0.0948	-0.0199	-0.0027	0.0869	0.0424	0.0517	0.0573	0.0012	-0.0125	-0.0069	0.6142	0.4927	0.6188	0.4985	0.6167	0.4950	0.6175	0.4985	0.5370	0.4051	0.5739	0.4909
3048	0.2500	0.0366	6.7024	0.0194	0.2268	0.9941	13.8073	0.0293	0.0056	0.0687	0.0288	-0.0056	0.0365	0.0293	-0.0033	0.0318	0.0262	-0.0010	0.0425	-0.0215	-0.0235	-0.0350	-0.0215	-0.0227	-0.0136	6.7164	0.0190	0.2313	0.9912	13.8634	0.0329	0.0557	0.0753	0.0359	0.0553	0.0211	0.0350	0.0494	0.0067	0.0332	0.0674	0.0990	-0.0307	-0.0692	-0.0851	-0.0358	-0.0753	-0.0732	0.6567	0.5661	0.6952	0.6166	0.6954	0.6150	0.6245	0.5240	0.5739	0.5084	0.5820	0.5305
3429	0.2721	0.0267	6.6871	0.0229	0.2210	0.9952	13.8840	0.0159	-0.0377	0.1238	0.0235	-0.0379	0.0732	0.0196	-0.0401	0.0606	0.0159	-0.0253	0.1230	-0.0205	-0.0517	-0.0712	-0.0350	-0.0732	-0.1022	6.7016	0.0223	0.2252	0.9912	13.9519	0.0348	0.0839	0.1743	0.0372	0.0673	0.0560	0.0375	0.0807	0.0235	0.0358	0.0772	0.1721	-0.0430	-0.0898	-0.1142	-0.0368	-0.1352	-0.1269	0.6183	0.5054	0.6723	0.6117	0.6818	0.6240	0.6220	0.5059	0.6810	0.6242	0.6350	0.5223
3810	0.2478	0.0362	6.7111	0.0216	0.1958	0.9952	13.8886	0.0612	0.1444	-0.1102	0.0634	0.1603	0.1210	0.0731	0.1532	-0.0523	0.0163	0.1440	-0.1061	-0.0546	-0.1649	-0.1597	-0.0560	-0.1766	-0.1293	6.7257	0.0213	0.1977	0.9921	13.9316	0.0629	0.0505	-0.0873	0.0639	0.0783	0.0710	0.0755	0.0802	-0.0356	0.0140	0.0486	-0.0906	-0.0636	-0.0727	-0.0799	-0.0629	-0.0902	-0.0874	0.6472	0.5877	0.5708	0.4655	0.6589	0.5890	0.6575	0.5890	0.6469	0.5754	0.6371	0.5591
4191	0.1864	0.0333	6.6922	0.0167	0.2373	0.9957	13.8930	0.0114	-0.0258	0.0063	0.0513	0.0392	-0.0211	0.0366	0.0331	0.0006	-0.0241	0.0219	0.0089	-0.0680	0.0209	0.0321	-0.0550	0.0186	0.0057	6.7083	0.0168	0.2403	0.9937	13.9249	0.0256	0.1127	-0.0394	0.0599	0.0501	-0.0436	0.0536	0.0431	-0.0231	-0.0453	0.0040	-0.0333	-0.0827	-0.0063	-0.0174	-0.0746	-0.0057	-0.0430	0.6319	0.5534	0.6455	0.5703	0.6397	0.5674	0.6313	0.5516	0.6348	0.5555	0.6389	0.5564
4572	0.2721	0.0267	6.6550	0.0240	0.2640	0.9980	14.0000	0.0225	0.0399	0.0144	0.0365	0.0667	0.0226	0.0680	0.0856	0.0454	0.0218	0.0654	0.0174	-0.0444	-0.0463	-0.0250	-0.0449	0.0427	-0.0463	6.6676	0.0236	0.2731	0.9958	14.0000	0.0135	0.0257	0.0309	0.0368	0.0236	0.0288	0.0473	0.0291	0.0238	0.0087	0.0152	0.0300	-0.0391	0.0241	-0.0305	-0.0356	0.0107	-0.0249	0.6210	0.5041	0.6172	0.5053	0.6148	0.4976	0.6228	0.5071	0.6103	0.4928	0.6235	0.5014
4953	0.2294	0.0370	6.7124	0.0205	0.1993	0.9936	13.7380	-0.0039	-0.0831	0.0564	0.0183	0.0874	0.0570	0.0162	-0.0383	0.0567	0.0121	-0.0406	0.0748	0.0046	-0.0002	-0.0027	-0.0236	-0.0545	-0.0671	6.7279	0.0197	0.1987	0.9873	13.8224	-0.0136	-0.1632	-0.0249	0.0402	0.1529	-0.0021	0.0315	0.0675	0.0078	0.0306	0.0485	0.0669	-0.0419	-0.1360	-0.1381	-0.0458	-0.1241	-0.0842	0.6924	0.6310	0.6893	0.6304	0.6883	0.6288	0.6663	0.6096	0.6505	0.5376	0.6697	0.5964
5334	0.2378	0.0317	6.7303	0.0183	0.1589	0.9933	13.7380	0.0892	0.0851	0.0982	0.0807	0.0876	0.0623	0.0789	0.0861	0.0563	-0.0203	0.0504	-0.0093	-0.0478	-0.0387	-0.0498	0.0144	-0.0910	-0.0617	6.7432	0.0183	0.1654	0.9877	13.8224	0.0940	0.1542	0.1530	0.0847	0.1562	0.0199	0.0768	0.1586	0.0116	-0.0020	0.1044	0.0586	-0.0651	-0.1255	-0.1261	-0.0037	-0.1697	-0.0939	0.6152	0.4957	0.6820	0.6254	0.6881	0.6284	0.5502	0.3992	0.6715	0.5885	0.6504	0.5548
5715	0.2721	0.0267	6.6635	0.0234	0.2079	0.9937	13.7524	0.0145	0.0698	0.1328	0.0102	0.0687	0.0577	0.0126	0.0688	0.0550	0.0118	0.0680	0.1313	-0.0145	-0.0640	-0.0906	-0.0313	-0.0625	-0.0637	6.6783	0.0229	0.2470	0.9899	13.8207	0.0295	0.1533	0.1818	0.0295	0.1534	0.0257	0.0333	0.1530	0.0216	0.0320	0.1539	0.1736	-0.0180	-0.0442	-0.0706	-0.0406	-0.0760	-0.0999	0.6148	0.5033	0.6631	0.5982	0.6691	0.6018	0.6046	0.4882	0.6547	0.5541	0.6589	0.5661
6096	0.2721	0.0267	6.6806	0.0230	0.2216	0.9928	13.7019	0.0189	-0.0011	0.1022	0.0185	0.0207	0.0931	0.0182	0.0209	0.0882	0.0180	-0.0012	0.0989	0.0029	0.0188	-0.0076	-0.0186	-0.0079	-0.0444	6.6956	0.0224	0.2312	0.9889	13.7836	0.0255	-0.1003	0.0440	0.0316	-0.1160	0.0231	0.0299	-0.1159	0.0210	0.0240	-0.1004	0.0419	-0.0084	0.0171	0.0210	0.0255	0.0282	0.0607	0.6946	0.5901	0.7136	0.6319	0.7160	0.6353	0.6958	0.5905	0.6078	0.5091	0.5671	0.4323
6477	0.2721	0.0267	6.7111	0.0224	0.2195	0.9953	13.8783	0.0607	-0.0354	0.0944	0.0550	-0.0489	0.0876	0.0562	-0.0458	0.0670	0.0558	-0.0397	0.0928	-0.0532	-0.0994	-0.1171	-0.0111	-0.0316	0.0115	6.7245	0.0218	0.2247	0.9926	13.9339	0.0447	0.0066	0.0357	0.0305	-0.1534	0.0162	0.0355	-0.1520	0.0148	0.0335	0.0002	0.0371	-0.0337	-0.1240	-0.1349	-0.0228	-0.0291	-0.0404	0.6831	0.5798	0.6902	0.5808	0.7076	0.6210	0.6832	0.5791	0.6638	0.6058	0.6457	0.5731
6858	0.2721	0.0267	6.6908	0.0229	0.2395	0.9942	13.7624	0.0385	0.1470	0.1024	0.0368	0.1339	0.1092	0.0336	0.1482	0.0858	0.0329	0.1404	0.1014	-0.0299	0.0428	0.0218	-0.0159	-0.0495	-0.0662	6.7050	0.0223	0.2393	0.9904	13.8226	0.0254	0.1613	0.0418	0.0263	0.1650	0.0372	0.0260	0.1579	0.0436	0.0243	0.1529	0.0380	-0.0098	0.0482	0.0523	0.0019	0.0025	0.0196	0.6840	0.5798	0.6858	0.5834	0.6940	0.6097	0.6851	0.5799	0.5693	0.4543	0.5811	0.4581
7239	0.2721	0.0267	6.6993	0.0227	0.2288	0.9953	13.8330	0.0438	-0.0008	-0.0277	0.0349	-0.0207	-0.0285	0.0622	-0.0217	0.0130	0.0360	-0.0430	-0.0333	-0.0290	0.0175	0.0417	-0.0382	0.0301	0.0465	6.7124	0.0222	0.2325	0.9919	13.8590	0.0170	-0.1465	-0.1303	0.0074	-0.1546	-0.1636	0.0281	-0.1596	0.0036	0.0138	-0.1497	-0.1306	0.0303	0.1470	0.1672	0.0286	0.1677	0.1608	0.6661	0.5379	0.6644	0.5350	0.6849	0.5673	0.6661	0.5368	0.5960	0.4810	0.5929	0.4741
7620	0.2721	0.0267	6.7093	0.0225	0.2157	0.9972	13.8678	0.0289	-0.0086	-0.0353	0.0291	-0.0014	-0.0035	0.0580	0.0062	-0.0008	0.0558	0.0336	-0.0028	-0.0250	0.0286	0.0125	-0.0236	0.0092	0.0324	6.7220	0.0219	0.2258	0.9944	13.9046	0.0207	-0.0409	0.0027	0.0175	0.0127	-0.0427	0.0498	-0.0645	0.0093	0.0584	0.0421	0.0236	-0.0163	0.0566	0.0541	-0.0248	0.0725	0.0270	0.5791	0.4789	0.5772	0.4726	0.6427	0.5599	0.5611	0.4623	0.6222	0.5253	0.6171	0.5192
8001	0.2721	0.0267	6.6990	0.0228	0.2289	0.9972	13.8889	0.0534	-0.0120	-0.0406	0.0526	0.0089	-0.0092	0.0852	0.0320	-0.0028	0.0513	-0.0257	-0.0369	-0.0313	0.0381	0.0165	-0.0360	0.0194	0.0178	6.7118	0.0222	0.2319	0.9934	13.9282	0.0368	-0.0450	-0.0019	0.0381	-0.0152	-0.0436	0.0716	-0.0077	0.0107	0.0369	-0.0359	-0.0016	-0.0215	0.0653	0.0567	-0.0305	0.0501	0.0149	0.5803	0.4726	0.5815	0.4747	0.6404	0.5533	0.5805	0.4722	0.6234	0.5245	0.6191	0.5222
8382	0.2721	0.0267	6.7088	0.0225	0.2222	0.9971	13.8888	0.0435	-0.0383	-0.0391	0.0407	0.0102	-0.0066	0.0822	0.0138	-0.0016	0.0186	-0.0135	-0.0327	-0.0334	0.0195	0.0042	-0.0382	0.0291	0.0259	6.7215	0.0219	0.2249	0.9948	13.9281	0.0317	-0.0753	0.0013	0.0284	0.0017	-0.0427	0.0665	-0.0482	0.0100	0.0107	-0.0447	-0.0054	-0.0228	0.0561	0.0513	-0.0347	0.0464	0.0150	0.5801	0.4719	0.5816	0.4751	0.6403	0.5533	0.5821	0.4777	0.6259	0.5331	0.6199	0.5241
