batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_token	id_variance_kendalls_tau_max_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_token	id_mutual_information_kendalls_tau_max_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_token	ood_variance_kendalls_tau_max_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_token	ood_mutual_information_kendalls_tau_max_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
381	0.2725	0.0271	6.6879	0.0231	0.2328	0.9985	14.5682	-0.0635	-0.1611	-0.1496	-0.0945	-0.1995	-0.1857	-0.0992	-0.2014	-0.1939	0.0008	-0.0317	-0.0554	0.0554	0.0939	0.1546	0.0572	0.0929	0.1562	6.6979	0.0226	0.2503	0.9957	14.5110	-0.0401	-0.0306	-0.0403	-0.0479	-0.0568	-0.0488	-0.0515	-0.0606	-0.0532	-0.0053	0.0085	-0.0368	0.0297	0.1116	0.0385	0.0312	0.1134	0.0424	0.5206	0.3692	0.5137	0.3645	0.5149	0.3658	0.4994	0.3618	0.6969	0.6187	0.6922	0.6139
762	0.3397	0.0680	6.6690	0.0238	0.2454	0.9967	12.3538	0.0878	0.0326	-0.0201	-0.0467	-0.1915	-0.1703	-0.0590	-0.1967	-0.1857	0.1037	0.0294	-0.0041	0.0639	0.1091	0.2050	0.0660	0.1208	0.1871	6.6787	0.0235	0.2685	0.9901	12.2958	0.0591	0.0346	0.0109	-0.0072	-0.0442	-0.0414	-0.0162	-0.0479	-0.0479	0.0715	0.0342	0.0255	0.0456	0.0929	0.0854	0.0470	0.0954	0.0676	0.5003	0.3701	0.5085	0.3604	0.5107	0.3621	0.4950	0.3628	0.6655	0.5976	0.6728	0.6011
1143	0.3781	0.0742	6.6426	0.0255	0.2563	0.9942	11.5761	0.0907	0.0508	-0.0576	0.0020	-0.1685	-0.1521	-0.0098	-0.1731	-0.1673	0.0696	0.0697	-0.1032	0.0069	0.0367	0.2055	0.0146	0.0616	0.2107	6.6496	0.0245	0.2826	0.9817	11.5081	0.0581	-0.0158	-0.0420	0.0196	-0.0492	-0.0628	0.0159	-0.0420	-0.0540	0.0429	0.0099	-0.0730	-0.0091	0.0647	0.1302	0.0055	0.0761	0.1407	0.5090	0.3910	0.5096	0.3790	0.5082	0.3662	0.5415	0.4370	0.6115	0.4973	0.6112	0.5050
1524	0.3788	0.0744	6.6095	0.0255	0.2785	0.9930	11.3305	0.0558	0.0452	-0.1132	0.0271	-0.0305	-0.1357	0.0010	-0.1610	-0.1505	0.0449	0.0619	-0.1416	0.0005	0.1327	0.2297	0.0019	0.1223	0.2207	6.6144	0.0249	0.3057	0.9796	11.2295	0.0284	-0.0423	-0.0889	0.0119	-0.0604	-0.0902	0.0084	-0.0641	-0.0741	0.0217	-0.0255	-0.0887	-0.0160	0.1180	0.1336	-0.0065	0.1108	0.1337	0.5574	0.4573	0.5393	0.4366	0.5145	0.3900	0.5916	0.4764	0.6077	0.4881	0.6076	0.4881
1905	0.3830	0.0762	6.5923	0.0252	0.2951	0.9934	11.3367	0.0604	0.0329	-0.1447	0.0438	0.0130	-0.1437	0.0314	-0.0668	-0.1552	0.0414	0.0440	-0.1655	0.0042	0.1811	0.2413	0.0068	0.1685	0.2348	6.5978	0.0246	0.3188	0.9803	11.2348	0.0313	-0.0421	-0.1041	0.0185	-0.0702	-0.1062	0.0140	-0.0793	-0.1055	0.0230	-0.0324	-0.0976	-0.0062	0.1523	0.1471	-0.0005	0.1414	0.1467	0.5983	0.4832	0.5788	0.4741	0.5342	0.4283	0.6163	0.4876	0.6030	0.4840	0.6074	0.4896
2286	0.3891	0.0779	6.5900	0.0247	0.2967	0.9952	11.4702	0.0949	0.0532	-0.1685	0.0741	0.0006	-0.1666	0.0630	-0.0316	-0.1681	0.0721	0.0604	-0.1831	0.0056	0.1852	0.2481	0.0116	0.1747	0.2423	6.5968	0.0243	0.3158	0.9835	11.3915	0.0540	-0.0379	-0.1149	0.0377	-0.0703	-0.1173	0.0292	-0.0873	-0.1276	0.0358	-0.0310	-0.1072	0.0021	0.1610	0.1605	0.0078	0.1503	0.1614	0.6245	0.4942	0.6081	0.4894	0.5617	0.4629	0.6325	0.4945	0.6061	0.4871	0.6122	0.4957
2667	0.3935	0.0796	6.5930	0.0248	0.3006	0.9961	11.6415	0.1346	0.0789	-0.1843	0.1041	0.0042	-0.1851	0.0927	-0.0203	-0.1789	0.1263	0.0828	-0.1956	0.0087	0.1773	0.2493	0.0167	0.1696	0.2430	6.6011	0.0240	0.2979	0.9841	11.6105	0.0828	-0.0283	-0.1245	0.0595	-0.0866	-0.1266	0.0502	-0.0925	-0.1420	0.0709	-0.0277	-0.1176	0.0115	0.1627	0.1732	0.0171	0.1532	0.1716	0.6401	0.5006	0.6292	0.4975	0.5894	0.4849	0.6431	0.4988	0.6123	0.4943	0.6192	0.5039
3048	0.3953	0.0812	6.5956	0.0249	0.2989	0.9962	11.6995	0.1536	0.1012	-0.1971	0.1300	0.0321	-0.2004	0.1055	-0.0047	-0.1912	0.1640	0.1063	-0.2062	0.0087	0.1662	0.2476	0.0177	0.1609	0.2408	6.6047	0.0241	0.2963	0.9845	11.6706	0.0932	-0.0083	-0.1356	0.0759	-0.0837	-0.1356	0.0585	-0.0846	-0.1515	0.0949	-0.0120	-0.1277	0.0124	0.1597	0.1827	0.0175	0.1522	0.1759	0.6492	0.5052	0.6411	0.5024	0.6129	0.4976	0.6495	0.5027	0.6200	0.5057	0.6266	0.5149
3429	0.3986	0.0849	6.6001	0.0253	0.2816	0.9962	11.8098	0.1666	0.0818	-0.2060	0.1507	0.0616	-0.2083	0.1263	0.0201	-0.1967	0.1824	0.0942	-0.2140	0.0060	0.1523	0.2422	0.0135	0.1500	0.2367	6.6100	0.0246	0.2867	0.9847	11.7921	0.1046	-0.0174	-0.1456	0.0939	-0.0394	-0.1432	0.0721	-0.0663	-0.1585	0.1099	-0.0021	-0.1375	0.0096	0.1536	0.1758	0.0120	0.1482	0.1681	0.6537	0.5084	0.6464	0.5054	0.6310	0.5048	0.6523	0.5048	0.6295	0.5213	0.6336	0.5273
3810	0.4037	0.0880	6.6053	0.0255	0.2740	0.9967	12.7117	0.1882	0.0852	-0.2124	0.1737	0.0688	-0.2143	0.1557	0.0393	-0.2007	0.1993	0.1017	-0.2195	0.0042	0.1328	0.2256	0.0071	0.1348	0.2245	6.6152	0.0252	0.2910	0.9915	12.6827	0.1154	-0.0615	-0.1512	0.1076	-0.0026	-0.1469	0.0924	-0.0509	-0.1616	0.1255	-0.0059	-0.1419	0.0064	0.1447	0.1401	0.0053	0.1432	0.1423	0.6566	0.5105	0.6479	0.5073	0.6407	0.5088	0.6543	0.5064	0.6411	0.5435	0.6423	0.5437
